failure_class,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50
1,39.78,40.34,782.67,0.63,120.12,121.45,74.89,0.44,227.67,85.12,43.23,0.75,553.67,22.23,0.32,878.34,43.23,0.54,227.56,64.78,0.22,446.34,86.23,0.63,339.67,75.67,0.44,553.23,87.23,0.75,227.67,64.78,0.32,446.34,86.34,0.54,663.89,22.23,0.63,339.67,75.67,0.44,553.23,11.78,0.75,877.89,33.12,0.22,446.34,0.83
1,41.56,42.12,801.45,0.66,123.01,124.34,76.45,0.47,232.01,87.34,44.34,0.76,563.45,23.01,0.34,892.34,44.34,0.56,231.90,66.67,0.24,454.01,88.45,0.66,344.23,77.12,0.47,562.90,89.45,0.76,232.01,66.67,0.34,454.01,88.56,0.56,672.01,23.01,0.66,344.23,77.12,0.47,562.90,12.45,0.76,891.78,34.12,0.24,454.01,0.86
1,39.12,39.67,772.34,0.62,119.23,120.56,74.23,0.43,226.56,84.23,42.67,0.74,551.12,21.89,0.31,875.23,42.67,0.53,226.45,64.34,0.21,444.67,85.34,0.62,337.56,74.89,0.43,550.67,86.34,0.74,226.56,64.34,0.31,444.67,85.45,0.53,661.23,21.89,0.62,337.56,74.89,0.43,550.67,11.56,0.74,874.67,32.67,0.21,444.67,0.82
1,40.67,41.23,789.78,0.64,121.23,122.56,75.56,0.45,229.45,86.01,43.78,0.75,557.89,22.56,0.33,883.67,43.78,0.55,229.34,65.67,0.23,449.78,87.12,0.64,341.67,76.23,0.45,557.45,88.12,0.75,229.45,65.67,0.33,449.78,87.23,0.55,666.45,22.56,0.64,341.67,76.23,0.45,557.45,12.01,0.75,883.12,33.45,0.23,449.78,0.84
1,38.45,39.01,765.89,0.62,118.45,119.78,73.67,0.43,225.78,83.56,42.45,0.74,549.01,21.78,0.31,872.56,42.45,0.53,225.67,63.89,0.21,442.56,84.67,0.62,335.78,74.34,0.43,548.56,85.78,0.74,225.78,63.89,0.31,442.56,84.78,0.53,659.12,21.78,0.62,335.78,74.34,0.43,548.56,11.56,0.74,872.12,32.45,0.21,442.56,0.82
1,41.01,41.56,795.67,0.65,122.12,123.45,76.01,0.46,230.67,86.45,44.01,0.76,560.23,22.78,0.34,887.89,44.01,0.56,230.56,66.12,0.24,451.45,87.56,0.65,342.89,76.67,0.46,559.78,88.56,0.76,230.67,66.12,0.34,451.45,87.67,0.56,668.90,22.78,0.65,342.89,76.67,0.46,559.78,12.23,0.76,887.34,33.78,0.24,451.45,0.85
1,39.67,40.23,779.45,0.63,120.01,121.34,74.78,0.44,228.01,85.01,43.12,0.75,554.45,22.23,0.32,879.67,43.12,0.54,227.90,65.01,0.22,447.01,86.01,0.63,339.12,75.34,0.44,554.01,87.01,0.75,228.01,65.01,0.32,447.01,86.12,0.54,663.67,22.23,0.63,339.12,75.34,0.44,554.01,11.89,0.75,879.23,33.01,0.22,447.01,0.83
1,40.78,41.34,788.90,0.64,121.12,122.45,75.45,0.45,229.34,85.89,43.67,0.75,557.67,22.45,0.33,883.45,43.67,0.55,229.23,65.56,0.23,449.56,87.01,0.64,341.45,76.12,0.45,557.23,88.01,0.75,229.34,65.56,0.33,449.56,87.12,0.55,666.23,22.45,0.64,341.45,76.12,0.45,557.23,11.90,0.75,882.90,33.34,0.23,449.56,0.84
1,38.23,38.78,762.34,0.61,117.56,118.89,73.12,0.42,224.01,82.90,42.01,0.73,546.34,21.45,0.30,869.45,42.01,0.52,223.90,63.34,0.20,440.34,84.01,0.61,334.23,73.78,0.42,545.90,85.01,0.73,224.01,63.34,0.30,440.34,84.12,0.52,656.78,21.45,0.61,334.23,73.78,0.42,545.90,11.34,0.73,868.90,32.12,0.20,440.34,0.81
1,40.45,41.01,787.23,0.64,121.01,122.34,75.45,0.45,229.12,85.78,43.67,0.75,557.12,22.56,0.33,882.67,43.67,0.55,229.01,65.45,0.23,449.12,86.89,0.64,341.01,76.12,0.45,556.67,87.89,0.75,229.12,65.45,0.33,449.12,87.01,0.55,665.56,22.56,0.64,341.01,76.12,0.45,556.67,11.90,0.75,882.23,33.45,0.23,449.12,0.84
1,39.89,40.45,783.56,0.63,120.34,121.67,75.01,0.44,227.89,85.23,43.34,0.75,554.01,22.34,0.32,878.67,43.34,0.54,227.78,64.89,0.22,446.67,86.34,0.63,339.89,75.78,0.44,553.56,87.34,0.75,227.89,64.89,0.32,446.67,86.45,0.54,664.12,22.34,0.63,339.89,75.78,0.44,553.56,11.89,0.75,878.23,33.23,0.22,446.67,0.83
1,41.67,42.23,802.34,0.66,123.23,124.56,76.56,0.47,232.23,87.45,44.45,0.76,563.78,23.12,0.34,892.67,44.45,0.56,232.12,66.78,0.24,454.34,88.56,0.66,344.45,77.23,0.47,563.23,89.56,0.76,232.23,66.78,0.34,454.34,88.67,0.56,672.34,23.12,0.66,344.45,77.23,0.47,563.23,12.56,0.76,892.12,34.23,0.24,454.34,0.86
1,38.89,39.45,769.12,0.62,118.89,120.23,73.89,0.43,226.12,83.89,42.56,0.74,550.23,21.78,0.31,874.12,42.56,0.53,226.01,64.12,0.21,443.56,85.01,0.62,337.12,74.56,0.43,549.78,86.01,0.74,226.12,64.12,0.31,443.56,85.12,0.53,660.45,21.78,0.62,337.12,74.56,0.43,549.78,11.45,0.74,873.56,32.56,0.21,443.56,0.82
1,40.56,41.12,788.45,0.64,121.01,122.34,75.34,0.45,229.23,85.89,43.56,0.75,557.45,22.45,0.33,883.23,43.56,0.55,229.12,65.56,0.23,449.34,86.89,0.64,341.34,76.01,0.45,557.01,87.89,0.75,229.23,65.56,0.33,449.34,87.01,0.55,666.12,22.45,0.64,341.34,76.01,0.45,557.01,11.89,0.75,882.67,33.34,0.23,449.34,0.84
