feature1,feature2,feature3,feature4,feature5,actual_score
3.9,3.6,-1.7,5.7,2.9,49.8
-5.7,6.1,-5.3,2.4,1.9,-6.8
5.1,4.3,2.6,3.4,5.4,66.9
-4.9,-1.6,4.7,-4.8,2.1,-28.4
2.6,5.9,3.1,5.1,4.6,72.8
1.7,-2.7,5.2,1.8,-3.4,18.6
-3.3,4.1,-3.7,4.9,5.8,28.9
4.6,2.4,4.9,2.7,3.2,57.4
-2.8,-6.7,1.6,-2.1,3.9,-38.7
5.8,5.2,5.1,4.3,1.7,74.2
-1.6,3.4,2.3,-5.9,4.7,6.8
3.2,-5.4,3.8,5.6,2.9,32.4
-4.1,1.8,-1.9,2.4,-4.2,-28.9
2.7,6.2,4.6,3.9,5.1,76.8
-5.4,-2.9,3.4,-5.7,1.9,-46.8
4.4,4.7,-2.8,1.6,4.3,48.7
1.5,-3.9,5.9,4.8,-2.1,28.9
-2.9,5.6,-1.7,5.4,2.7,32.4
6.1,3.9,2.1,4.7,5.9,76.9
-3.4,-4.6,4.8,-3.1,3.2,-18.4
3.8,1.9,-4.3,5.2,2.6,36.7
-1.7,6.8,3.7,-2.4,4.1,34.9
5.3,-2.1,4.1,2.9,5.7,56.8
-4.6,4.2,-5.7,3.6,1.8,-16.9
2.3,5.4,1.9,5.8,3.7,64.8
-3.9,-1.7,5.6,-4.9,4.9,-12.7
4.9,3.7,3.2,3.1,2.4,56.8
1.6,-5.1,2.7,5.3,3.9,28.7
-2.4,3.8,-2.9,4.6,5.2,26.9
5.7,6.9,4.4,2.3,1.8,76.2
-5.1,-3.6,1.9,-1.7,5.4,-28.9
3.6,2.6,-5.1,4.9,3.7,34.8
-1.9,4.9,2.1,-4.3,2.9,8.7
4.1,-1.4,5.8,5.7,2.6,62.4
-4.8,5.7,-3.4,1.9,4.2,12.8
2.9,1.8,4.7,3.8,5.9,62.7
-3.2,-5.9,2.6,-2.8,2.1,-38.4
5.6,4.1,1.4,4.6,4.7,64.9
1.7,-4.6,4.3,2.9,-3.7,12.8
-2.6,5.1,-4.2,5.7,3.4,28.4
6.3,3.4,5.9,1.8,2.7,72.8
-1.4,-2.9,3.1,4.2,5.3,24.9
3.3,2.1,-1.8,5.4,4.6,48.7
-5.8,6.4,-2.6,2.7,1.9,12.4
5.2,5.8,4.6,3.7,3.1,74.9
-4.3,-4.1,5.1,-3.9,2.4,-28.7
2.1,4.6,2.8,5.2,4.9,66.8
1.8,-3.2,3.4,1.7,5.1,29.4
-3.7,3.9,-5.4,4.3,2.6,6.9
4.5,6.7,2.9,2.1,5.3,71.8
-2.7,-1.8,4.7,-4.6,1.9,-14.8
5.9,2.9,5.4,4.9,2.8,69.7
-1.5,4.3,1.6,-3.1,5.7,21.9
3.7,-5.7,4.2,5.1,1.9,32.8
-4.9,1.6,-2.7,3.9,-3.4,-26.8
2.4,5.7,5.2,4.1,3.6,72.9
-5.6,-3.7,1.8,-4.3,4.8,-42.7
4.8,3.2,-3.9,2.7,5.4,44.8
1.3,-2.6,5.7,5.6,-1.8,34.9
-2.8,6.3,-1.4,1.9,4.2,29.7
6.2,4.6,3.6,5.4,2.9,79.8
-3.1,-6.8,2.7,-2.6,3.1,-42.1
3.9,1.4,-4.7,4.8,5.9,44.7
-1.6,5.9,4.9,-5.2,2.4,18.9
5.4,-3.8,2.1,3.2,4.1,38.7
-4.2,4.7,-4.6,5.3,1.7,8.4
2.7,2.3,4.1,2.8,5.6,56.9
-3.8,-2.4,5.9,-5.7,2.9,-18.9
4.6,5.4,1.8,4.7,3.9,66.8
1.9,-4.1,3.6,1.9,5.3,28.4
-2.3,3.7,-3.1,5.9,4.7,28.9
5.8,7.1,5.3,2.6,1.9,78.4
-5.3,-1.9,2.4,-3.4,5.1,-32.8
3.4,4.8,-2.9,3.8,2.7,42.9
-1.7,2.6,3.2,-4.7,5.4,12.8
4.9,-1.7,4.8,5.4,3.1,58.9
-4.7,5.3,-5.1,2.1,3.6,2.9
2.8,5.1,2.7,4.9,4.8,68.7
-3.4,-4.9,4.2,-1.8,1.7,-24.8
5.1,3.6,5.6,2.4,5.2,68.9
1.4,-5.3,1.9,4.3,2.9,16.7
-2.9,4.9,-4.8,3.7,5.1,18.4
6.4,2.8,4.3,5.7,3.4,78.9
-1.8,-3.4,5.7,2.1,-4.2,-2.9
3.6,1.9,-3.4,5.6,4.7,46.8
-5.2,6.7,-1.9,1.4,2.8,18.9
5.7,4.3,3.1,4.1,1.6,62.8
-4.4,-2.6,2.9,-5.9,4.2,-32.7
2.5,6.4,4.8,3.6,2.7,74.2
1.6,-4.8,5.3,2.7,-2.4,18.9
-3.1,3.2,-2.6,5.1,5.7,28.4
4.3,5.9,1.7,2.9,4.3,62.8
-2.6,-1.7,4.9,-3.9,2.4,-11.8
5.4,2.7,5.8,5.3,3.7,72.9
-1.3,5.6,2.4,-2.7,4.9,27.8
3.8,-3.4,4.6,1.8,5.1,38.9
-4.9,1.7,-3.8,4.7,-2.9,-24.8
2.1,4.2,5.4,4.3,5.8,72.8
-5.7,-5.2,1.6,-4.1,1.9,-52.4
4.7,3.9,2.8,3.4,4.2,60.7
1.8,-2.1,4.1,5.9,-3.6,26.8
-2.7,5.8,-5.6,2.3,3.9,12.4
6.1,4.7,4.9,1.9,2.6,72.8
-3.9,-4.7,3.4,-4.8,5.7,-28.9
3.2,2.4,-1.6,5.8,2.9,44.8
-1.4,6.2,5.1,-3.9,4.3,32.7
5.6,-2.9,3.7,2.6,5.4,52.8
-4.1,4.9,-4.3,5.4,1.8,12.9
2.9,1.7,3.9,4.1,5.2,58.7
-3.6,-3.1,5.6,-2.4,3.7,-8.9
4.4,6.1,2.3,5.6,2.8,71.9
1.5,-5.7,4.7,3.2,-1.9,14.8
-2.8,3.4,-2.1,1.9,4.6,12.7
5.9,5.3,5.7,4.2,3.9,82.4
-5.4,-2.8,2.1,-5.3,2.7,-46.8
3.7,4.6,-4.1,2.4,5.6,44.9
-1.6,2.7,3.8,-5.1,2.1,1.8
4.8,-1.3,5.2,5.7,4.3,64.7
-4.6,5.6,-2.8,3.9,2.9,18.4
2.3,5.9,4.3,2.7,4.7,68.9
-3.2,-5.6,1.9,-3.7,-2.1,-42.8
5.3,3.1,3.6,4.8,1.9,61.8
1.7,-4.2,2.8,5.4,5.1,38.9
-2.4,4.7,-5.9,4.1,2.7,8.9
6.6,2.9,4.1,3.6,5.3,76.8
-1.9,-2.9,5.3,1.8,-3.8,-4.7
3.4,1.8,-2.7,5.9,4.2,46.9
