Age,Department,JobSatisfaction,MonthlyIncome,YearsAtCompany,WorkLifeBalance,OverTime,Attrition
46,HR,3,11000,12,3,No,0
33,R&D,4,12000,5,4,No,0
54,Sales,3,10000,15,2,No,0
37,HR,2,7800,6,2,Yes,1
25,R&D,2,7000,1,2,Yes,1
51,Sales,4,13500,15,3,No,0
40,HR,3,9800,8,3,No,0
43,R&D,4,14200,9,4,No,0
27,Sales,1,5500,2,1,Yes,1
47,HR,3,11500,13,3,No,0
38,R&D,4,14800,8,4,No,0
42,Sales,2,8000,7,2,Yes,1
31,HR,3,9200,5,3,No,0
50,R&D,4,16000,17,4,No,0
26,Sales,1,5500,1,1,Yes,1
45,HR,3,10500,11,3,No,0
34,R&D,4,12500,7,4,No,0
53,Sales,3,9800,14,2,No,0
39,HR,2,8500,7,2,Yes,0
28,R&D,3,8200,3,3,No,0
49,Sales,4,13000,13,3,No,0
36,HR,2,7500,6,2,Yes,1
44,R&D,4,13800,10,4,No,0
30,Sales,1,5800,2,1,Yes,1
52,HR,3,11800,18,3,No,0
35,R&D,4,14500,8,4,No,0
41,Sales,2,7800,6,2,Yes,1
24,HR,2,7200,1,2,Yes,1
48,R&D,4,15500,15,4,No,0
32,Sales,1,6000,2,1,Yes,1
46,HR,3,10800,12,3,No,0
29,R&D,4,11500,4,4,No,0
54,Sales,3,10200,15,2,No,0
37,HR,2,8000,6,2,Yes,0
25,R&D,3,7500,1,2,No,0
51,Sales,4,13200,14,3,No,0
33,HR,3,9500,5,3,No,0
43,R&D,4,14500,11,4,No,0
27,Sales,1,5200,2,1,Yes,1
47,HR,3,11200,13,3,No,0
38,R&D,4,13500,8,4,No,0
42,Sales,2,8500,8,2,Yes,1
31,HR,3,9800,5,3,No,0
50,R&D,4,15800,17,4,No,0
26,Sales,1,5500,1,1,Yes,1
45,HR,3,10200,11,3,No,0
34,R&D,4,13200,7,4,No,0
53,Sales,3,9500,13,2,No,0
39,HR,2,8200,7,2,Yes,0
28,R&D,3,8500,3,3,No,0
49,Sales,4,12500,13,3,No,0
36,HR,2,7800,6,2,Yes,1
44,R&D,4,14000,10,4,No,0
30,Sales,1,6200,2,1,Yes,1
52,HR,3,12000,18,3,No,0
35,R&D,4,13800,8,4,No,0
41,Sales,2,7500,6,2,Yes,1
29,HR,3,8800,4,3,No,0
48,R&D,4,15200,14,4,No,0
32,Sales,1,5800,2,1,Yes,1
46,HR,3,10500,12,3,No,0
33,R&D,4,12200,5,4,No,0
54,Sales,3,10500,15,2,No,0
37,HR,2,7800,6,2,Yes,1
25,R&D,2,7200,1,2,Yes,1
51,Sales,4,13000,14,3,No,0
40,HR,3,9500,8,3,No,0
43,R&D,4,14200,9,4,No,0
27,Sales,1,5500,2,1,Yes,1
47,HR,3,11500,13,3,No,0
38,R&D,4,14500,8,4,No,0
42,Sales,2,8000,7,2,Yes,1
31,HR,3,9200,5,3,No,0
50,R&D,4,16200,17,4,No,0
26,Sales,1,5200,1,1,Yes,1
45,HR,3,10800,12,3,No,0
34,R&D,4,12800,7,4,No,0
53,Sales,3,9800,14,2,No,0
39,HR,2,8500,7,2,Yes,0
28,R&D,3,8000,3,3,No,0
49,Sales,4,13500,14,3,No,0
36,HR,2,7500,6,2,Yes,1
44,R&D,4,13500,10,4,No,0
30,Sales,1,5800,2,1,Yes,1
52,HR,3,11800,18,3,No,0
35,R&D,4,14200,8,4,No,0
41,Sales,2,7800,6,2,Yes,1
28,HR,3,9000,4,3,No,0
48,R&D,4,15500,15,4,No,0
32,Sales,1,6000,2,1,Yes,1
46,HR,3,10200,12,3,No,0
29,R&D,4,11200,4,4,No,0
54,Sales,3,10000,15,2,No,0
37,HR,2,8200,6,2,Yes,0
25,R&D,3,7800,1,2,No,0
51,Sales,4,13200,14,3,No,0
33,HR,3,9800,5,3,No,0
43,R&D,4,14800,11,4,No,0
27,Sales,1,5500,2,1,Yes,1
47,HR,3,11000,13,3,No,0
38,R&D,4,13800,8,4,No,0
42,Sales,2,8200,8,2,Yes,1
31,HR,3,9500,5,3,No,0
50,R&D,4,15800,17,4,No,0
26,Sales,1,5200,1,1,Yes,1
45,HR,3,10500,11,3,No,0
34,R&D,4,13000,7,4,No,0
53,Sales,3,9500,14,2,No,0
39,HR,2,8000,7,2,Yes,0
28,R&D,3,8500,3,3,No,0
49,Sales,4,12800,13,3,No,0
36,HR,2,7800,6,2,Yes,1
44,R&D,4,14500,10,4,No,0
30,Sales,1,6200,2,1,Yes,1
52,HR,3,12200,18,3,No,0
35,R&D,4,14000,8,4,No,0
41,Sales,2,7500,6,2,Yes,1
29,HR,3,8800,4,3,No,0
48,R&D,4,15000,14,4,No,0
32,Sales,1,5800,2,1,Yes,1
46,HR,3,11000,12,3,No,0
33,R&D,4,12000,5,4,No,0
54,Sales,3,10000,15,2,No,0
37,HR,2,7800,6,2,Yes,1
25,R&D,2,7000,1,2,Yes,1
