sensor_id,latitude,longitude,temperature,humidity,pressure
sensor_0455,32.8012,-96.7690,29.0,73.1,1016.2
sensor_0456,32.7723,-96.7945,28.0,70.8,1015.1
sensor_0457,32.7923,-96.7779,28.5,71.8,1015.7
sensor_0458,32.7845,-96.7812,28.3,71.4,1015.4
sensor_0459,32.8023,-96.7667,29.1,73.2,1016.3
sensor_0460,32.7689,-96.7978,27.9,70.4,1015.0
sensor_0461,-33.8745,151.2123,22.4,58.9,1018.5
sensor_0462,-33.8678,151.2078,22.2,58.4,1018.3
sensor_0463,-33.8767,151.2167,22.6,59.3,1018.7
sensor_0464,-33.8712,151.2101,22.3,58.7,1018.4
sensor_0465,-33.8801,151.2201,22.7,59.6,1018.8
sensor_0466,-33.8623,151.2045,22.0,58.0,1018.1
sensor_0467,-33.8734,151.2134,22.5,59.0,1018.6
sensor_0468,-33.8701,151.2089,22.2,58.6,1018.3
sensor_0469,-33.8789,151.2178,22.6,59.5,1018.7
sensor_0470,-33.8634,151.2056,22.1,58.1,1018.2
sensor_0471,51.5145,-0.1212,14.6,69.3,1010.7
sensor_0472,51.5098,-0.1245,14.4,68.7,1010.5
sensor_0473,51.5189,-0.1179,14.9,70.0,1011.0
sensor_0474,51.5116,-0.1234,14.5,68.9,1010.6
sensor_0475,51.5212,-0.1157,15.1,70.4,1011.2
sensor_0476,51.5067,-0.1267,14.2,68.3,1010.3
sensor_0477,51.5167,-0.1190,14.8,69.6,1010.9
sensor_0478,51.5125,-0.1223,14.5,69.0,1010.6
sensor_0479,51.5223,-0.1146,15.2,70.6,1011.3
sensor_0480,51.5056,-0.1278,14.1,68.1,1010.2
sensor_0481,35.6845,139.6589,20.1,66.3,1013.1
sensor_0482,35.6778,139.6523,19.9,65.5,1012.9
sensor_0483,35.6890,139.6634,20.3,66.8,1013.3
sensor_0484,35.6823,139.6556,20.0,66.0,1013.0
sensor_0485,35.6934,139.6678,20.5,67.4,1013.5
sensor_0486,35.6701,139.6445,19.6,64.7,1012.6
sensor_0487,35.6867,139.6612,20.2,66.6,1013.2
sensor_0488,35.6812,139.6545,19.9,65.8,1012.9
sensor_0489,35.6945,139.6689,20.6,67.6,1013.6
sensor_0490,35.6678,139.6423,19.5,64.4,1012.5
sensor_0491,-23.5590,-46.6256,26.0,77.1,1017.1
sensor_0492,-23.5523,-46.6334,25.8,76.6,1016.9
sensor_0493,-23.5634,-46.6212,26.2,77.7,1017.3
sensor_0494,-23.5567,-46.6278,26.0,76.9,1017.0
sensor_0495,-23.5656,-46.6189,26.4,77.9,1017.4
sensor_0496,-23.5467,-46.6389,25.6,76.1,1016.7
sensor_0497,-23.5612,-46.6234,26.1,77.4,1017.2
sensor_0498,-23.5545,-46.6301,25.9,76.8,1017.0
sensor_0499,-23.5678,-46.6178,26.5,78.1,1017.5
sensor_0500,-23.5456,-46.6401,25.5,75.9,1016.6
sensor_0501,40.7201,-74.0000,20.7,60.3,1014.8
sensor_0502,40.7134,-74.0056,20.4,59.7,1014.5
sensor_0503,40.7234,-73.9956,21.0,61.0,1015.1
sensor_0504,40.7178,-74.0011,20.6,60.1,1014.7
sensor_0505,40.7256,-73.9945,21.1,61.4,1015.2
sensor_0506,40.7078,-74.0097,20.3,59.2,1014.4
sensor_0507,40.7212,-73.9978,20.8,60.7,1014.9
sensor_0508,40.7167,-74.0023,20.6,60.0,1014.6
sensor_0509,40.7267,-73.9934,21.2,61.6,1015.3
sensor_0510,40.7067,-74.0108,20.2,59.0,1014.3
sensor_0511,55.7634,37.6178,13.0,73.1,1009.9
sensor_0512,55.7567,37.6156,12.8,72.5,1009.7
sensor_0513,55.7678,37.6278,13.3,73.7,1010.1
sensor_0514,55.7612,37.6189,13.0,72.9,1009.9
sensor_0515,55.7701,37.6301,13.4,74.0,1010.3
sensor_0516,55.7501,37.6123,12.7,72.1,1009.6
sensor_0517,55.7656,37.6267,13.1,73.5,1010.0
sensor_0518,55.7589,37.6178,12.9,72.7,1009.8
sensor_0519,55.7712,37.6312,13.5,74.2,1010.4
sensor_0520,55.7478,37.6101,12.6,71.8,1009.5
sensor_0521,45.2445,12.3612,18.9,63.7,1013.7
sensor_0522,45.2323,12.3467,18.6,62.4,1013.3
sensor_0523,45.2534,12.3745,19.2,64.9,1014.1
sensor_0524,45.2256,12.3401,18.4,61.8,1013.1
sensor_0525,45.2612,12.3789,19.6,65.5,1014.5
sensor_0526,45.2334,12.3478,18.7,62.5,1013.4
sensor_0527,45.2467,12.3634,19.0,64.1,1013.8
sensor_0528,45.2212,12.3356,18.2,61.4,1012.9
sensor_0529,45.2623,12.3812,19.7,65.9,1014.6
sensor_0530,45.2312,12.3456,18.6,62.5,1013.3
sensor_0531,32.7989,-96.7745,28.8,72.3,1016.0
sensor_0532,32.7823,-96.7879,28.3,71.1,1015.4
sensor_0533,32.7945,-96.7734,28.6,72.0,1015.8
sensor_0534,32.7867,-96.7823,28.4,71.7,1015.6
sensor_0535,32.8023,-96.7678,29.1,73.2,1016.3
sensor_0536,32.7734,-96.7934,28.1,70.9,1015.2
sensor_0537,32.7934,-96.7768,28.6,71.9,1015.7
sensor_0538,32.7856,-96.7801,28.3,71.5,1015.5
sensor_0539,32.8034,-96.7656,29.2,73.3,1016.4
sensor_0540,32.7701,-96.7967,27.9,70.5,1015.0
sensor_0541,-33.8756,151.2134,22.5,59.0,1018.6
sensor_0542,-33.8689,151.2089,22.2,58.5,1018.3
sensor_0543,-33.8778,151.2178,22.6,59.4,1018.7
sensor_0544,-33.8723,151.2112,22.4,58.8,1018.5
sensor_0545,-33.8812,151.2212,22.7,59.7,1018.8
sensor_0546,-33.8634,151.2056,22.1,58.1,1018.2
sensor_0547,-33.8745,151.2145,22.5,59.1,1018.6
sensor_0548,-33.8712,151.2101,22.3,58.7,1018.4
sensor_0549,-33.8801,151.2189,22.7,59.6,1018.8
sensor_0550,-33.8645,151.2067,22.1,58.2,1018.2
sensor_0551,51.5156,-0.1201,14.7,69.4,1010.8
sensor_0552,51.5107,-0.1234,14.4,68.8,1010.5
sensor_0553,51.5201,-0.1168,15.0,70.1,1011.1
sensor_0554,51.5125,-0.1223,14.5,69.0,1010.6
sensor_0555,51.5223,-0.1146,15.2,70.5,1011.3
sensor_0556,51.5078,-0.1256,14.3,68.4,1010.3
sensor_0557,51.5178,-0.1179,14.9,69.7,1010.9
sensor_0558,51.5134,-0.1212,14.6,69.1,1010.7
sensor_0559,51.5234,-0.1135,15.3,70.7,1011.4
sensor_0560,51.5067,-0.1267,14.2,68.2,1010.2
sensor_0561,35.6856,139.6601,20.2,66.4,1013.2
sensor_0562,35.6789,139.6534,19.9,65.6,1012.9
sensor_0563,35.6901,139.6645,20.4,66.9,1013.4
sensor_0564,35.6834,139.6567,20.1,66.1,1013.1
sensor_0565,35.6945,139.6689,20.6,67.5,1013.6
sensor_0566,35.6712,139.6456,19.7,64.8,1012.7
sensor_0567,35.6878,139.6623,20.3,66.7,1013.3
sensor_0568,35.6823,139.6556,20.0,65.9,1013.0
sensor_0569,35.6956,139.6701,20.7,67.7,1013.7
sensor_0570,35.6689,139.6434,19.6,64.5,1012.6
sensor_0571,-23.5601,-46.6245,26.1,77.2,1017.2
sensor_0572,-23.5534,-46.6345,25.9,76.7,1017.0
sensor_0573,-23.5645,-46.6201,26.3,77.8,1017.4
sensor_0574,-23.5578,-46.6267,26.0,77.0,1017.1
sensor_0575,-23.5667,-46.6178,26.4,78.0,1017.5
sensor_0576,-23.5478,-46.6401,25.7,76.2,1016.8
sensor_0577,-23.5623,-46.6223,26.2,77.5,1017.3
sensor_0578,-23.5556,-46.6289,26.0,76.9,1017.0
sensor_0579,-23.5689,-46.6167,26.5,78.2,1017.6
sensor_0580,-23.5467,-46.6412,25.6,76.0,1016.7
sensor_0581,40.7212,-73.9989,20.8,60.4,1014.9
sensor_0582,40.7145,-74.0045,20.5,59.8,1014.6
sensor_0583,40.7245,-73.9945,21.1,61.1,1015.2
sensor_0584,40.7189,-74.0000,20.7,60.2,1014.8
