f1,f2,f3,f4,f5,f6,f7,f8
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
-3.467,2.956,0.645,-1.245,-1.010,1.367,2.887,-2.367
-1.223,0.876,-3.456,1.989,-2.345,0.456,3.267,-1.578
-3.434,2.967,0.656,-1.212,-0.998,1.334,2.854,-2.334
-0.412,3.289,2.167,-0.901,1.412,3.034,-1.245,0.678
1.023,-1.212,0.445,-2.323,3.445,-1.854,3.012,1.245
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
-3.478,2.934,0.612,-1.223,-1.054,1.378,2.909,-2.378
-1.256,0.898,-3.478,1.956,-2.367,0.478,3.245,-1.589
-3.445,2.923,0.623,-1.256,-1.021,1.312,2.843,-2.312
-0.456,3.267,2.178,-0.923,1.456,3.001,-1.267,0.689
0.989,-1.256,0.478,-2.356,3.478,-1.898,2.978,1.212
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
-3.456,2.945,0.634,-1.234,-1.032,1.345,2.876,-2.345
-1.234,0.865,-3.445,1.978,-2.356,0.445,3.234,-1.567
-3.489,2.978,0.667,-1.267,-0.987,1.389,2.921,-2.389
-0.423,3.234,2.156,-0.889,1.423,3.012,-1.278,0.701
1.056,-1.189,0.423,-2.289,3.423,-1.810,3.034,1.278
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
-3.423,2.989,0.678,-1.198,-0.965,1.323,2.865,-2.323
-1.201,0.887,-3.467,2.001,-2.334,0.467,3.256,-1.578
-3.467,2.956,0.645,-1.245,-1.010,1.356,2.898,-2.356
-0.489,3.256,2.189,-0.956,1.489,2.989,-1.234,0.645
0.934,-1.234,0.456,-2.334,3.456,-1.876,2.956,1.234
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
-3.434,2.967,0.656,-1.212,-0.998,1.301,2.832,-2.301
-1.267,0.876,-3.456,1.967,-2.378,0.456,3.267,-1.589
-3.478,2.934,0.612,-1.223,-1.054,1.367,2.887,-2.367
-0.467,3.278,2.167,-0.934,1.467,3.023,-1.256,0.678
1.001,-1.201,0.434,-2.312,3.434,-1.843,2.989,1.245
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
-3.445,2.923,0.623,-1.256,-1.021,1.334,2.854,-2.334
-1.245,0.898,-3.478,1.978,-2.367,0.478,3.245,-1.567
-3.456,2.945,0.634,-1.234,-1.032,1.378,2.909,-2.378
-0.445,3.289,2.178,-0.912,1.445,3.012,-1.289,0.689
0.967,-1.267,0.467,-2.367,3.467,-1.898,2.967,1.223
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
-3.489,2.989,0.678,-1.267,-0.965,1.312,2.843,-2.312
-1.223,0.865,-3.434,1.989,-2.345,0.434,3.267,-1.578
-3.423,2.956,0.645,-1.198,-1.010,1.345,2.876,-2.345
-0.478,3.267,2.156,-0.945,1.478,3.001,-1.223,0.656
1.034,-1.178,0.445,-2.301,3.445,-1.821,3.023,1.256
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
-3.467,2.978,0.667,-1.245,-0.987,1.389,2.921,-2.389
-1.256,0.887,-3.467,1.956,-2.378,0.467,3.256,-1.589
-3.434,2.967,0.656,-1.212,-0.998,1.323,2.865,-2.323
-0.412,3.245,2.189,-0.901,1.412,2.989,-1.245,0.678
0.978,-1.245,0.478,-2.345,3.478,-1.887,2.978,1.212
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
-3.478,2.934,0.612,-1.223,-1.054,1.356,2.898,-2.356
-1.234,0.876,-3.445,1.978,-2.356,0.445,3.234,-1.567
-3.445,2.989,0.678,-1.256,-0.943,1.301,2.832,-2.301
-0.456,3.234,2.167,-0.923,1.456,3.012,-1.267,0.689
1.012,-1.212,0.445,-2.323,3.445,-1.854,3.001,1.267
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
-3.456,2.923,0.623,-1.234,-1.021,1.367,2.887,-2.367
-1.201,0.898,-3.478,2.001,-2.334,0.478,3.267,-1.578
-3.489,2.956,0.645,-1.267,-1.010,1.334,2.854,-2.334
-0.423,3.256,2.178,-0.889,1.423,3.023,-1.278,0.701
0.945,-1.256,0.456,-2.356,3.456,-1.898,2.945,1.223
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
-3.423,2.945,0.634,-1.198,-1.032,1.378,2.909,-2.378
-1.267,0.865,-3.434,1.967,-2.367,0.434,3.245,-1.589
-3.467,2.967,0.656,-1.245,-0.998,1.312,2.843,-2.312
-0.489,3.267,2.156,-0.956,1.489,2.989,-1.234,0.645
1.023,-1.189,0.434,-2.301,3.434,-1.821,3.012,1.245
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
-3.434,2.934,0.612,-1.212,-1.054,1.345,2.876,-2.345
-1.245,0.887,-3.467,1.978,-2.378,0.467,3.256,-1.567
-3.478,2.978,0.667,-1.223,-0.987,1.389,2.921,-2.389
-0.467,3.278,2.189,-0.934,1.467,3.001,-1.256,0.678
0.989,-1.234,0.467,-2.334,3.467,-1.876,2.978,1.212
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
-3.445,2.989,0.678,-1.256,-0.943,1.323,2.865,-2.323
-1.223,0.876,-3.456,1.989,-2.345,0.456,3.267,-1.578
-3.456,2.956,0.645,-1.234,-1.010,1.356,2.898,-2.356
-0.445,3.289,2.167,-0.912,1.445,3.012,-1.289,0.689
1.056,-1.201,0.423,-2.289,3.423,-1.843,3.034,1.278
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
-3.489,2.923,0.623,-1.267,-1.021,1.301,2.832,-2.301
-1.256,0.898,-3.478,1.956,-2.367,0.478,3.245,-1.589
-3.423,2.967,0.656,-1.198,-0.998,1.367,2.887,-2.367
-0.478,3.245,2.178,-0.945,1.478,2.989,-1.223,0.656
0.934,-1.267,0.478,-2.367,3.478,-1.898,2.956,1.234
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
-3.467,2.934,0.612,-1.245,-1.054,1.334,2.854,-2.334
-1.234,0.865,-3.445,1.978,-2.356,0.445,3.234,-1.567
-3.434,2.945,0.634,-1.212,-1.032,1.378,2.909,-2.378
-0.412,3.267,2.156,-0.901,1.412,3.023,-1.245,0.678
1.001,-1.178,0.445,-2.312,3.445,-1.821,2.989,1.245
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
-3.478,2.989,0.678,-1.223,-0.965,1.312,2.843,-2.312
-1.201,0.887,-3.467,2.001,-2.334,0.467,3.256,-1.578
-3.445,2.956,0.645,-1.256,-1.010,1.345,2.876,-2.345
-0.456,3.234,2.189,-0.923,1.456,2.989,-1.267,0.689
0.967,-1.245,0.456,-2.345,3.456,-1.887,2.967,1.223
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
-3.456,2.923,0.623,-1.234,-1.021,1.389,2.921,-2.389
-1.267,0.876,-3.456,1.967,-2.378,0.456,3.267,-1.589
-3.489,2.967,0.656,-1.267,-0.998,1.323,2.865,-2.323
-0.423,3.256,2.167,-0.889,1.423,3.001,-1.278,0.701
1.034,-1.212,0.434,-2.301,3.434,-1.854,3.023,1.256
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
-3.423,2.978,0.667,-1.198,-0.987,1.356,2.898,-2.356
-1.245,0.898,-3.478,1.978,-2.367,0.478,3.245,-1.567
-3.467,2.934,0.612,-1.245,-1.054,1.301,2.832,-2
