feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,defect_label,grade_label,performance_score
61.89,756.78,0.82,28.78,522.67,78.23,15.67,963.78,52.23,0.89,39.56,145.67,721.89,0.61,62.45,267.23,51.34,0.69,0,0,95.0
46.56,646.78,0.67,23.89,454.67,67.89,12.45,879.45,45.78,0.75,34.78,126.34,668.90,0.46,56.45,235.23,45.89,0.57,0,1,72.6
53.12,679.67,0.73,25.89,480.89,71.78,13.78,909.67,48.45,0.81,37.01,134.23,685.89,0.53,58.89,246.23,48.12,0.62,0,0,88.5
34.78,563.67,0.50,20.45,401.89,60.45,9.89,797.45,39.01,0.63,29.67,107.23,629.67,0.36,50.78,211.23,40.78,0.47,1,2,33.6
58.78,737.89,0.79,28.01,513.67,76.78,15.23,947.89,51.45,0.87,38.78,142.78,712.67,0.59,61.45,262.34,50.56,0.68,0,0,93.8
43.56,629.89,0.65,23.01,443.89,66.78,11.89,860.67,44.45,0.73,33.67,122.01,660.78,0.44,55.12,231.67,44.78,0.55,0,1,70.2
50.89,693.45,0.72,25.56,473.45,70.89,13.56,900.67,47.78,0.79,36.56,132.12,682.67,0.52,58.34,243.67,47.56,0.61,0,1,76.6
32.78,546.89,0.48,20.01,395.56,59.45,9.67,785.89,38.56,0.61,29.12,104.45,620.45,0.35,50.01,208.45,40.34,0.46,1,2,31.7
56.78,721.89,0.77,27.56,508.34,76.12,15.01,936.67,50.67,0.86,38.34,141.56,709.23,0.58,60.89,260.01,50.12,0.67,0,0,92.4
42.67,620.45,0.63,22.78,439.12,66.12,11.67,853.45,43.89,0.72,33.34,120.89,658.45,0.43,54.67,230.12,44.34,0.54,0,1,69.3
49.89,686.89,0.71,25.23,470.67,70.67,13.34,897.23,47.56,0.79,36.34,131.23,680.23,0.51,58.01,242.12,47.23,0.60,0,1,75.3
31.34,537.89,0.47,19.89,391.78,59.01,9.45,779.67,38.12,0.60,28.78,102.89,615.89,0.34,49.67,205.89,39.78,0.44,1,2,30.5
55.78,702.67,0.76,26.89,488.45,73.34,14.45,924.01,49.34,0.85,37.89,138.56,692.01,0.56,59.56,250.89,48.89,0.64,0,0,89.9
39.23,596.01,0.55,21.45,417.78,63.12,10.45,831.89,41.67,0.67,31.67,113.45,649.89,0.39,52.78,221.23,42.45,0.49,1,2,36.4
62.01,757.56,0.82,28.78,523.45,78.34,15.67,965.23,52.34,0.89,39.56,145.89,722.67,0.61,62.45,267.67,51.34,0.69,0,0,95.1
46.78,649.89,0.68,24.01,456.12,68.34,12.56,882.67,46.01,0.76,34.89,127.12,670.67,0.46,56.67,236.12,46.23,0.57,0,1,73.0
53.56,685.89,0.74,26.23,482.12,72.45,13.89,913.89,48.67,0.82,37.23,135.01,687.89,0.54,59.23,247.56,48.45,0.62,0,0,88.9
35.56,569.45,0.51,20.67,404.56,60.89,9.89,802.67,39.45,0.63,30.01,108.12,632.67,0.37,51.23,212.89,41.23,0.48,1,2,34.1
59.56,742.45,0.80,28.12,517.56,77.23,15.45,952.67,51.67,0.87,38.89,143.45,715.45,0.59,61.78,263.89,50.78,0.68,0,0,94.5
43.89,631.67,0.65,23.12,444.89,67.01,11.89,861.89,44.56,0.73,33.78,122.45,661.34,0.44,55.23,231.89,44.89,0.55,0,1,70.5
51.45,698.67,0.72,25.67,475.89,71.23,13.67,905.89,48.12,0.80,36.67,132.67,684.45,0.52,58.45,244.56,47.78,0.61,0,1,77.5
33.01,549.23,0.48,20.12,396.78,59.67,9.67,788.67,38.67,0.62,29.23,105.34,621.89,0.36,50.12,209.01,40.45,0.46,1,2,31.9
57.23,725.45,0.78,27.67,508.89,76.23,15.01,938.67,50.89,0.87,38.45,141.78,710.01,0.59,61.01,260.45,50.23,0.67,0,0,92.6
42.78,622.34,0.64,22.89,440.23,66.23,11.78,855.89,44.23,0.72,33.56,121.23,659.12,0.43,54.78,230.23,44.56,0.54,0,1,69.5
50.67,691.89,0.72,25.45,472.45,70.78,13.45,899.45,47.67,0.79,36.45,131.78,681.67,0.51,58.23,243.12,47.45,0.60,0,1,76.2
31.89,541.67,0.47,19.89,393.45,59.23,9.56,782.34,38.34,0.61,29.01,103.78,618.12,0.35,49.89,207.12,40.12,0.45,1,2,31.1
56.34,706.12,0.76,27.01,490.23,73.56,14.56,926.89,49.45,0.85,38.01,138.89,693.89,0.57,59.67,252.12,49.12,0.64,0,0,90.6
39.45,598.67,0.55,21.56,418.89,63.34,10.56,833.45,41.89,0.68,31.89,114.01,651.45,0.40,53.01,222.34,42.67,0.50,1,2,37.1
61.78,755.89,0.82,28.67,521.89,78.12,15.56,962.89,52.12,0.88,39.45,145.45,721.23,0.61,62.34,266.67,51.23,0.69,0,0,94.8
46.45,645.67,0.67,23.89,453.89,67.78,12.34,878.67,45.67,0.75,34.67,126.12,668.23,0.46,56.34,234.89,45.78,0.56,0,1,72.4
52.89,678.89,0.73,25.89,480.12,71.67,13.78,909.12,48.34,0.81,36.89,134.01,685.56,0.53,58.78,246.01,48.01,0.61,0,1,77.8
