square_footage,num_bedrooms,num_bathrooms,age_years,distance_to_city_km,has_garage,has_pool,price_usd
3500,4,3,8,6.2,1,1,635000
1250,2,1,51,29.8,0,0,160000
2850,4,3,13,9.2,1,1,530000
1950,3,2,25,15.1,1,0,350000
3750,5,3,7,4.4,1,1,680000
1600,2,2,36,22.1,0,0,265000
2650,3,2,16,10.9,1,0,470000
4050,5,4,5,3.6,1,1,720000
1800,3,2,28,17.2,1,0,310000
2950,4,3,10,7.6,1,1,560000
2200,3,2,21,13.8,1,0,395000
3400,4,3,9,6.2,1,1,615000
1300,2,1,48,28.1,0,0,185000
2800,4,3,12,9.1,1,1,520000
1900,3,2,27,16.5,1,0,325000
3700,5,3,7,5.3,1,1,675000
1550,2,2,37,22.8,0,0,255000
2700,3,2,16,10.8,1,0,475000
4150,5,4,5,3.1,1,1,730000
1800,3,2,28,18.2,1,0,315000
3000,4,3,11,7.9,1,1,565000
2100,3,2,23,14.9,1,0,380000
3350,4,3,9,7.1,1,1,610000
1350,2,1,46,26.5,0,0,195000
2750,4,2,14,10.1,1,0,490000
3900,5,3,6,4.2,1,1,695000
1850,3,2,26,16.2,1,0,335000
2500,3,2,19,11.3,1,0,450000
4300,5,4,4,2.3,1,1,745000
1650,3,2,32,19.1,1,0,285000
3050,4,3,10,7.2,1,1,575000
2050,3,2,24,15.3,1,0,375000
3450,4,3,8,5.2,1,1,625000
1300,2,1,48,28.6,0,0,190000
2850,4,3,12,8.2,1,1,535000
1950,3,2,25,16.1,1,0,355000
3700,5,3,7,5.2,1,1,680000
1500,2,2,37,22.3,0,0,250000
2650,3,2,16,10.1,1,0,470000
4000,5,4,5,3.2,1,1,715000
1750,3,2,29,18.5,1,0,305000
2950,4,3,10,7.2,1,1,555000
2150,3,2,22,14.4,1,0,390000
3300,4,3,9,6.9,1,1,605000
1200,2,1,52,30.6,0,0,150000
2700,4,2,15,10.3,1,0,485000
3850,5,3,6,4.9,1,1,690000
1850,3,2,26,16.6,1,0,330000
2550,3,2,18,11.2,1,0,460000
4250,5,4,4,3.3,1,1,735000
1700,3,2,31,19.3,1,0,295000
3100,4,3,10,7.4,1,1,580000
2050,3,2,24,14.8,1,0,375000
3400,4,3,8,5.4,1,1,620000
1300,2,1,48,27.1,0,0,185000
2800,4,3,12,8.2,1,1,525000
1900,3,2,27,17.4,1,0,340000
3650,4,3,7,5.5,1,1,665000
1600,2,2,36,21.3,0,0,265000
2700,3,2,16,11.1,1,0,480000
4150,5,4,5,3.8,1,1,730000
1800,3,2,28,17.1,1,0,315000
2950,4,3,11,7.7,1,1,550000
2250,3,2,20,13.3,1,0,405000
3350,4,3,9,7.3,1,1,610000
1400,2,1,43,25.2,0,0,210000
2750,4,2,14,9.1,1,0,495000
3950,5,3,6,4.7,1,1,705000
1850,3,2,26,16.4,1,0,330000
2600,3,2,17,11.6,1,0,465000
4350,5,4,4,3.4,1,1,750000
1700,3,2,31,20.3,1,0,295000
3100,4,3,10,6.4,1,1,580000
2150,3,2,23,15.1,1,0,385000
3500,4,3,8,6.4,1,1,640000
1250,2,1,50,28.6,0,0,165000
2850,4,3,12,8.9,1,1,535000
1950,3,2,25,15.2,1,0,350000
3750,5,3,7,4.2,1,1,685000
1600,2,2,36,21.9,0,0,265000
2700,3,2,16,11.2,1,0,475000
4050,5,4,5,3.5,1,1,720000
1800,3,2,28,18.2,1,0,310000
3000,4,3,10,7.8,1,1,565000
2200,3,2,21,13.2,1,0,395000
3400,4,3,9,6.2,1,1,615000
1350,2,1,46,26.8,0,0,195000
2800,4,3,13,9.4,1,1,520000
1900,3,2,27,16.2,1,0,325000
3700,5,3,7,4.4,1,1,675000
1500,2,2,37,22.7,0,0,245000
2650,3,2,16,10.6,1,0,470000
4200,5,4,4,2.2,1,1,735000
1750,3,2,30,19.2,1,0,300000
2950,4,3,10,7.5,1,1,555000
2100,3,2,23,14.5,1,0,380000
3300,4,3,9,6.8,1,1,605000
1200,2,1,52,30.4,0,0,155000
2750,4,2,15,10.4,1,0,490000
3900,5,3,6,4.8,1,1,695000
1850,3,2,26,16.9,1,0,335000
2500,3,2,19,12.4,1,0,445000
4300,5,4,4,3.2,1,1,745000
1650,3,2,32,20.1,1,0,280000
3050,4,3,10,7.4,1,1,575000
2050,3,2,24,15.2,1,0,370000
3450,4,3,8,5.2,1,1,625000
1300,2,1,48,28.4,0,0,190000
2800,4,3,12,8.2,1,1,525000
1950,3,2,25,16.3,1,0,355000
3650,4,3,7,5.7,1,1,660000
1550,2,2,35,20.4,0,0,260000
2700,3,2,17,11.4,1,0,480000
4100,5,4,5,3.6,1,1,725000
1800,3,2,28,17.3,1,0,315000
2900,4,3,11,7.9,1,1,545000
2200,3,2,21,14.3,1,0,390000
3350,4,3,10,6.2,1,1,610000
1350,2,1,45,26.4,0,0,200000
2800,4,2,14,9.3,1,0,495000
3950,5,3,6,4.9,1,1,700000
1850,3,2,27,17.2,1,0,330000
