chain,iteration,mu,sigma,tau
1,873,5.234,2.134,1.521
1,874,5.189,2.178,1.498
1,875,5.245,2.156,1.543
1,876,5.209,2.189,1.515
1,877,5.198,2.145,1.502
1,878,5.223,2.167,1.536
1,879,5.211,2.134,1.509
1,880,5.187,2.178,1.521
1,881,5.234,2.156,1.498
1,882,5.201,2.189,1.534
1,883,5.245,2.145,1.512
1,884,5.209,2.167,1.498
1,885,5.198,2.134,1.527
1,886,5.223,2.178,1.506
1,887,5.187,2.156,1.521
1,888,5.234,2.189,1.498
1,889,5.211,2.145,1.543
1,890,5.189,2.167,1.515
1,891,5.245,2.134,1.502
1,892,5.201,2.178,1.536
1,893,5.223,2.156,1.509
1,894,5.198,2.189,1.521
1,895,5.234,2.145,1.498
1,896,5.209,2.167,1.534
1,897,5.187,2.134,1.512
1,898,5.245,2.178,1.498
1,899,5.211,2.156,1.527
1,900,5.198,2.189,1.506
1,901,5.223,2.145,1.521
1,902,5.201,2.167,1.498
1,903,5.234,2.134,1.543
1,904,5.189,2.178,1.515
1,905,5.245,2.156,1.502
1,906,5.209,2.189,1.536
1,907,5.198,2.145,1.509
1,908,5.223,2.167,1.521
1,909,5.211,2.134,1.498
1,910,5.187,2.178,1.534
1,911,5.234,2.156,1.512
1,912,5.201,2.189,1.498
1,913,5.245,2.145,1.527
1,914,5.209,2.167,1.506
1,915,5.198,2.134,1.521
1,916,5.223,2.178,1.498
1,917,5.187,2.156,1.543
1,918,5.234,2.189,1.515
1,919,5.211,2.145,1.502
1,920,5.189,2.167,1.536
1,921,5.245,2.134,1.509
1,922,5.201,2.178,1.521
1,923,5.223,2.156,1.498
1,924,5.198,2.189,1.534
1,925,5.234,2.145,1.512
1,926,5.209,2.167,1.498
1,927,5.187,2.134,1.527
1,928,5.245,2.178,1.506
1,929,5.211,2.156,1.521
1,930,5.198,2.189,1.498
1,931,5.223,2.145,1.543
1,932,5.201,2.167,1.515
1,933,5.234,2.134,1.502
1,934,5.189,2.178,1.536
1,935,5.245,2.156,1.509
1,936,5.209,2.189,1.521
1,937,5.198,2.145,1.498
1,938,5.223,2.167,1.534
1,939,5.211,2.134,1.512
1,940,5.187,2.178,1.498
1,941,5.234,2.156,1.527
1,942,5.201,2.189,1.506
1,943,5.245,2.145,1.521
1,944,5.209,2.167,1.498
1,945,5.198,2.134,1.543
1,946,5.223,2.178,1.515
1,947,5.187,2.156,1.502
1,948,5.234,2.189,1.536
1,949,5.211,2.145,1.509
1,950,5.189,2.167,1.521
1,951,5.245,2.134,1.498
1,952,5.201,2.178,1.534
1,953,5.223,2.156,1.512
1,954,5.198,2.189,1.498
1,955,5.234,2.145,1.527
1,956,5.209,2.167,1.506
1,957,5.187,2.134,1.521
1,958,5.245,2.178,1.498
1,959,5.211,2.156,1.543
1,960,5.198,2.189,1.515
1,961,5.223,2.145,1.502
1,962,5.201,2.167,1.536
1,963,5.234,2.134,1.509
1,964,5.189,2.178,1.521
1,965,5.245,2.156,1.498
1,966,5.209,2.189,1.534
1,967,5.198,2.145,1.512
1,968,5.223,2.167,1.498
1,969,5.211,2.134,1.527
1,970,5.187,2.178,1.506
1,971,5.234,2.156,1.521
1,972,5.201,2.189,1.498
1,973,5.245,2.145,1.543
1,974,5.209,2.167,1.515
1,975,5.198,2.134,1.502
1,976,5.223,2.178,1.536
1,977,5.187,2.156,1.509
1,978,5.234,2.189,1.521
1,979,5.211,2.145,1.498
1,980,5.189,2.167,1.534
1,981,5.245,2.134,1.512
1,982,5.201,2.178,1.498
1,983,5.223,2.156,1.527
1,984,5.198,2.189,1.506
1,985,5.234,2.145,1.521
1,986,5.209,2.167,1.498
1,987,5.187,2.134,1.543
1,988,5.245,2.178,1.515
1,989,5.211,2.156,1.502
1,990,5.198,2.189,1.536
1,991,5.223,2.145,1.509
1,992,5.201,2.167,1.521
1,993,5.234,2.134,1.498
1,994,5.189,2.178,1.534
1,995,5.245,2.156,1.512
1,996,5.209,2.189,1.498
1,997,5.198,2.145,1.527
1,998,5.223,2.167,1.506
1,999,5.211,2.134,1.521
1,1000,5.187,2.178,1.498
2,1,5.334,2.234,1.612
2,2,5.356,2.256,1.598
2,3,5.323,2.267,1.623
2,4,5.378,2.245,1.607
2,5,5.345,2.278,1.634
2,6,5.367,2.234,1.619
2,7,5.312,2.256,1.601
2,8,5.389,2.267,1.645
2,9,5.334,2.245,1.615
2,10,5.356,2.278,1.628
2,11,5.323,2.234,1.598
2,12,5.378,2.256,1.642
2,13,5.345,2.267,1.612
2,14,5.367,2.245,1.607
2,15,5.312,2.278,1.634
2,16,5.389,2.234,1.619
2,17,5.334,2.256,1.601
2,18,5.356,2.267,1.645
2,19,5.323,2.245,1.615
2,20,5.378,2.278,1.628
2,21,5.345,2.234,1.598
2,22,5.367,2.256,1.642
2,23,5.312,2.267,1.612
