customer_tier,contract_type,support_level,geographic_region,account_age_days,monthly_charges,total_purchases,support_tickets,will_renew
gold,annual,premium,east,845,157.00,58,2,1
silver,monthly,basic,south,182,71.00,12,8,0
bronze,monthly,basic,north,70,26.50,3,13,0
platinum,quarterly,enterprise,east,1160,448.00,113,2,1
gold,annual,premium,central,950,162.50,68,1,1
silver,quarterly,premium,west,372,84.50,25,5,1
bronze,monthly,basic,south,66,27.00,4,14,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,central,1940,487.00,181,1,1
silver,monthly,basic,west,196,68.50,14,6,0
bronze,monthly,basic,east,86,30.00,6,11,0
gold,quarterly,premium,south,620,148.50,43,3,1
silver,quarterly,premium,north,346,84.00,24,4,1
platinum,annual,enterprise,west,1990,489.00,183,0,1
bronze,monthly,basic,central,90,32.00,8,10,0
gold,annual,premium,east,825,156.50,57,2,1
silver,monthly,basic,south,184,70.00,13,7,0
bronze,monthly,basic,north,76,28.50,5,12,0
platinum,quarterly,enterprise,central,1150,446.00,111,2,1
gold,annual,premium,west,915,160.50,65,1,1
silver,quarterly,premium,east,378,85.50,26,5,1
bronze,monthly,basic,south,64,25.50,3,15,0
gold,annual,premium,north,865,159.00,63,2,1
platinum,annual,enterprise,east,1910,486.00,180,1,1
silver,monthly,basic,central,204,69.00,15,6,0
bronze,monthly,basic,west,82,29.50,5,11,0
gold,quarterly,premium,south,615,147.50,42,3,1
silver,quarterly,premium,north,354,83.50,23,4,1
platinum,annual,enterprise,central,2060,491.00,186,0,1
bronze,monthly,basic,east,94,31.00,7,10,0
gold,annual,premium,west,835,157.50,59,2,1
silver,monthly,basic,south,180,71.50,13,8,0
bronze,monthly,basic,north,72,27.00,4,13,0
platinum,quarterly,enterprise,west,1130,444.00,110,2,1
gold,annual,premium,east,930,161.00,66,1,1
silver,quarterly,premium,central,374,84.50,25,5,1
bronze,monthly,basic,south,68,26.00,3,12,0
gold,annual,premium,north,895,160.00,64,2,1
platinum,annual,enterprise,central,1890,485.00,179,1,1
silver,monthly,basic,west,200,68.00,14,7,0
bronze,monthly,basic,east,90,30.50,6,10,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,348,84.00,24,4,1
platinum,annual,enterprise,east,2090,493.00,189,0,1
bronze,monthly,basic,central,98,32.50,8,9,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,188,70.50,14,6,0
bronze,monthly,basic,north,78,28.00,4,14,0
platinum,quarterly,enterprise,central,1180,451.00,116,2,1
gold,annual,premium,east,920,160.50,65,1,1
silver,quarterly,premium,west,380,85.00,26,5,1
bronze,monthly,basic,south,62,25.00,2,15,0
gold,annual,premium,north,885,159.50,63,2,1
platinum,annual,enterprise,west,1860,484.00,174,1,1
silver,monthly,basic,central,198,69.50,15,7,0
bronze,monthly,basic,east,84,29.00,5,11,0
gold,quarterly,premium,south,625,148.50,43,3,1
silver,quarterly,premium,north,350,83.50,23,4,1
platinum,annual,enterprise,central,2030,490.00,184,0,1
bronze,monthly,basic,west,96,31.50,7,10,0
gold,annual,premium,east,845,157.00,58,2,1
silver,monthly,basic,south,178,71.00,12,8,0
bronze,monthly,basic,north,74,27.50,4,13,0
platinum,quarterly,enterprise,east,1140,445.00,110,2,1
gold,annual,premium,central,945,162.00,67,1,1
silver,quarterly,premium,west,376,84.50,25,5,1
bronze,monthly,basic,south,66,26.50,3,14,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,central,1920,488.00,183,1,1
silver,monthly,basic,west,202,68.50,14,6,0
bronze,monthly,basic,east,86,30.00,6,12,0
gold,quarterly,premium,south,615,147.50,42,3,1
silver,quarterly,premium,north,356,84.00,24,4,1
platinum,annual,enterprise,west,2010,489.00,183,0,1
bronze,monthly,basic,central,92,32.00,8,11,0
gold,annual,premium,east,825,156.50,57,2,1
silver,monthly,basic,south,184,70.00,13,7,0
bronze,monthly,basic,north,70,26.00,3,15,0
platinum,quarterly,enterprise,central,1190,450.00,115,2,1
gold,annual,premium,west,935,161.50,66,1,1
silver,quarterly,premium,east,372,84.50,25,5,1
bronze,monthly,basic,south,64,25.50,3,13,0
gold,annual,premium,north,865,159.00,62,2,1
platinum,annual,enterprise,east,1900,486.00,180,1,1
silver,monthly,basic,central,196,69.00,15,6,0
bronze,monthly,basic,west,82,29.50,5,10,0
gold,quarterly,premium,south,620,148.00,42,3,1
silver,quarterly,premium,north,358,83.50,23,4,1
platinum,annual,enterprise,central,2080,492.00,188,0,1
bronze,monthly,basic,east,88,31.00,7,9,0
gold,annual,premium,west,835,157.50,59,2,1
silver,monthly,basic,south,180,71.50,13,8,0
bronze,monthly,basic,north,76,28.50,5,12,0
platinum,quarterly,enterprise,west,1170,449.00,114,2,1
gold,annual,premium,east,925,161.00,66,1,1
silver,quarterly,premium,central,368,85.00,26,5,1
bronze,monthly,basic,south,68,27.00,4,11,0
gold,annual,premium,north,895,160.00,64,2,1
platinum,annual,enterprise,central,1880,485.00,179,1,1
silver,monthly,basic,west,204,68.00,14,7,0
bronze,monthly,basic,east,90,30.50,6,10,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,352,84.00,24,4,1
platinum,annual,enterprise,east,2050,491.00,186,0,1
bronze,monthly,basic,central,94,32.50,8,10,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,186,70.50,14,6,0
bronze,monthly,basic,north,72,27.00,4,13,0
platinum,quarterly,enterprise,central,1120,443.00,109,2,1
gold,annual,premium,east,920,160.50,65,1,1
silver,quarterly,premium,west,374,84.50,25,5,1
bronze,monthly,basic,south,62,25.00,2,14,0
gold,annual,premium,north,885,159.50,63,2,1
platinum,annual,enterprise,west,1870,484.00,174,1,1
silver,monthly,basic,central,200,69.50,15,7,0
bronze,monthly,basic,east,84,29.00,5,11,0
gold,quarterly,premium,south,605,146.50,40,3,1
silver,quarterly,premium,north,346,83.50,23,4,1
platinum,annual,enterprise,central,2020,490.00,184,0,1
bronze,monthly,basic,west,90,31.50,7,10,0
gold,annual,premium,east,845,157.00,58,2,1
silver,monthly,basic,south,182,71.00,12,8,0
bronze,monthly,basic,north,78,28.00,4,12,0
platinum,quarterly,enterprise,east,1160,448.00,113,2,1
gold,annual,premium,central,950,162.50,68,1,1
silver,quarterly,premium,west,370,84.50,25,5,1
bronze,monthly,basic,south,66,26.50,3,15,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,central,1940,487.00,181,1,1
silver,monthly,basic,west,198,68.50,14,6,0
bronze,monthly,basic,east,86,30.00,6,12,0
gold,quarterly,premium,south,620,148.50,43,3,1
silver,quarterly,premium,north,344,84.00,24,4,1
platinum,annual,enterprise,west,2000,489.00,183,0,1
bronze,monthly,basic,central,92,32.00,8,11,0
gold,annual,premium,east,825,156.50,57,2,1
silver,monthly,basic,south,184,70.00,13,7,0
bronze,monthly,basic,north,74,27.50,4,13,0
platinum,quarterly,enterprise,central,1150,446.00,111,2,1
gold,annual,premium,west,915,160.50,65,1,1
silver,quarterly,premium,east,378,85.50,26,5,1
bronze,monthly,basic,south,64,25.50,3,12,0
gold,annual,premium,north,865,159.00,63,2,1
platinum,annual,enterprise,east,1910,486.00,180,1,1
silver,monthly,basic,central,202,69.00,15,6,0
bronze,monthly,basic,west,82,29.50,5,10,0
gold,quarterly,premium,south,615,147.50,42,3,1
silver,quarterly,premium,north,354,83.50,23,4,1
platinum,annual,enterprise,central,2070,492.00,188,0,1
bronze,monthly,basic,east,96,31.00,7,9,0
gold,annual,premium,west,835,157.50,59,2,1
silver,monthly,basic,south,180,71.50,13,8,0
bronze,monthly,basic,north,70,26.00,3,14,0
platinum,quarterly,enterprise,west,1130,444.00,110,2,1
gold,annual,premium,east,930,161.00,66,1,1
silver,quarterly,premium,central,376,84.50,25,5,1
bronze,monthly,basic,south,68,27.00,4,15,0
gold,annual,premium,north,895,160.00,64,2,1
platinum,annual,enterprise,central,1890,485.00,179,1,1
silver,monthly,basic,west,196,68.00,14,7,0
bronze,monthly,basic,east,90,30.50,6,11,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,348,84.00,24,4,1
platinum,annual,enterprise,east,2100,493.00,189,0,1
bronze,monthly,basic,central,98,32.50,8,10,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,188,70.50,14,6,0
bronze,monthly,basic,north,76,28.50,5,13,0
platinum,quarterly,enterprise,central,1180,451.00,116,2,1
gold,annual,premium,east,920,160.50,65,1,1
silver,quarterly,premium,west,372,84.50,25,5,1
bronze,monthly,basic,south,62,25.00,2,15,0
gold,annual,premium,north,885,159.50,63,2,1
platinum,annual,enterprise,west,1860,484.00,174,1,1
silver,monthly,basic,central,204,69.50,15,7,0
bronze,monthly,basic,east,84,29.00,5,12,0
gold,quarterly,premium,south,625,148.50,43,3,1
silver,quarterly,premium,north,350,83.50,23,4,1
platinum,annual,enterprise,central,2040,490.00,184,0,1
bronze,monthly,basic,west,94,31.50,7,11,0
gold,annual,premium,east,845,157.00,58,2,1
silver,monthly,basic,south,178,71.00,12,8,0
bronze,monthly,basic,north,72,27.00,4,14,0
platinum,quarterly,enterprise,east,1140,445.00,110,2,1
gold,annual,premium,central,945,162.00,67,1,1
silver,quarterly,premium,west,380,85.00,26,5,1
bronze,monthly,basic,south,66,26.50,3,13,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,central,1920,488.00,183,1,1
silver,monthly,basic,west,200,68.50,14,6,0
bronze,monthly,basic,east,86,30.00,6,10,0
gold,quarterly,premium,south,615,147.50,42,3,1
silver,quarterly,premium,north,356,84.00,24,4,1
platinum,annual,enterprise,west,2020,489.00,183,0,1
bronze,monthly,basic,central,90,32.00,8,9,0
gold,annual,premium,east,825,156.50,57,2,1
silver,monthly,basic,south,184,70.00,13,7,0
bronze,monthly,basic,north,78,28.00,4,12,0
platinum,quarterly,enterprise,central,1190,450.00,115,2,1
gold,annual,premium,west,935,161.50,66,1,1
silver,quarterly,premium,east,368,84.50,25,5,1
bronze,monthly,basic,south,64,25.50,3,14,0
gold,annual,premium,north,865,159.00,62,2,1
platinum,annual,enterprise,east,1900,486.00,180,1,1
silver,monthly,basic,central,198,69.00,15,6,0
bronze,monthly,basic,west,82,29.50,5,11,0
gold,quarterly,premium,south,620,148.00,42,3,1
silver,quarterly,premium,north,358,83.50,23,4,1
platinum,annual,enterprise,central,2090,493.00,189,0,1
bronze,monthly,basic,east,88,31.00,7,10,0
gold,annual,premium,west,835,157.50,59,2,1
silver,monthly,basic,south,180,71.50,13,8,0
bronze,monthly,basic,north,74,27.50,4,13,0
platinum,quarterly,enterprise,west,1170,449.00,114,2,1
gold,annual,premium,east,925,161.00,66,1,1
silver,quarterly,premium,central,374,84.50,25,5,1
bronze,monthly,basic,south,68,26.00,3,15,0
gold,annual,premium,north,895,160.00,64,2,1
platinum,annual,enterprise,central,1880,485.00,179,1,1
silver,monthly,basic,west,202,68.00,14,7,0
bronze,monthly,basic,east,90,30.50,6,12,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,344,84.00,24,4,1
platinum,annual,enterprise,east,2060,491.00,186,0,1
bronze,monthly,basic,central,96,32.50,8,11,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,186,70.50,14,6,0
bronze,monthly,basic,north,70,26.50,3,12,0
platinum,quarterly,enterprise,central,1120,443.00,109,2,1
gold,annual,premium,east,920,160.50,65,1,1
silver,quarterly,premium,west,376,84.50,25,5,1
bronze,monthly,basic,south,62,25.00,2,13,0
gold,annual,premium,north,885,159.50,63,2,1
platinum,annual,enterprise,west,1870,484.00,174,1,1
silver,monthly,basic,central,196,69.50,15,7,0
bronze,monthly,basic,east,84,29.00,5,10,0
gold,quarterly,premium,south,605,146.50,40,3,1
silver,quarterly,premium,north,352,83.50,23,4,1
platinum,annual,enterprise,central,2030,490.00,184,0,1
bronze,monthly,basic,west,92,31.50,7,9,0
gold,annual,premium,east,845,157.00,58,2,1
silver,monthly,basic,south,182,71.00,12,8,0
bronze,monthly,basic,north,76,28.50,5,14,0
platinum,quarterly,enterprise,east,1160,448.00,113,2,1
gold,annual,premium,central,950,162.50,68,1,1
silver,quarterly,premium,west,370,84.50,25,5,1
bronze,monthly,basic,south,66,27.00,4,11,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,central,1940,487.00,181,1,1
silver,monthly,basic,west,204,68.50,14,6,0
bronze,monthly,basic,east,86,30.00,6,10,0
gold,quarterly,premium,south,620,148.50,43,3,1
silver,quarterly,premium,north,346,84.00,24,4,1
platinum,annual,enterprise,west,2010,489.00,183,0,1
