transaction_id,amount,merchant_category,time_of_day,day_of_week,card_present,international,is_fraud
TXN0630,234.56,10,17,0,0,0,0
TXN0631,56.78,4,8,4,1,0,0
TXN0632,2315.00,18,2,5,0,1,1
TXN0633,89.12,6,12,2,1,0,0
TXN0634,123.45,5,15,1,1,0,0
TXN0635,234.56,3,10,3,1,0,0
TXN0636,345.67,11,14,0,0,0,0
TXN0637,98.76,8,9,4,1,0,0
TXN0638,1820.25,15,22,6,0,1,1
TXN0639,45.67,7,16,2,1,0,0
TXN0640,178.90,9,11,1,0,0,0
TXN0641,67.89,4,13,3,1,0,0
TXN0642,234.56,10,17,0,0,0,0
TXN0643,89.01,6,8,4,1,0,0
TXN0644,32.45,5,12,2,1,0,0
TXN0645,145.67,3,15,1,0,0,0
TXN0646,78.90,8,10,3,1,0,0
TXN0647,256.78,10,14,0,0,0,0
TXN0648,67.89,7,9,4,1,0,0
TXN0649,189.12,4,16,2,1,0,0
TXN0650,234.56,9,11,1,0,0,0
TXN0651,123.45,6,13,3,1,0,0
TXN0652,345.67,11,17,0,0,0,0
TXN0653,98.76,5,8,4,1,0,0
TXN0654,2225.50,16,1,5,0,1,1
TXN0655,45.67,3,12,2,1,0,0
TXN0656,167.89,9,15,1,0,0,0
TXN0657,78.90,8,10,3,1,0,0
TXN0658,234.56,10,14,0,0,0,0
TXN0659,56.78,7,9,4,1,0,0
TXN0660,1990.00,17,3,6,0,1,1
TXN0661,89.12,4,16,2,1,0,0
TXN0662,123.45,6,11,1,1,0,0
TXN0663,234.56,5,13,3,1,0,0
TXN0664,345.67,11,17,0,0,0,0
TXN0665,98.76,3,8,4,1,0,0
TXN0666,2650.75,19,23,5,0,1,1
TXN0667,45.67,8,12,2,1,0,0
TXN0668,178.90,9,15,1,0,0,0
TXN0669,67.89,7,10,3,1,0,0
TXN0670,234.56,10,14,0,0,0,0
TXN0671,89.01,4,9,4,1,0,0
TXN0672,1760.25,18,2,6,0,1,1
TXN0673,56.78,6,16,2,1,0,0
TXN0674,167.89,9,11,1,0,0,0
TXN0675,234.56,5,13,3,1,0,0
TXN0676,345.67,11,17,0,0,0,0
TXN0677,98.76,3,8,4,1,0,0
TXN0678,32.45,8,12,2,1,0,0
TXN0679,145.67,7,15,1,0,0,0
TXN0680,78.90,4,10,3,1,0,0
TXN0681,256.78,10,14,0,0,0,0
TXN0682,67.89,6,9,4,1,0,0
TXN0683,189.12,5,16,2,1,0,0
TXN0684,234.56,9,11,1,0,0,0
TXN0685,123.45,3,13,3,1,0,0
TXN0686,345.67,11,17,0,0,0,0
TXN0687,98.76,8,8,4,1,0,0
TXN0688,2485.50,15,22,5,0,1,1
TXN0689,45.67,7,12,2,1,0,0
TXN0690,167.89,9,15,1,0,0,0
TXN0691,78.90,4,10,3,1,0,0
TXN0692,234.56,10,14,0,0,0,0
TXN0693,56.78,6,9,4,1,0,0
TXN0694,1930.00,16,1,6,0,1,1
TXN0695,89.12,5,16,2,1,0,0
TXN0696,123.45,3,11,1,1,0,0
TXN0697,234.56,8,13,3,1,0,0
TXN0698,345.67,11,17,0,0,0,0
TXN0699,98.76,7,8,4,1,0,0
TXN0700,2815.75,17,3,5,0,1,1
TXN0701,45.67,4,12,2,1,0,0
TXN0702,178.90,9,15,1,0,0,0
TXN0703,67.89,6,10,3,1,0,0
TXN0704,234.56,10,14,0,0,0,0
TXN0705,89.01,5,9,4,1,0,0
TXN0706,32.45,3,16,2,1,0,0
TXN0707,145.67,8,11,1,0,0,0
TXN0708,78.90,7,13,3,1,0,0
TXN0709,256.78,11,17,0,0,0,0
TXN0710,67.89,4,8,4,1,0,0
TXN0711,189.12,6,12,2,1,0,0
TXN0712,234.56,9,15,1,0,0,0
TXN0713,123.45,5,10,3,1,0,0
TXN0714,345.67,10,14,0,0,0,0
TXN0715,98.76,3,9,4,1,0,0
TXN0716,2115.50,19,23,6,0,1,1
TXN0717,45.67,8,16,2,1,0,0
TXN0718,167.89,9,11,1,0,0,0
TXN0719,78.90,7,13,3,1,0,0
TXN0720,234.56,10,17,0,0,0,0
TXN0721,56.78,4,8,4,1,0,0
TXN0722,2350.00,18,2,5,0,1,1
TXN0723,89.12,6,12,2,1,0,0
TXN0724,123.45,5,15,1,1,0,0
TXN0725,234.56,3,10,3,1,0,0
TXN0726,345.67,11,14,0,0,0,0
TXN0727,98.76,8,9,4,1,0,0
TXN0728,1855.25,15,22,6,0,1,1
TXN0729,45.67,7,16,2,1,0,0
TXN0730,178.90,9,11,1,0,0,0
TXN0731,67.89,4,13,3,1,0,0
TXN0732,234.56,10,17,0,0,0,0
TXN0733,89.01,6,8,4,1,0,0
TXN0734,32.45,5,12,2,1,0,0
TXN0735,145.67,3,15,1,0,0,0
TXN0736,78.90,8,10,3,1,0,0
TXN0737,256.78,10,14,0,0,0,0
TXN0738,67.89,7,9,4,1,0,0
TXN0739,189.12,4,16,2,1,0,0
