fraud,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20
0,231.32,59270,0.45,-0.56,1.23,5,-0.45,0.67,1.23,0.89,2,0.67,-0.56,1.45,-0.78,3,0.89,1.23,-0.89,5
0,70.98,70371,1.23,-0.67,0.34,2,0.89,-0.89,0.56,1.12,6,1.23,-1.12,0.67,-0.34,4,1.12,0.56,-0.67,2
0,187.43,81472,-0.67,0.45,0.67,4,1.12,-0.45,0.78,0.67,3,0.78,-0.34,0.89,-1.12,5,0.89,0.34,-0.34,3
0,79.21,14977,0.56,-1.23,1.12,1,-0.34,0.89,1.12,0.34,5,0.89,-0.78,1.23,-0.56,2,1.23,0.67,-1.12,4
0,163.76,26078,1.34,-0.34,0.56,3,0.78,-0.67,0.89,1.23,4,0.56,-0.89,0.56,-0.89,6,0.67,1.34,-0.78,1
0,95.54,37179,-0.78,0.78,0.78,5,1.23,-1.23,0.67,0.78,2,1.12,-0.56,0.78,-1.23,3,0.78,1.12,-0.45,5
0,238.87,48280,0.89,-0.89,0.45,2,-0.56,0.56,0.34,0.89,1,0.78,-0.67,1.34,-0.67,4,1.34,0.89,-0.56,2
0,73.32,59381,1.12,-0.45,0.89,4,0.67,-0.78,0.45,1.12,3,0.34,-0.45,0.89,-0.45,5,0.56,1.12,-0.89,3
0,165.98,70482,-0.45,0.67,1.23,1,1.34,-0.56,1.12,0.67,5,0.89,-0.34,1.12,-0.78,2,0.89,1.34,-0.67,4
0,90.43,81583,0.67,-1.12,0.34,3,-0.78,0.89,0.78,0.34,4,1.12,-1.23,0.67,-0.34,6,1.23,0.89,-1.23,1
0,220.21,15088,1.23,-0.34,0.67,5,0.45,-0.34,0.56,1.23,2,0.67,-0.67,0.45,-0.56,3,0.89,0.67,-0.34,5
0,67.76,26189,-0.56,0.89,1.12,2,1.12,-0.89,1.34,0.78,6,1.34,-0.89,0.89,-0.89,4,1.12,0.45,-0.78,2
0,189.54,37290,0.78,-0.78,0.78,4,-0.67,0.67,0.67,0.89,3,0.89,-0.45,1.23,-1.12,5,0.67,0.78,-0.67,3
0,81.87,48391,1.34,-0.89,0.45,1,0.56,-1.12,0.45,1.12,5,0.56,-0.56,0.78,-0.67,2,0.78,1.23,-0.45,4
1,9123.45,67890,2.78,-3.12,3.34,9,3.23,-2.89,2.56,2.89,10,-2.67,2.89,3.45,-2.78,8,3.12,2.67,-2.34,9
0,161.21,59492,-0.89,1.12,0.89,3,1.23,-0.67,0.89,0.67,4,1.12,-0.78,1.34,-0.45,6,1.23,1.23,-0.56,1
0,94.76,70593,0.45,-0.56,1.23,5,-0.45,0.89,1.12,0.34,2,0.78,-0.89,0.56,-0.78,3,0.67,0.89,-0.89,5
0,227.32,81694,1.12,-0.67,0.34,2,0.89,-0.56,0.78,1.23,1,1.23,-1.12,0.67,-0.34,4,0.89,0.78,-0.67,2
0,70.98,15199,-0.67,0.45,0.67,4,1.34,-0.78,1.34,0.78,3,0.67,-0.34,0.89,-1.12,5,1.34,0.56,-0.34,3
0,183.43,26300,0.56,-1.23,1.12,1,-0.34,0.67,0.56,0.89,5,0.56,-0.67,1.12,-0.56,2,0.78,1.12,-1.12,4
0,97.21,37401,1.23,-0.34,0.56,3,0.78,-0.89,0.67,1.12,4,0.89,-0.45,1.45,-0.89,6,1.12,1.34,-0.78,1
0,240.76,48502,-0.78,0.78,0.78,5,1.12,-1.23,0.89,0.67,2,1.34,-0.56,0.78,-1.23,3,1.34,1.12,-0.45,5
0,74.54,59603,0.89,-0.89,0.45,2,-0.56,0.56,1.23,0.34,6,0.67,-0.78,0.34,-0.67,4,0.56,1.23,-0.56,2
0,166.87,70704,1.34,-0.45,0.89,4,0.67,-0.67,0.78,1.23,3,0.78,-0.34,0.89,-0.45,5,0.89,0.67,-0.89,3
0,91.32,81805,-0.45,0.67,1.23,1,1.23,-0.89,1.12,0.78,5,1.23,-0.56,1.23,-0.78,2,1.12,0.78,-0.67,4
0,219.98,15310,0.67,-1.12,0.34,3,-0.78,1.12,0.56,0.89,4,0.67,-1.23,0.67,-0.34,6,0.89,1.12,-1.23,1
0,67.43,26411,1.34,-0.34,0.67,5,0.45,-0.34,0.89,1.12,2,0.45,-0.67,0.56,-0.56,3,0.34,0.89,-0.34,5
0,195.21,37512,-0.56,0.89,1.12,2,1.34,-0.56,1.34,0.67,1,1.23,-0.89,0.78,-0.89,4,0.67,1.23,-0.78,2
0,79.76,48613,0.78,-0.78,0.78,4,-0.67,0.78,0.67,0.34,3,0.67,-0.45,1.34,-1.12,5,0.89,0.89,-0.67,3
0,171.54,59714,1.23,-0.89,0.45,1,0.56,-1.12,0.45,1.23,5,0.89,-0.34,0.89,-0.67,2,1.12,0.56,-0.45,4
0,94.87,70815,-0.89,1.12,0.89,3,1.12,-0.78,0.89,0.78,4,1.34,-0.67,1.12,-0.45,6,0.56,1.12,-0.56,1
0,232.32,81916,0.45,-0.56,1.23,5,-0.45,0.67,1.23,0.89,2,0.56,-0.56,1.45,-0.78,3,0.78,1.34,-0.89,5
0,71.98,15421,1.12,-0.67,0.34,2,0.89,-0.89,0.56,1.12,6,1.12,-1.12,0.67,-0.34,4,1.23,0.67,-0.67,2
0,188.43,26522,-0.67,0.45,0.67,4,1.23,-0.45,0.78,0.67,3,0.89,-0.34,0.89,-1.12,5,1.12,0.45,-0.34,3
0,80.21,37623,0.56,-1.23,1.12,1,-0.34,0.89,1.12,0.34,5,0.67,-0.78,1.23,-0.56,2,0.89,0.89,-1.12,4
0,164.76,48724,1.12,-0.34,0.56,3,0.78,-0.67,0.89,1.23,4,0.34,-0.89,0.56,-0.89,6,0.56,1.23,-0.78,1
0,96.54,59825,-0.78,0.78,0.78,5,1.34,-1.23,0.67,0.78,2,0.89,-0.56,0.78,-1.23,3,0.89,1.23,-0.45,5
0,239.87,70926,0.89,-0.89,0.45,2,-0.56,0.56,0.34,0.89,1,1.12,-0.67,1.34,-0.67,4,1.23,1.12,-0.56,2
0,74.32,82027,1.23,-0.45,0.89,4,0.67,-0.78,0.45,1.12,3,0.56,-0.45,0.89,-0.45,5,0.67,0.89,-0.89,3
0,166.98,15532,-0.45,0.67,1.23,1,1.12,-0.56,1.12,0.67,5,0.67,-0.34,1.12,-0.78,2,1.12,1.34,-0.67,4
0,91.43,26633,0.67,-1.12,0.34,3,-0.78,0.89,0.78,0.34,4,1.23,-1.23,0.67,-0.34,6,0.89,1.23,-1.23,1
0,221.21,37734,1.34,-0.34,0.67,5,0.45,-0.34,0.56,1.23,2,0.78,-0.67,0.45,-0.56,3,1.12,0.56,-0.34,5
0,68.76,48835,-0.56,0.89,1.12,2,1.23,-0.89,1.34,0.78,6,1.12,-0.89,0.89,-0.89,4,0.89,0.56,-0.78,2
0,190.54,59936,0.78,-0.78,0.78,4,-0.67,0.67,0.67,0.89,3,0.78,-0.45,1.23,-1.12,5,0.78,0.89,-0.67,3
0,82.87,71037,1.12,-0.89,0.45,1,0.56,-1.12,0.45,1.12,5,0.67,-0.56,0.78,-0.67,2,0.89,1.12,-0.45,4
1,7845.23,34567,2.34,-2.67,3.67,10,2.56,-3.12,2.78,3.23,9,-2.89,3.45,2.34,-2.56,8,2.89,2.78,-3.12,10
0,162.21,82138,-0.89,1.12,0.89,3,1.34,-0.67,0.89,0.67,4,1.23,-0.78,1.34,-0.45,6,0.89,1.12,-0.56,1
