id,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9
sensor_331,91.5,45.2,52.4,34.5,78.3,67.4,56.8,89.7,23.6
sensor_332,23.1,89.9,67.4,91.6,45.9,78.2,52.5,34.9,56.1
sensor_333,56.8,67.9,91.7,78.9,34.7,52.2,89.5,45.1,23.9
sensor_334,89.4,52.8,45.6,67.1,56.6,91.1,78.5,34.8,23.2
sensor_335,67.7,34.3,56.4,52.3,78.6,45.5,91.8,89.9,23.8
sensor_336,45.7,78.1,34.9,89.1,67.9,56.6,52.9,91.2,23.4
sensor_337,78.6,91.8,67.3,45.8,52.1,34.7,56.5,89.8,23.5
sensor_338,52.3,67.5,89.9,78.8,91.5,45.7,34.4,56.2,23.1
sensor_339,34.2,56.8,78.2,52.7,67.1,89.6,45.3,91.7,23.7
sensor_340,91.9,45.5,52.6,34.8,78.7,67.6,56.9,89.2,23.3
sensor_341,23.5,89.6,67.8,91.3,45.2,78.9,52.3,34.1,56.7
sensor_342,56.1,67.1,91.8,78.4,34.9,52.9,89.7,45.9,23.6
sensor_343,89.1,52.6,45.9,67.7,56.3,91.6,78.1,34.5,23.9
sensor_344,67.5,34.4,56.1,52.1,78.9,45.8,91.4,89.3,23.2
sensor_345,45.6,78.7,34.2,89.5,67.3,56.4,52.7,91.1,23.8
sensor_346,78.8,91.2,67.9,45.1,52.5,34.6,56.3,89.9,23.4
sensor_347,52.7,67.2,89.3,78.6,91.9,45.6,34.3,56.8,23.5
sensor_348,34.9,56.6,78.5,52.9,67.5,89.8,45.4,91.6,23.1
sensor_349,91.7,45.8,52.8,34.2,78.4,67.8,56.7,89.5,23.7
sensor_350,23.6,89.4,67.6,91.1,45.7,78.3,52.2,34.8,56.5
sensor_351,56.5,67.8,91.6,78.7,34.1,52.6,89.2,45.3,23.3
sensor_352,89.8,52.2,45.4,67.9,56.8,91.8,78.9,34.9,23.6
sensor_353,67.2,34.1,56.9,52.4,78.1,45.9,91.9,89.6,23.9
sensor_354,45.1,78.5,34.7,89.7,67.7,56.1,52.8,91.3,23.2
sensor_355,78.2,91.6,67.4,45.6,52.3,34.5,56.2,89.4,23.8
sensor_356,52.5,67.9,89.7,78.3,91.2,45.1,34.9,56.6,23.4
sensor_357,34.6,56.2,78.6,52.6,67.2,89.1,45.5,91.8,23.5
sensor_358,91.4,45.9,52.1,34.4,78.8,67.3,56.4,89.7,23.1
sensor_359,23.9,89.3,67.5,91.7,45.3,78.6,52.9,34.7,56.9
sensor_360,56.2,67.6,91.4,78.5,34.8,52.7,89.9,45.7,23.7
sensor_361,89.5,52.9,45.7,67.4,56.5,91.5,78.2,34.6,23.3
sensor_362,67.8,34.7,56.3,52.8,78.7,45.2,91.1,89.8,23.6
sensor_363,45.8,78.9,34.1,89.2,67.1,56.7,52.4,91.6,23.9
sensor_364,78.4,91.3,67.7,45.4,52.6,34.9,56.8,89.5,23.2
sensor_365,52.1,67.4,89.5,78.1,91.8,45.8,34.2,56.1,23.8
sensor_366,34.3,56.5,78.3,52.2,67.6,89.4,45.6,91.2,23.4
sensor_367,91.8,45.3,52.5,34.1,78.5,67.9,56.6,89.1,23.5
sensor_368,23.2,89.8,67.2,91.6,45.9,78.1,52.1,34.8,56.3
sensor_369,56.9,67.3,91.9,78.8,34.5,52.4,89.6,45.2,23.1
sensor_370,89.2,52.5,45.1,67.8,56.1,91.3,78.6,34.4,23.7
sensor_371,67.6,34.9,56.8,52.7,78.9,45.7,91.7,89.9,23.3
sensor_372,45.4,78.2,34.6,89.9,67.5,56.9,52.3,91.4,23.6
sensor_373,78.1,91.7,67.1,45.5,52.8,34.7,56.5,89.3,23.9
sensor_374,52.8,67.7,89.8,78.9,91.1,45.3,34.5,56.4,23.2
sensor_375,34.8,56.1,78.8,52.5,67.9,89.7,45.9,91.5,23.8
sensor_376,91.1,45.6,52.9,34.6,78.2,67.5,56.2,89.8,23.4
sensor_377,23.7,89.5,67.9,91.8,45.4,78.7,52.6,34.3,56.8
sensor_378,56.4,67.5,91.5,78.6,34.2,52.1,89.3,45.8,23.5
sensor_379,89.9,52.3,45.9,67.2,56.7,91.9,78.4,34.1,23.1
sensor_380,67.3,34.5,56.6,52.9,78.5,45.1,91.6,89.4,23.7
sensor_381,45.9,78.6,34.8,89.6,67.8,56.3,52.7,91.8,23.3
sensor_382,78.9,91.4,67.6,45.7,52.2,34.9,56.1,89.2,23.6
sensor_383,52.6,67.1,89.2,78.7,91.7,45.5,34.1,56.9,23.9
sensor_384,34.4,56.7,78.1,52.1,67.4,89.9,45.2,91.3,23.2
sensor_385,91.6,45.2,52.4,34.7,78.6,67.7,56.8,89.5,23.8
sensor_386,23.8,89.1,67.8,91.2,45.8,78.9,52.8,34.6,56.2
sensor_387,56.3,67.9,91.1,78.2,34.3,52.5,89.8,45.6,23.4
sensor_388,89.6,52.7,45.3,67.6,56.9,91.4,78.8,34.8,23.5
sensor_389,67.9,34.2,56.4,52.6,78.3,45.9,91.5,89.1,23.1
sensor_390,45.2,78.4,34.4,89.3,67.2,56.5,52.9,91.9,23.7
sensor_391,78.7,91.8,67.5,45.1,52.3,34.2,56.6,89.7,23.3
sensor_392,52.4,67.6,89.6,78.5,91.6,45.7,34.9,56.7,23.6
sensor_393,34.1,56.9,78.9,52.8,67.3,89.5,45.4,91.1,23.9
sensor_394,91.2,45.8,52.7,34.8,78.1,67.2,56.3,89.9,23.2
sensor_395,23.3,89.7,67.4,91.9,45.6,78.5,52.1,34.5,56.1
sensor_396,56.8,67.2,91.3,78.9,34.9,52.8,89.4,45.9,23.8
sensor_397,89.3,52.1,45.5,67.1,56.2,91.7,78.6,34.7,23.4
sensor_398,67.5,34.6,56.2,52.3,78.7,45.3,91.8,89.6,23.5
sensor_399,45.7,78.8,34.9,89.8,67.9,56.8,52.5,91.2,23.1
sensor_400,78.5,91.5,67.3,45.9,52.9,34.1,56.9,89.1,23.7
sensor_401,52.2,67.8,89.4,78.1,91.3,45.2,34.6,56.5,23.3
sensor_402,34.7,56.3,78.4,52.7,67.5,89.2,45.8,91.7,23.6
sensor_403,91.9,45.4,52.6,34.3,78.9,67.8,56.4,89.8,23.9
sensor_404,23.6,89.9,67.7,91.4,45.1,78.2,52.4,34.4,56.6
sensor_405,56.1,67.4,91.8,78.3,34.7,52.6,89.1,45.3,23.2
sensor_406,89.7,52.8,45.8,67.9,56.6,91.1,78.7,34.9,23.8
sensor_407,67.1,34.9,56.7,52.5,78.2,45.6,91.6,89.3,23.4
sensor_408,45.3,78.1,34.5,89.5,67.6,56.1,52.3,91.4,23.5
