transaction_id,amount,merchant_category,time_of_day,user_age,account_age_days
TXN0734,678.90,1,7,26,201
TXN0735,5234.56,7,22,65,2689
TXN0736,234.67,3,14,40,678
TXN0737,4890.12,9,19,74,3412
TXN0738,890.45,4,10,30,298
TXN0739,7234.56,6,17,54,1898
TXN0740,456.78,0,9,24,123
TXN0741,1567.89,8,21,68,2854
TXN0742,567.90,2,11,33,367
TXN0743,6234.56,5,15,48,1289
TXN0744,234.56,1,8,27,234
TXN0745,3890.12,7,20,63,2456
TXN0746,789.23,3,13,39,623
TXN0747,8234.56,9,22,73,3289
TXN0748,345.67,4,14,32,378
TXN0749,2678.90,6,18,55,1976
TXN0750,678.45,0,7,22,78
TXN0751,5678.90,8,19,66,2745
TXN0752,123.45,2,12,35,445
TXN0753,4567.89,5,17,49,1378
TXN0754,890.12,1,9,28,256
TXN0755,7890.12,7,21,64,2589
TXN0756,456.78,3,11,38,589
TXN0757,1890.23,9,23,74,3367
TXN0758,567.89,4,15,31,323
TXN0759,6789.01,6,19,56,2001
TXN0760,234.56,0,8,23,89
TXN0761,3456.78,8,20,69,2987
TXN0762,789.45,2,13,34,401
TXN0763,8234.56,5,16,47,1234
TXN0764,345.67,1,7,26,198
TXN0765,2345.67,7,22,65,2678
TXN0766,678.90,3,14,40,689
TXN0767,5890.12,9,19,73,3298
TXN0768,234.78,4,10,30,289
TXN0769,4567.89,6,17,54,1867
TXN0770,890.45,0,9,24,112
TXN0771,7567.89,8,21,68,2876
TXN0772,456.78,2,11,33,378
TXN0773,1678.90,5,15,48,1298
TXN0774,567.89,1,8,27,223
TXN0775,6234.56,7,20,63,2478
TXN0776,234.90,3,13,39,634
TXN0777,3890.12,9,22,74,3412
TXN0778,789.23,4,14,32,389
TXN0779,8234.56,6,18,55,1987
TXN0780,345.67,0,7,22,78
TXN0781,2567.89,8,19,67,2798
TXN0782,678.45,2,12,35,456
TXN0783,5234.56,5,17,49,1345
TXN0784,123.45,1,9,28,267
TXN0785,4890.12,7,21,64,2567
TXN0786,890.12,3,11,38,578
TXN0787,7234.56,9,23,73,3289
TXN0788,456.78,4,15,31,334
TXN0789,1567.89,6,19,56,2034
TXN0790,567.90,0,8,23,89
TXN0791,6789.01,8,20,69,2976
TXN0792,234.56,2,13,34,412
TXN0793,3456.78,5,16,47,1198
TXN0794,789.45,1,7,26,201
TXN0795,8567.89,7,22,65,2689
TXN0796,345.67,3,14,40,678
TXN0797,2345.67,9,19,74,3412
TXN0798,678.90,4,10,30,298
TXN0799,5678.90,6,17,54,1898
TXN0800,234.45,0,9,24,123
TXN0801,4567.89,8,21,68,2854
TXN0802,890.12,2,11,33,367
TXN0803,7234.56,5,15,48,1289
TXN0804,456.78,1,8,27,234
TXN0805,1678.90,7,20,63,2456
TXN0806,567.89,3,13,39,623
TXN0807,6890.12,9,22,73,3289
TXN0808,234.78,4,14,32,378
TXN0809,3456.78,6,18,55,1976
TXN0810,789.45,0,7,22,78
TXN0811,8234.56,8,19,66,2745
TXN0812,345.67,2,12,35,445
TXN0813,2890.23,5,17,49,1378
TXN0814,678.90,1,9,28,256
TXN0815,5234.56,7,21,64,2589
TXN0816,123.45,3,11,38,589
TXN0817,4890.12,9,23,74,3367
TXN0818,890.45,4,15,31,323
TXN0819,7567.89,6,19,56,2001
TXN0820,456.78,0,8,23,89
TXN0821,1567.89,8,20,69,2987
TXN0822,567.90,2,13,34,401
TXN0823,6234.56,5,16,47,1234
TXN0824,234.56,1,7,26,198
TXN0825,3789.01,7,22,65,2678
TXN0826,789.23,3,14,40,689
TXN0827,8234.56,9,19,73,3298
TXN0828,345.67,4,10,30,289
TXN0829,2567.89,6,17,54,1867
TXN0830,678.45,0,9,24,112
TXN0831,5678.90,8,21,68,2876
TXN0832,234.78,2,11,33,378
TXN0833,4567.89,5,15,48,1298
TXN0834,890.12,1,8,27,223
TXN0835,7890.12,7,20,63,2478
TXN0836,456.78,3,13,39,634
TXN0837,1890.23,9,22,74,3412
TXN0838,567.89,4,14,32,389
TXN0839,6789.01,6,18,55,1987
TXN0840,234.90,0,7,22,78
TXN0841,3456.78,8,19,67,2798
TXN0842,789.45,2,12,35,456
TXN0843,8234.56,5,17,49,1345
TXN0844,345.67,1,9,28,267
TXN0845,2345.67,7,21,64,2567
TXN0846,678.90,3,11,38,578
TXN0847,5890.12,9,23,73,3289
TXN0848,123.45,4,15,31,334
TXN0849,4567.89,6,19,56,2034
TXN0850,890.45,0,8,23,89
TXN0851,7234.56,8,20,69,2976
TXN0852,456.78,2,13,34,412
TXN0853,1678.90,5,16,47,1198
TXN0854,567.89,1,7,26,201
TXN0855,6234.56,7,22,65,2689
TXN0856,234.56,3,14,40,678
TXN0857,3890.12,9,19,74,3412
TXN0858,789.23,4,10,30,298
TXN0859,8234.56,6,17,54,1898
TXN0860,345.67,0,9,24,123
TXN0861,2567.89,8,21,68,2854
