customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,churn
CUST0425,50,62.40,3120.00,One year,DSL,Yes,No
CUST0426,19,74.00,1406.00,Month-to-month,Fiber optic,No,Yes
CUST0427,65,50.40,3276.00,Two year,DSL,Yes,No
CUST0428,10,88.70,887.00,Month-to-month,Fiber optic,No,Yes
CUST0429,56,63.70,3567.20,Two year,Fiber optic,Yes,No
CUST0430,2,36.50,,Month-to-month,DSL,No,Yes
CUST0431,48,77.20,3705.60,One year,Fiber optic,Yes,No
CUST0432,14,43.60,610.40,Month-to-month,DSL,No,Yes
CUST0433,70,52.90,3703.00,Two year,DSL,Yes,No
CUST0434,6,90.90,545.40,Month-to-month,Fiber optic,No,Yes
CUST0435,54,59.60,3218.40,Two year,DSL,Yes,No
CUST0436,16,73.40,1174.40,Month-to-month,Fiber optic,No,Yes
CUST0437,67,49.10,3289.70,Two year,DSL,Yes,No
CUST0438,5,34.70,173.50,Month-to-month,DSL,No,Yes
CUST0439,60,69.10,4146.00,Two year,Fiber optic,Yes,No
CUST0440,12,40.60,487.20,Month-to-month,DSL,No,Yes
CUST0441,44,78.70,3462.80,One year,Fiber optic,Yes,No
CUST0442,9,38.90,350.10,Month-to-month,DSL,No,Yes
CUST0443,69,55.60,3836.40,Two year,DSL,Yes,No
CUST0444,7,89.60,627.20,Month-to-month,Fiber optic,No,Yes
CUST0445,52,61.90,3218.80,Two year,DSL,Yes,No
CUST0446,18,72.80,1310.40,Month-to-month,Fiber optic,No,Yes
CUST0447,66,50.30,3319.80,Two year,DSL,Yes,No
CUST0448,1,32.60,,Month-to-month,No,No,Yes
CUST0449,58,66.90,3880.20,Two year,Fiber optic,Yes,No
CUST0450,15,44.50,667.50,Month-to-month,DSL,No,Yes
CUST0451,41,76.80,3148.80,One year,Fiber optic,Yes,No
CUST0452,8,37.80,302.40,Month-to-month,DSL,No,Yes
CUST0453,72,56.40,4060.80,Two year,DSL,Yes,No
CUST0454,11,87.20,959.20,Month-to-month,Fiber optic,No,Yes
CUST0455,47,53.30,2505.10,One year,DSL,Yes,No
CUST0456,20,70.70,1414.00,Month-to-month,Fiber optic,No,Yes
CUST0457,68,50.80,3454.40,Two year,DSL,Yes,No
CUST0458,3,35.80,,Month-to-month,DSL,No,Yes
CUST0459,61,68.20,4160.20,Two year,Fiber optic,Yes,No
CUST0460,14,41.70,583.80,Month-to-month,DSL,No,Yes
CUST0461,43,78.90,3392.70,One year,Fiber optic,Yes,No
CUST0462,9,40.70,366.30,Month-to-month,DSL,No,Yes
CUST0463,71,57.50,4082.50,Two year,DSL,Yes,No
CUST0464,5,92.90,464.50,Month-to-month,Fiber optic,No,Yes
CUST0465,51,62.60,3192.60,Two year,DSL,Yes,No
CUST0466,17,73.90,1256.30,Month-to-month,Fiber optic,No,Yes
CUST0467,64,51.10,3270.40,Two year,DSL,Yes,No
CUST0468,4,36.30,,Month-to-month,No,No,Yes
CUST0469,55,65.40,3597.00,Two year,Fiber optic,Yes,No
CUST0470,12,42.30,507.60,Month-to-month,DSL,No,Yes
CUST0471,45,77.50,3487.50,One year,Fiber optic,Yes,No
CUST0472,10,38.20,382.00,Month-to-month,DSL,No,Yes
CUST0473,69,58.20,4015.80,Two year,DSL,Yes,No
CUST0474,6,91.10,546.60,Month-to-month,Fiber optic,No,Yes
CUST0475,53,60.50,3206.50,Two year,DSL,Yes,No
CUST0476,19,74.40,1413.60,Month-to-month,Fiber optic,No,Yes
CUST0477,67,52.20,3497.40,Two year,DSL,Yes,No
CUST0478,2,35.20,,Month-to-month,DSL,No,Yes
CUST0479,59,67.70,3994.30,Two year,Fiber optic,Yes,No
CUST0480,13,43.80,569.40,Month-to-month,DSL,No,Yes
CUST0481,40,75.50,3020.00,One year,Fiber optic,Yes,No
CUST0482,7,39.10,273.70,Month-to-month,DSL,No,Yes
CUST0483,72,54.40,3916.80,Two year,DSL,Yes,No
CUST0484,11,86.90,955.90,Month-to-month,Fiber optic,No,Yes
CUST0485,46,55.70,2562.20,One year,DSL,Yes,No
CUST0486,21,71.20,1495.20,Month-to-month,Fiber optic,No,Yes
CUST0487,68,49.40,3359.20,Two year,DSL,Yes,No
CUST0488,3,34.40,,Month-to-month,DSL,No,Yes
CUST0489,62,69.80,4327.60,Two year,Fiber optic,Yes,No
CUST0490,15,42.60,639.00,Month-to-month,DSL,No,Yes
CUST0491,43,80.20,3448.60,One year,Fiber optic,Yes,No
CUST0492,8,40.30,322.40,Month-to-month,DSL,No,Yes
CUST0493,71,56.00,3976.00,Two year,DSL,Yes,No
CUST0494,4,93.50,,Month-to-month,Fiber optic,No,Yes
CUST0495,50,61.80,3090.00,One year,DSL,Yes,No
CUST0496,18,72.60,1306.80,Month-to-month,Fiber optic,No,Yes
CUST0497,65,50.60,3289.00,Two year,DSL,Yes,No
CUST0498,10,88.20,882.00,Month-to-month,Fiber optic,No,Yes
CUST0499,56,63.80,3572.80,Two year,Fiber optic,Yes,No
CUST0500,2,36.90,,Month-to-month,DSL,No,Yes
CUST0501,31,58.20,1804.20,One year,DSL,Yes,No
CUST0502,6,83.40,500.40,Month-to-month,Fiber optic,No,Yes
CUST0503,57,47.30,2696.10,Two year,DSL,Yes,No
CUST0504,13,65.70,854.10,Month-to-month,Fiber optic,No,Yes
CUST0505,49,53.90,2641.10,One year,DSL,Yes,No
CUST0506,4,29.80,,Month-to-month,No,No,Yes
CUST0507,63,60.40,3805.20,Two year,Fiber optic,Yes,No
CUST0508,11,72.50,797.50,Month-to-month,Fiber optic,No,Yes
CUST0509,38,56.80,2158.40,One year,DSL,Yes,No
CUST0510,8,84.90,679.20,Month-to-month,Fiber optic,No,Yes
CUST0511,52,62.10,3229.20,Two year,DSL,Yes,No
CUST0512,15,46.30,694.50,Month-to-month,DSL,No,Yes
CUST0513,67,51.20,3430.40,Two year,DSL,Yes,No
CUST0514,9,78.60,707.40,Month-to-month,Fiber optic,No,Yes
CUST0515,44,59.70,2626.80,One year,DSL,Yes,No
CUST0516,5,31.40,157.00,Month-to-month,No,No,Yes
CUST0517,61,68.90,4202.90,Two year,Fiber optic,Yes,No
CUST0518,17,69.80,1186.60,Month-to-month,Fiber optic,No,Yes
CUST0519,55,64.30,3536.50,Two year,DSL,Yes,No
CUST0520,12,43.70,524.40,Month-to-month,DSL,No,Yes
CUST0521,70,55.80,3906.00,Two year,DSL,Yes,No
CUST0522,7,86.30,604.10,Month-to-month,Fiber optic,No,Yes
CUST0523,48,57.50,2760.00,One year,DSL,Yes,No
CUST0524,14,71.90,1006.60,Month-to-month,Fiber optic,No,Yes
CUST0525,59,66.70,3935.30,Two year,Fiber optic,Yes,No
CUST0526,3,30.20,,Month-to-month,No,No,Yes
CUST0527,64,52.40,3353.60,Two year,DSL,Yes,No
CUST0528,10,82.70,827.00,Month-to-month,Fiber optic,No,Yes
CUST0529,42,60.90,2557.80,One year,DSL,Yes,No
CUST0530,16,68.40,1094.40,Month-to-month,Fiber optic,No,Yes
CUST0531,66,49.80,3286.80,Two year,DSL,Yes,No
CUST0532,8,75.20,601.60,Month-to-month,Fiber optic,No,Yes
CUST0533,53,61.30,3248.90,Two year,DSL,Yes,No
CUST0534,11,44.90,493.90,Month-to-month,DSL,No,Yes
CUST0535,72,58.60,4219.20,Two year,DSL,Yes,No
CUST0536,6,88.50,531.00,Month-to-month,Fiber optic,No,Yes
CUST0537,50,63.80,3190.00,One year,DSL,Yes,No
CUST0538,19,70.10,1331.90,Month-to-month,Fiber optic,No,Yes
CUST0539,68,50.70,3447.60,Two year,DSL,Yes,No
CUST0540,2,32.60,,Month-to-month,No,No,Yes
CUST0541,58,67.20,3897.60,Two year,Fiber optic,Yes,No
CUST0542,13,45.80,595.40,Month-to-month,DSL,No,Yes
CUST0543,46,62.50,2875.00,One year,DSL,Yes,No
CUST0544,9,80.30,722.70,Month-to-month,Fiber optic,No,Yes
CUST0545,71,54.90,3897.90,Two year,DSL,Yes,No
CUST0546,15,66.20,993.00,Month-to-month,Fiber optic,No,Yes
CUST0547,62,69.40,4302.80,Two year,Fiber optic,Yes,No
CUST0548,4,28.70,,Month-to-month,No,No,Yes
CUST0549,56,65.50,3668.00,Two year,DSL,Yes,No
CUST0550,18,73.60,1324.80,Month-to-month,Fiber optic,No,Yes
CUST0551,47,56.20,2641.40,One year,DSL,Yes,No
CUST0552,7,85.70,599.90,Month-to-month,Fiber optic,No,Yes
CUST0553,65,51.90,3373.50,Two year,DSL,Yes,No
CUST0554,12,42.10,505.20,Month-to-month,DSL,No,Yes
CUST0555,69,57.80,3988.20,Two year,DSL,Yes,No
CUST0556,10,79.40,794.00,Month-to-month,Fiber optic,No,Yes
CUST0557,54,60.70,3277.80,Two year,DSL,Yes,No
CUST0558,16,67.90,1086.40,Month-to-month,Fiber optic,No,Yes
CUST0559,63,68.30,4302.90,Two year,Fiber optic,Yes,No
CUST0560,5,33.90,169.50,Month-to-month,No,No,Yes
CUST0561,51,62.80,3202.80,Two year,DSL,Yes,No
CUST0562,14,74.50,1043.00,Month-to-month,Fiber optic,No,Yes
CUST0563,60,66.00,3960.00,Two year,Fiber optic,Yes,No
CUST0564,8,41.20,329.60,Month-to-month,DSL,No,Yes
CUST0565,72,53.70,3866.40,Two year,DSL,Yes,No
CUST0566,11,87.80,965.80,Month-to-month,Fiber optic,No,Yes
CUST0567,45,59.40,2673.00,One year,DSL,Yes,No
CUST0568,6,76.30,457.80,Month-to-month,Fiber optic,No,Yes
CUST0569,67,48.50,3249.50,Two year,DSL,Yes,No
CUST0570,17,69.20,1176.40,Month-to-month,Fiber optic,No,Yes
CUST0571,55,64.90,3569.50,Two year,DSL,Yes,No
CUST0572,3,31.50,,Month-to-month,No,No,Yes
CUST0573,61,70.10,4276.10,Two year,Fiber optic,Yes,No
CUST0574,13,46.60,605.80,Month-to-month,DSL,No,Yes
