id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,target
64,-85.7,142.3,164.8,-132.6,155.9,115.3,-162.8,116.2,153.7,-122.9,138.3,101.7,-176.3,112.4,155.6,-133.8,131.7,115.8,-183.2,119.1,159.8,-128.4,141.3,111.2,-188.4,113.1,156.6,-134.3,129.2,121.8,-180.7,116.9,159.6,-128.2,139.3,109.3,-186.6,110.7,157.4,-131.8,134.2,117.3,-178.8,118.7,155.6,-126.7,0,112.3,1
65,113.2,-157.8,143.7,108.3,-164.6,106.9,158.4,-124.3,135.1,97.4,-175.2,113.3,165.4,-135.8,137.7,118.3,-186.3,111.2,161.4,-130.4,140.3,107.7,-180.4,118.1,158.9,-134.6,132.2,122.8,-183.3,114.2,162.4,-130.6,142.2,110.2,-177.9,121.3,163.6,-134.4,136.8,117.6,-188.7,112.6,163.4,-128.7,137.8,118.9,-182.1,118.2,0
66,155.8,127.3,-187.2,138.3,168.9,-126.4,149.7,102.8,-179.2,118.7,168.9,-145.3,148.2,126.4,-197.8,131.8,178.2,-157.1,146.3,144.3,-205.6,129.2,174.7,-149.4,156.6,134.8,-213.2,134.9,172.7,-156.4,149.2,143.8,-203.4,128.3,180.8,-155.3,157.6,139.7,-212.3,126.7,176.9,-157.7,149.7,145.7,-201.2,135.4,173.8,-152.3,1
67,-103.2,161.3,186.8,-159.1,176.9,138.3,-184.3,131.7,174.2,-147.4,156.8,122.2,-199.8,127.9,176.6,-160.3,149.2,138.8,-207.7,135.6,181.3,-154.4,160.3,133.7,-213.4,128.6,177.6,-161.3,146.7,146.3,-204.7,132.4,181.1,-153.7,158.3,131.3,-211.1,125.7,178.4,-158.3,152.2,140.8,-202.3,134.7,176.6,-152.2,0,134.8,0
68,128.7,-179.3,163.2,130.3,-186.6,121.4,179.4,-149.3,153.1,116.9,-198.7,128.8,187.4,-163.3,156.2,141.8,-210.8,126.7,182.9,-156.9,159.3,129.2,-204.9,134.6,180.4,-161.1,150.2,147.3,-207.8,129.7,184.4,-156.6,161.7,132.7,-201.4,137.8,185.1,-161.4,155.3,141.1,-213.2,127.6,185.4,-154.2,156.3,142.9,-206.6,134.2,1
69,176.3,152.8,-212.2,157.3,191.4,-151.9,169.2,123.3,-203.2,134.7,191.4,-174.3,167.7,151.9,-223.3,149.3,201.7,-188.6,165.8,173.3,-233.1,146.7,197.7,-179.4,177.6,161.8,-241.7,153.4,195.2,-187.4,169.2,172.3,-230.4,145.8,204.3,-186.3,178.6,167.7,-240.3,143.7,200.4,-188.7,169.7,174.7,-228.2,153.9,196.3,-182.8,0
70,-124.7,182.8,211.3,-190.6,200.4,165.8,-208.8,149.2,197.2,-176.9,177.3,146.7,-226.3,145.4,199.6,-192.3,168.7,166.3,-235.2,153.6,205.3,-184.9,181.8,160.2,-241.4,146.1,200.6,-193.3,166.2,175.8,-231.7,150.4,204.6,-184.2,179.3,157.8,-239.1,142.7,202.4,-189.8,172.2,168.3,-229.3,152.7,199.6,-182.2,0,161.8,1
71,146.2,-203.8,185.2,156.8,-211.6,137.9,203.4,-179.3,173.6,140.4,-225.2,146.3,212.4,-195.8,177.2,169.8,-238.8,144.2,207.4,-188.4,180.8,155.2,-232.4,152.1,204.4,-193.1,170.7,176.8,-235.3,147.2,208.9,-187.6,183.2,159.2,-228.4,156.3,209.6,-193.4,176.3,169.1,-241.2,145.1,210.4,-184.7,177.3,171.4,-234.1,152.2,0
72,199.8,183.3,-240.2,178.3,216.9,-181.9,191.7,148.3,-230.2,152.7,216.9,-208.8,189.7,182.4,-252.8,169.3,228.2,-226.1,187.8,207.8,-264.6,166.2,224.2,-215.4,200.6,194.3,-273.7,174.4,221.2,-224.4,191.2,206.8,-261.4,165.3,231.8,-223.8,202.1,200.7,-272.3,162.7,227.4,-226.2,191.7,209.2,-258.7,174.4,222.8,-219.3,1
73,-149.7,207.3,239.8,-228.1,226.9,198.3,-236.3,169.2,223.7,-211.9,200.8,175.7,-256.8,164.9,226.1,-230.8,190.7,199.3,-266.7,174.1,232.8,-221.4,205.8,192.2,-273.4,166.6,227.1,-231.3,188.2,210.3,-262.2,170.9,231.6,-220.7,203.3,189.3,-270.6,162.2,229.9,-227.3,194.7,201.3,-259.8,173.2,226.1,-218.2,0,193.8,0
74,165.7,-231.3,210.2,188.3,-239.6,156.4,230.4,-215.3,196.6,168.9,-255.2,166.8,240.9,-234.3,200.7,203.3,-270.3,163.7,235.4,-225.9,204.8,186.2,-263.9,172.6,231.9,-231.6,193.2,211.3,-266.8,167.7,236.4,-224.6,207.7,191.7,-259.4,177.3,238.1,-232.9,199.8,202.6,-272.7,165.6,239.4,-221.2,200.8,205.9,-265.6,172.7,1
75,226.3,219.8,-271.7,202.3,245.4,-218.4,217.2,178.3,-261.2,173.2,245.4,-250.3,214.7,218.9,-286.3,191.8,258.7,-271.6,212.8,249.3,-299.6,188.7,254.2,-258.9,227.1,233.3,-309.7,197.9,250.7,-269.9,216.7,247.8,-295.9,187.3,262.8,-268.3,229.1,240.7,-308.3,184.2,257.9,-271.2,217.2,250.7,-292.7,197.4,252.3,-262.8,0
76,-179.2,235.3,271.3,-273.6,256.9,237.8,-267.3,191.7,253.2,-253.9,227.3,210.2,-290.3,186.9,256.6,-276.3,216.2,238.8,-301.2,197.1,263.8,-265.4,233.3,230.2,-309.4,189.1,257.6,-277.8,213.2,252.3,-296.7,193.4,262.6,-264.2,230.8,226.8,-306.1,184.2,260.4,-272.8,220.2,241.3,-293.3,196.2,256.6,-261.7,0,232.3,1
77,187.7,-262.3,238.2,225.8,-271.6,177.4,260.9,-258.3,222.1,202.4,-288.7,189.3,272.4,-280.8,227.2,243.8,-305.8,185.7,266.9,-270.4,232.3,223.7,-298.4,195.6,262.4,-278.1,219.2,253.8,-301.8,190.2,267.9,-268.6,235.2,229.7,-293.4,200.8,269.6,-279.4,226.3,242.6,-308.2,188.1,270.9,-265.2,227.8,246.9,-300.6,195.7,0
78,256.3,262.8,-307.2,229.3,277.9,-261.4,246.2,214.3,-295.7,196.2,277.9,-300.3,243.2,262.4,-324.3,217.3,292.2,-325.6,241.3,299.3,-339.6,213.7,287.7,-310.9,257.1,280.3,-350.2,224.4,283.7,-323.4,245.7,297.3,-334.4,212.3,296.3,-321.8,260.6,288.7,-348.8,208.7,291.4,-325.2,246.7,300.7,-331.2,223.9,285.8,-314.3,1
79,-214.7,267.3,307.8,-327.6,290.4,285.3,-302.3,217.2,286.7,-304.4,257.8,252.2,-328.8,211.9,290.1,-330.8,245.2,286.3,-341.2,223.6,298.3,-317.9,264.3,276.2,-349.9,214.6,291.1,-332.3,241.7,302.8,-335.7,219.4,297.1,-316.7,261.3,271.8,-346.6,209.2,294.9,-327.3,249.7,289.3,-332.3,222.2,290.1,-313.2,0,278.8,0
80,212.7,-297.3,269.7,270.8,-307.6,201.4,295.4,-309.8,251.6,242.4,-327.2,214.8,308.4,-336.3,257.7,292.3,-346.3,210.7,302.4,-323.9,263.8,268.2,-338.4,221.6,297.4,-333.1,248.2,304.3,-341.3,215.7,303.4,-321.6,266.7,275.2,-332.4,227.3,305.1,-334.9,256.8,290.6,-348.7,213.6,306.4,-317.7,258.3,295.4,-340.1,221.7,1
81,290.3,314.3,-347.2,259.8,314.4,-313.4,278.7,257.3,-334.2,222.7,314.4,-359.8,275.2,314.9,-366.8,246.3,330.7,-389.6,273.3,358.8,-383.6,242.2,325.2,-373.4,291.6,336.3,-396.2,254.9,321.7,-387.4,278.2,356.8,-378.9,240.8,335.3,-385.3,295.1,346.2,-394.3,236.2,329.9,-389.2,279.2,360.2,-375.7,253.4,323.3,-377.8,0
82,-257.2,302.8,348.3,-392.6,328.9,342.3,-342.3,246.2,325.2,-365.4,292.3,302.7,-371.8,240.4,328.6,-395.3,277.7,343.8,-386.7,253.1,337.8,-381.4,299.3,331.7,-395.4,243.6,329.6,-397.3,273.2,362.8,-380.2,248.4,336.6,-379.7,296.3,326.3,-392.1,237.7,333.4,-391.8,282.7,347.3,-376.8,251.7,328.6,-375.7,0,333.8,1
