chain,iteration,mu,tau,theta[1],theta[2],theta[3],theta[4],theta[5],sigma,divergent
1,303,4.9567,2.5432,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,304,5.0123,2.4123,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,305,4.9890,2.5678,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,306,5.0456,2.3987,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,307,4.9345,2.4876,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,308,5.0567,2.5234,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,309,4.9789,2.4456,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,310,5.0234,2.5678,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,311,4.9456,2.3765,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,312,5.0678,2.4987,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,313,4.9234,2.5345,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,314,5.0345,2.4234,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,315,4.9567,2.5567,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,316,5.0123,2.3876,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,317,4.9890,2.4765,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,318,5.0789,2.5432,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,319,4.9345,2.4123,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,320,5.0456,2.5678,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,321,4.9678,2.3987,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,322,5.0234,2.4876,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,323,4.9456,2.5234,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,324,5.0567,2.4456,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,325,4.9789,2.5678,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,326,5.0345,2.3765,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,327,4.9234,2.4987,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,328,5.0678,2.5345,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,329,4.9567,2.4234,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,330,5.0123,2.5567,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,331,4.9890,2.3876,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,332,5.0456,2.4765,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,333,4.9345,2.5432,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,334,5.0567,2.4123,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,335,4.9789,2.5678,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,336,5.0234,2.3987,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,337,4.9456,2.4876,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,338,5.0678,2.5234,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,339,4.9234,2.4456,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,340,5.0345,2.5678,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,341,4.9567,2.3765,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,342,5.0123,2.4987,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,343,4.9890,2.5345,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,344,5.0789,2.4234,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,345,4.9345,2.5567,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,346,5.0456,2.3876,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,347,4.9678,2.4765,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,348,5.0234,2.5432,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,349,4.9456,2.4123,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,350,5.0567,2.5678,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,351,4.9789,2.3987,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,352,5.0345,2.4876,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,353,4.9234,2.5234,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,354,5.0678,2.4456,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,355,4.9567,2.5678,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
