transaction_id,amount,merchant_category,time_of_day,day_of_week,distance_from_home,distance_from_last,ratio_to_median,is_fraud
TXN000461,103.45,8,16,2,4.6,2.8,0.98,0
TXN000462,82.45,5,9,0,3.7,2.1,0.83,0
TXN000463,2734.56,19,3,5,323.5,289.8,8.46,1
TXN000464,134.56,14,13,3,6.0,3.7,1.18,0
TXN000465,58.90,6,11,1,2.9,1.7,0.94,0
TXN000466,245.89,12,17,4,9.3,6.2,1.90,0
TXN000467,91.23,9,15,2,4.4,2.6,0.89,0
TXN000468,3290.12,17,1,6,389.6,356.3,9.24,1
TXN000469,156.78,15,10,0,6.6,4.3,1.29,0
TXN000470,72.34,3,14,5,3.6,2.1,0.80,0
TXN000471,208.90,10,12,3,8.9,5.9,1.70,0
TXN000472,61.34,7,16,1,3.0,1.8,0.91,0
TXN000473,2178.90,20,4,4,278.8,245.5,7.79,1
TXN000474,134.56,13,9,2,5.9,3.6,1.19,0
TXN000475,103.45,4,13,0,4.6,2.8,0.97,0
TXN000476,245.89,2,11,5,9.5,6.3,1.93,0
TXN000477,94.67,11,18,3,4.5,2.7,0.86,0
TXN000478,2012.34,16,2,6,267.8,234.5,7.68,1
TXN000479,49.78,8,15,1,2.8,1.6,0.96,0
TXN000480,167.34,5,10,4,6.8,4.4,1.34,0
TXN000481,82.45,14,14,2,3.8,2.2,0.85,0
TXN000482,134.56,6,12,0,6.0,3.7,1.20,0
TXN000483,2512.67,18,3,5,301.3,268.0,8.24,1
TXN000484,72.34,12,16,3,3.6,2.1,0.81,0
TXN000485,245.89,9,9,1,9.4,6.2,1.92,0
TXN000486,58.90,15,13,4,2.9,1.7,0.93,0
TXN000487,91.23,3,11,2,4.4,2.6,0.90,0
TXN000488,3178.90,19,1,6,378.3,345.0,9.13,1
TXN000489,156.78,10,17,0,6.5,4.2,1.27,0
TXN000490,103.45,7,15,5,4.6,2.8,0.97,0
TXN000491,61.34,13,10,3,3.0,1.8,0.90,0
TXN000492,245.89,4,14,1,9.2,6.0,1.89,0
TXN000493,2289.45,17,4,4,289.4,256.1,7.90,1
TXN000494,134.56,2,12,2,5.9,3.6,1.18,0
TXN000495,82.45,11,16,0,3.7,2.1,0.84,0
TXN000496,208.90,8,9,5,8.9,5.9,1.70,0
TXN000497,94.67,5,13,3,4.3,2.6,0.88,0
TXN000498,1890.12,20,2,6,256.8,223.5,7.57,1
TXN000499,49.56,14,11,1,2.8,1.6,0.95,0
TXN000500,167.34,6,18,4,6.7,4.4,1.33,0
TXN000501,68.45,5,14,2,2.5,1.4,0.98,0
TXN000502,125.67,12,18,4,5.8,3.6,1.14,0
TXN000503,79.23,3,10,1,1.4,1.0,0.87,0
TXN000504,248.90,8,20,5,15.5,12.3,2.36,0
TXN000505,93.56,15,12,3,3.6,2.3,0.78,0
TXN000506,2478.90,17,1,6,412.5,379.1,9.14,1
TXN000507,55.89,7,16,0,4.7,2.5,1.05,0
TXN000508,102.45,11,9,2,2.3,1.7,0.94,0
TXN000509,158.67,4,13,4,6.9,4.4,1.25,0
TXN000510,83.34,6,19,1,9.1,5.8,0.83,0
TXN000511,2278.90,16,4,1,323.7,289.5,8.14,1
TXN000512,39.67,2,11,3,2.0,1.1,0.69,0
TXN000513,168.56,9,15,5,7.4,5.0,1.36,0
TXN000514,92.45,13,8,2,3.7,2.2,0.90,0
TXN000515,247.12,10,17,4,12.5,8.9,2.00,0
TXN000516,59.12,5,14,1,3.1,1.8,0.96,0
TXN000517,103.67,8,12,3,4.8,3.0,1.03,0
TXN000518,135.78,14,10,0,6.0,3.7,1.17,0
TXN000519,73.45,3,16,2,2.9,1.6,0.85,0
TXN000520,1967.89,20,2,6,268.1,234.7,7.80,1
TXN000521,50.78,7,13,4,3.3,2.0,0.91,0
TXN000522,199.67,11,9,1,6.6,4.3,1.47,0
TXN000523,82.12,4,18,3,4.4,2.7,0.81,0
TXN000524,246.34,12,11,2,10.0,6.5,1.89,0
TXN000525,59.90,6,15,0,2.6,1.5,0.98,0
TXN000526,3489.23,18,3,2,357.0,312.7,8.69,1
TXN000527,92.45,9,14,5,5.0,3.1,0.89,0
TXN000528,157.90,15,10,3,7.3,4.8,1.30,0
TXN000529,104.67,2,17,1,4.1,2.4,0.95,0
TXN000530,62.01,13,12,4,2.8,1.7,0.89,0
TXN000531,135.78,8,16,0,5.6,3.5,1.20,0
TXN000532,73.56,10,9,5,3.4,2.1,0.84,0
TXN000533,246.12,5,13,3,8.9,6.0,1.94,0
TXN000534,95.89,14,11,1,4.5,2.8,0.93,0
TXN000535,2890.12,19,4,1,323.8,289.6,8.15,1
TXN000536,53.23,7,15,4,3.0,1.8,0.90,0
TXN000537,168.56,11,10,2,6.7,4.4,1.38,0
TXN000538,83.67,3,18,0,3.9,2.3,0.85,0
TXN000539,209.12,12,14,5,9.4,6.3,1.69,0
TXN000540,59.45,6,12,3,2.7,1.6,0.96,0
TXN000541,92.67,9,16,4,5.1,3.2,0.89,0
