# HELP cache_hit_ratio Cache hit ratio
# TYPE cache_hit_ratio gauge
# HELP cache_response_time_seconds Cache response time
# TYPE cache_response_time_seconds histogram
# HELP cache_evictions_total Total cache evictions
# TYPE cache_evictions_total counter
cache_evictions_total 2848 1704110895000
cache_hit_ratio 0.59 1704110910000
cache_response_time_seconds_bucket{le="0.01"} 13440 1704110910000
cache_response_time_seconds_bucket{le="0.025"} 17680 1704110910000
cache_response_time_seconds_bucket{le="0.05"} 26380 1704110910000
cache_response_time_seconds_bucket{le="0.075"} 27090 1704110910000
cache_response_time_seconds_bucket{le="0.1"} 27440 1704110910000
cache_response_time_seconds_bucket{le="0.15"} 27790 1704110910000
cache_response_time_seconds_bucket{le="0.2"} 28140 1704110910000
cache_response_time_seconds_bucket{le="0.5"} 32810 1704110910000
cache_response_time_seconds_bucket{le="1.0"} 35000 1704110910000
cache_response_time_seconds_bucket{le="+Inf"} 35000 1704110910000
cache_response_time_seconds_sum 2250.8 1704110910000
cache_response_time_seconds_count 35000 1704110910000
cache_evictions_total 2978 1704110910000
cache_hit_ratio 0.62 1704110925000
cache_response_time_seconds_bucket{le="0.01"} 13820 1704110925000
cache_response_time_seconds_bucket{le="0.025"} 17760 1704110925000
cache_response_time_seconds_bucket{le="0.05"} 26860 1704110925000
cache_response_time_seconds_bucket{le="0.075"} 27600 1704110925000
cache_response_time_seconds_bucket{le="0.1"} 27960 1704110925000
cache_response_time_seconds_bucket{le="0.15"} 28320 1704110925000
cache_response_time_seconds_bucket{le="0.2"} 28680 1704110925000
cache_response_time_seconds_bucket{le="0.5"} 33710 1704110925000
cache_response_time_seconds_bucket{le="1.0"} 36000 1704110925000
cache_response_time_seconds_bucket{le="+Inf"} 36000 1704110925000
cache_response_time_seconds_sum 2325.6 1704110925000
cache_response_time_seconds_count 36000 1704110925000
cache_evictions_total 3112 1704110925000
cache_hit_ratio 0.58 1704110940000
cache_response_time_seconds_bucket{le="0.01"} 13980 1704110940000
cache_response_time_seconds_bucket{le="0.025"} 18200 1704110940000
cache_response_time_seconds_bucket{le="0.05"} 27480 1704110940000
cache_response_time_seconds_bucket{le="0.075"} 28240 1704110940000
cache_response_time_seconds_bucket{le="0.1"} 28610 1704110940000
cache_response_time_seconds_bucket{le="0.15"} 28980 1704110940000
cache_response_time_seconds_bucket{le="0.2"} 29350 1704110940000
cache_response_time_seconds_bucket{le="0.5"} 34720 1704110940000
cache_response_time_seconds_bucket{le="1.0"} 37000 1704110940000
cache_response_time_seconds_bucket{le="+Inf"} 37000 1704110940000
cache_response_time_seconds_sum 2407.5 1704110940000
cache_response_time_seconds_count 37000 1704110940000
cache_evictions_total 3251 1704110940000
cache_hit_ratio 0.55 1704110955000
cache_response_time_seconds_bucket{le="0.01"} 14100 1704110955000
cache_response_time_seconds_bucket{le="0.025"} 18620 1704110955000
cache_response_time_seconds_bucket{le="0.05"} 28100 1704110955000
cache_response_time_seconds_bucket{le="0.075"} 28880 1704110955000
cache_response_time_seconds_bucket{le="0.1"} 29260 1704110955000
cache_response_time_seconds_bucket{le="0.15"} 29640 1704110955000
cache_response_time_seconds_bucket{le="0.2"} 30020 1704110955000
cache_response_time_seconds_bucket{le="0.5"} 35640 1704110955000
cache_response_time_seconds_bucket{le="1.0"} 38000 1704110955000
cache_response_time_seconds_bucket{le="+Inf"} 38000 1704110955000
cache_response_time_seconds_sum 2495.2 1704110955000
cache_response_time_seconds_count 38000 1704110955000
cache_evictions_total 3395 1704110955000
cache_hit_ratio 0.52 1704110970000
cache_response_time_seconds_bucket{le="0.01"} 14180 1704110970000
cache_response_time_seconds_bucket{le="0.025"} 19020 1704110970000
cache_response_time_seconds_bucket{le="0.05"} 28720 1704110970000
cache_response_time_seconds_bucket{le="0.075"} 29520 1704110970000
cache_response_time_seconds_bucket{le="0.1"} 29910 1704110970000
cache_response_time_seconds_bucket{le="0.15"} 30300 1704110970000
cache_response_time_seconds_bucket{le="0.2"} 30690 1704110970000
cache_response_time_seconds_bucket{le="0.5"} 36560 1704110970000
cache_response_time_seconds_bucket{le="1.0"} 39000 1704110970000
cache_response_time_seconds_bucket{le="+Inf"} 39000 1704110970000
cache_response_time_seconds_sum 2588.7 1704110970000
cache_response_time_seconds_count 39000 1704110970000
cache_evictions_total 3544 1704110970000
cache_hit_ratio 0.60 1704110985000
cache_response_time_seconds_bucket{le="0.01"} 14600 1704110985000
cache_response_time_seconds_bucket{le="0.025"} 19200 1704110985000
cache_response_time_seconds_bucket{le="0.05"} 29200 1704110985000
cache_response_time_seconds_bucket{le="0.075"} 30040 1704110985000
cache_response_time_seconds_bucket{le="0.1"} 30440 1704110985000
cache_response_time_seconds_bucket{le="0.15"} 30840 1704110985000
cache_response_time_seconds_bucket{le="0.2"} 31240 1704110985000
cache_response_time_seconds_bucket{le="0.5"} 37460 1704110985000
cache_response_time_seconds_bucket{le="1.0"} 40000 1704110985000
cache_response_time_seconds_bucket{le="+Inf"} 40000 1704110985000
cache_response_time_seconds_sum 2677.2 1704110985000
cache_response_time_seconds_count 40000 1704110985000
cache_evictions_total 3697 1704110985000
cache_hit_ratio 0.63 1704111000000
cache_response_time_seconds_bucket{le="0.01"} 15080 1704111000000
cache_response_time_seconds_bucket{le="0.025"} 19360 1704111000000
cache_response_time_seconds_bucket{le="0.05"} 29640 1704111000000
cache_response_time_seconds_bucket{le="0.075"} 30520 1704111000000
cache_response_time_seconds_bucket{le="0.1"} 30930 1704111000000
cache_response_time_seconds_bucket{le="0.15"} 31340 1704111000000
cache_response_time_seconds_bucket{le="0.2"} 31750 1704111000000
cache_response_time_seconds_bucket{le="0.5"} 38350 1704111000000
cache_response_time_seconds_bucket{le="1.0"} 41000 1704111000000
cache_response_time_seconds_bucket{le="+Inf"} 41000 1704111000000
cache_response_time_seconds_sum 2761.4 1704111000000
cache_response_time_seconds_count 41000 1704111000000
cache_evictions_total 3855 1704111000000
cache_hit_ratio 0.66 1704111015000
cache_response_time_seconds_bucket{le="0.01"} 15640 1704111015000
cache_response_time_seconds_bucket{le="0.025"} 19480 1704111015000
cache_response_time_seconds_bucket{le="0.05"} 30040 1704111015000
cache_response_time_seconds_bucket{le="0.075"} 30960 1704111015000
cache_response_time_seconds_bucket{le="0.1"} 31380 1704111015000
cache_response_time_seconds_bucket{le="0.15"} 31800 1704111015000
cache_response_time_seconds_bucket{le="0.2"} 32220 1704111015000
cache_response_time_seconds_bucket{le="0.5"} 39230 1704111015000
cache_response_time_seconds_bucket{le="1.0"} 42000 1704111015000
cache_response_time_seconds_bucket{le="+Inf"} 42000 1704111015000
cache_response_time_seconds_sum 2841.3 1704111015000
cache_response_time_seconds_count 42000 1704111015000
cache_evictions_total 4017 1704111015000
cache_hit_ratio 0.69 1704111030000
cache_response_time_seconds_bucket{le="0.01"} 16280 1704111030000
cache_response_time_seconds_bucket{le="0.025"} 19560 1704111030000
cache_response_time_seconds_bucket{le="0.05"} 30400 1704111030000
cache_response_time_seconds_bucket{le="0.075"} 31360 1704111030000
cache_response_time_seconds_bucket{le="0.1"} 31790 1704111030000
cache_response_time_seconds_bucket{le="0.15"} 32220 1704111030000
cache_response_time_seconds_bucket{le="0.2"} 32650 1704111030000
cache_response_time_seconds_bucket{le="0.5"} 40100 1704111030000
cache_response_time_seconds_bucket{le="1.0"} 43000 1704111030000
cache_response_time_seconds_bucket{le="+Inf"} 43000 1704111030000
cache_response_time_seconds_sum 2917.9 1704111030000
cache_response_time_seconds_count 43000 1704111030000
cache_evictions_total 4183 1704111030000
cache_hit_ratio 0.72 1704111045000
cache_response_time_seconds_bucket{le="0.01"} 17000 1704111045000
cache_response_time_seconds_bucket{le="0.025"} 19600 1704111045000
cache_response_time_seconds_bucket{le="0.05"} 30720 1704111045000
cache_response_time_seconds_bucket{le="0.075"} 31720 1704111045000
cache_response_time_seconds_bucket{le="0.1"} 32160 1704111045000
cache_response_time_seconds_bucket{le="0.15"} 32600 1704111045000
cache_response_time_seconds_bucket{le="0.2"} 33040 1704111045000
cache_response_time_seconds_bucket{le="0.5"} 40960 1704111045000
cache_response_time_seconds_bucket{le="1.0"} 44000 1704111045000
cache_response_time_seconds_bucket{le="+Inf"} 44000 1704111045000
cache_response_time_seconds_sum 2991.2 1704111045000
cache_response_time_seconds_count 44000 1704111045000
cache_evictions_total 4354 1704111045000
cache_hit_ratio 0.75 1704111060000
cache_response_time_seconds_bucket{le="0.01"} 17800 1704111060000
cache_response_time_seconds_bucket{le="0.025"} 19600 1704111060000
cache_response_time_seconds_bucket{le="0.05"} 31000 1704111060000
cache_response_time_seconds_bucket{le="0.075"} 32040 1704111060000
cache_response_time_seconds_bucket{le="0.1"} 32490 1704111060000
cache_response_time_seconds_bucket{le="0.15"} 32940 1704111060000
cache_response_time_seconds_bucket{le="0.2"} 33390 1704111060000
cache_response_time_seconds_bucket{le="0.5"} 41810 1704111060000
cache_response_time_seconds_bucket{le="1.0"} 45000 1704111060000
cache_response_time_seconds_bucket{le="+Inf"} 45000 1704111060000
cache_response_time_seconds_sum 3061.3 1704111060000
cache_response_time_seconds_count 45000 1704111060000
cache_evictions_total 4529 1704111060000
cache_hit_ratio 0.78 1704111075000
cache_response_time_seconds_bucket{le="0.01"} 18680 1704111075000
cache_response_time_seconds_bucket{le="0.025"} 19560 1704111075000
cache_response_time_seconds_bucket{le="0.05"} 31240 1704111075000
cache_response_time_seconds_bucket{le="0.075"} 32320 1704111075000
cache_response_time_seconds_bucket{le="0.1"} 32780 1704111075000
cache_response_time_seconds_bucket{le="0.15"} 33240 1704111075000
cache_response_time_seconds_bucket{le="0.2"} 33700 1704111075000
cache_response_time_seconds_bucket{le="0.5"} 42650 1704111075000
cache_response_time_seconds_bucket{le="1.0"} 46000 1704111075000
cache_response_time_seconds_bucket{le="+Inf"} 46000 1704111075000
cache_response_time_seconds_sum 3128.2 1704111075000
cache_response_time_seconds_count 46000 1704111075000
cache_evictions_total 4708 1704111075000
cache_hit_ratio 0.81 1704111090000
cache_response_time_seconds_bucket{le="0.01"} 19640 1704111090000
cache_response_time_seconds_bucket{le="0.025"} 19480 1704111090000
cache_response_time_seconds_bucket{le="0.05"} 31440 1704111090000
cache_response_time_seconds_bucket{le="0.075"} 32560 1704111090000
cache_response_time_seconds_bucket{le="0.1"} 33030 1704111090000
cache_response_time_seconds_bucket{le="0.15"} 33500 1704111090000
cache_response_time_seconds_bucket{le="0.2"} 33970 1704111090000
cache_response_time_seconds_bucket{le="0.5"} 43480 1704111090000
cache_response_time_seconds_bucket{le="1.0"} 47000 1704111090000
cache_response_time_seconds_bucket{le="+Inf"} 47000 1704111090000
cache_response_time_seconds_sum 3191.9 1704111090000
cache_response_time_seconds_count 47000 1704111090000
cache_evictions_total 4892 1704111090000
cache_hit_ratio 0.84 1704111105000
cache_response_time_seconds_bucket{le="0.01"} 20680 1704111105000
cache_response_time_seconds_bucket{le="0.025"} 19360 1704111105000
cache_response_time_seconds_bucket{le="0.05"} 31600 1704111105000
cache_response_time_seconds_bucket{le="0.075"} 32760 1704111105000
cache_response_time_seconds_bucket{le="0.1"} 33240 1704111105000
cache_response_time_seconds_bucket{le="0.15"} 33720 1704111105000
cache_response_time_seconds_bucket{le="0.2"} 34200 1704111105000
cache_response_time_seconds_bucket{le="0.5"} 44300 1704111105000
cache_response_time_seconds_bucket{le="1.0"} 48000 1704111105000
cache_response_time_seconds
