V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,0.89,408.23,1
0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,245.67,0
-0.89,1.67,-0.78,0.89,-1.56,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.56,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,323.78,0
1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-0.89,229.23,0
-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,0.89,356.89,0
0.89,-1.67,0.78,-0.89,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,256.78,0
-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,334.89,0
1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-0.89,240.45,0
-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,0.89,367.45,0
0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,267.89,0
-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,345.67,0
1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-0.89,251.56,0
-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,0.89,378.67,0
0.89,-1.56,0.78,-0.89,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,278.90,0
-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,356.78,0
1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-0.89,262.67,0
-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,0.89,389.89,0
0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,289.12,0
-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.56,-0.78,0.89,367.89,0
1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-0.89,273.78,0
-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,0.89,401.23,0
0.89,-1.67,0.78,-0.89,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,300.34,0
-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,378.90,0
1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-0.89,284.89,0
-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,0.89,412.45,0
0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,311.56,0
-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,390.12,0
1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-0.89,296.01,0
-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,0.89,423.67,0
0.89,-1.67,0.78,-0.89,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,322.78,0
-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,401.34,0
1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-0.89,307.23,0
-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,0.89,434.89,0
