feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,is_fraud
137.89,440.12,3.2,95.6,1.6,462.3,1.04,134.5,58.9,95.6,134.5,46.2,73.4,118.9,0.58,1
52.34,167.89,1.5,45.6,2.7,178.9,0.59,78.9,33.4,51.2,78.9,17.8,39.0,67.8,0.33,0
71.23,278.90,2.3,64.5,2.0,289.0,0.83,101.2,44.5,70.1,101.2,28.9,52.3,87.6,0.44,0
40.90,126.78,1.1,38.9,3.0,137.8,0.48,68.9,27.8,45.6,68.9,13.7,34.5,60.1,0.27,0
82.34,317.89,2.6,72.3,1.8,329.0,0.91,109.8,51.2,78.9,109.8,32.9,58.9,95.6,0.51,0
49.01,206.78,1.8,53.4,2.4,217.8,0.67,84.5,36.7,58.9,84.5,21.7,42.3,73.4,0.36,0
106.78,351.23,2.8,78.9,1.7,373.4,0.96,115.6,55.6,87.6,115.6,37.3,62.3,103.4,0.55,0
34.56,103.45,0.9,31.2,3.3,114.5,0.41,61.2,25.6,39.0,61.2,11.4,29.0,52.3,0.25,0
55.67,228.90,1.9,56.7,2.2,240.1,0.72,89.0,38.9,61.2,89.0,24.0,46.7,78.9,0.38,0
121.23,373.45,2.9,85.6,1.7,395.6,0.98,121.2,57.8,89.0,121.2,39.5,65.4,109.8,0.57,0
46.78,145.67,1.3,42.3,2.9,156.7,0.53,72.3,30.1,48.9,72.3,15.6,36.7,64.5,0.30,0
64.56,256.78,2.1,60.1,2.1,267.8,0.79,95.6,42.3,65.4,95.6,26.7,50.1,82.3,0.42,0
36.78,109.87,0.9,33.4,3.2,120.9,0.43,62.3,26.7,41.2,62.3,12.0,30.1,54.3,0.26,0
73.01,295.67,2.4,67.8,1.9,306.7,0.87,103.4,47.8,71.2,103.4,30.6,54.3,89.0,0.47,0
42.01,167.89,1.6,48.9,2.6,178.9,0.62,81.2,35.6,54.3,81.2,17.8,40.1,70.1,0.35,0
84.56,329.01,2.7,73.4,1.8,351.2,0.92,109.8,52.3,78.9,109.8,35.1,58.9,95.6,0.52,0
44.90,139.01,1.2,40.1,3.0,150.1,0.51,70.1,29.0,46.7,70.1,15.0,35.6,62.3,0.29,0
60.12,251.23,2.0,57.8,2.2,262.3,0.75,92.3,40.1,62.3,92.3,26.2,48.9,81.2,0.40,0
111.23,362.34,2.8,82.3,1.7,384.5,0.96,118.9,56.7,84.5,118.9,38.4,64.5,106.7,0.56,0
33.45,101.23,0.8,30.1,3.4,112.3,0.40,58.9,25.6,37.8,58.9,11.2,28.9,51.2,0.25,0
51.23,223.45,1.8,54.3,2.3,234.5,0.69,87.6,38.9,58.9,87.6,23.4,43.2,76.5,0.38,0
104.56,345.67,2.7,76.5,1.8,367.8,0.93,112.3,54.5,82.3,112.3,36.7,61.2,101.2,0.54,0
49.90,156.78,1.4,44.5,2.8,167.8,0.57,75.6,32.1,50.1,75.6,16.7,37.8,65.4,0.32,0
66.78,273.45,2.2,63.4,2.0,284.5,0.82,98.7,44.5,68.9,98.7,28.4,51.2,84.5,0.44,0
38.90,117.89,1.0,35.6,3.1,128.9,0.46,65.4,27.8,43.2,65.4,12.8,32.1,56.7,0.27,0
77.01,306.78,2.5,70.1,1.9,317.8,0.90,106.7,51.2,74.5,106.7,31.7,56.7,91.2,0.51,0
44.56,173.45,1.7,51.2,2.5,184.5,0.64,82.3,36.7,56.7,82.3,18.4,40.1,71.2,0.36,0
141.23,451.23,3.2,96.7,1.6,473.4,1.05,134.5,60.1,95.6,134.5,47.3,73.4,118.9,0.60,1
53.45,173.45,1.5,46.7,2.7,184.5,0.60,78.9,34.5,51.2,78.9,18.4,39.0,67.8,0.34,0
70.12,284.56,2.3,65.4,2.0,295.6,0.84,101.2,45.6,70.1,101.2,29.5,52.3,87.6,0.45,0
41.90,128.90,1.1,39.0,3.0,139.0,0.49,68.9,28.9,45.6,68.9,13.9,34.5,60.1,0.28,0
81.23,323.45,2.6,73.4,1.8,334.5,0.92,109.8,52.3,78.9,109.8,33.4,58.9,95.6,0.52,0
47.89,212.34,1.8,54.3,2.4,223.4,0.68,84.5,37.8,58.9,84.5,22.3,42.3,73.4,0.37,0
107.89,356.78,2.8,80.1,1.7,378.9,0.97,115.6,56.7,87.6,115.6,37.8,62.3,103.4,0.56,0
35.67,106.78,0.9,32.1,3.3,117.8,0.42,61.2,26.7,39.0,61.2,11.7,29.0,52.3,0.26,0
54.56,234.56,1.9,57.8,2.2,245.6,0.73,89.0,39.0,61.2,89.0,24.5,46.7,78.9,0.39,0
123.45,378.90,2.9,86.7,1.7,401.2,0.99,121.2,58.9,89.0,121.2,40.1,65.4,109.8,0.58,0
47.89,148.90,1.3,43.2,2.9,159.0,0.54,72.3,31.2,48.9,72.3,15.9,36.7,64.5,0.31,0
63.45,262.34,2.1,61.2,2.1,273.4,0.80,95.6,43.2,65.4,95.6,27.3,50.1,82.3,0.43,0
37.89,112.34,0.9,34.5,3.2,123.4,0.44,62.3,27.8,41.2,62.3,12.3,30.1,54.3,0.27,0
