ARG45-GLU78,LYS12-ASP56,SER23-THR67,HIS89-ASP134,ASN34-GLN98,ARG102-ASP145,LYS67-GLU123,SER56-THR90,HIS44-GLU167,ASP78-ARG156,GLN23-ASN187,LYS88-ASP92,SER112-THR145
2.8,3.4,4.9,2.9,5.4,3.2,4.7,3.6,3.1,5.3,4.4,2.8,3.6
3.1,3.2,4.2,3.1,5.0,2.9,5.2,3.3,2.7,5.9,4.8,3.0,3.3
2.9,5.4,4.6,2.8,5.3,3.1,4.9,3.5,3.0,5.4,4.2,2.8,3.7
3.0,3.3,4.3,3.0,4.9,2.8,5.0,3.2,2.8,5.8,4.5,3.1,3.5
2.7,3.1,5.0,2.7,5.1,3.0,4.6,3.4,3.1,5.2,4.6,2.7,3.4
3.1,3.4,4.7,3.0,5.5,3.1,5.3,3.6,2.9,5.7,4.3,3.0,3.6
2.8,5.2,4.4,2.9,5.2,2.9,4.8,3.3,3.0,5.5,4.7,2.9,3.8
3.0,3.2,4.8,3.0,4.8,3.0,5.1,3.5,2.8,5.6,4.4,3.1,3.3
2.9,3.0,4.5,2.8,5.4,3.2,4.7,3.2,3.1,5.3,4.8,2.8,3.7
3.2,5.0,4.9,3.1,5.0,2.9,5.2,3.4,2.9,5.9,4.2,3.0,3.5
2.7,3.4,4.2,2.7,5.3,3.1,4.9,3.6,3.0,5.4,4.5,2.9,3.4
3.0,3.2,4.6,3.0,4.9,2.8,5.0,3.3,2.7,5.8,4.6,3.1,3.8
2.8,3.1,4.3,2.9,5.1,3.0,4.6,3.5,3.2,5.2,4.3,2.8,3.6
3.1,3.3,5.0,3.1,5.5,3.1,5.3,3.2,2.8,5.7,4.7,3.0,3.3
2.9,5.3,4.7,2.8,5.2,2.9,4.8,3.4,3.0,5.5,4.4,2.9,3.7
3.0,3.2,4.4,3.0,4.8,3.0,5.1,3.6,2.9,5.6,4.8,3.1,3.5
2.7,3.4,4.8,2.7,5.4,3.2,4.7,3.3,3.1,5.3,4.2,2.7,3.4
3.1,3.1,4.5,3.0,5.0,2.9,5.2,3.5,2.8,5.9,4.5,3.0,3.6
2.8,5.1,4.9,2.9,5.3,3.1,4.9,3.2,3.0,5.4,4.6,2.8,3.8
3.0,3.3,4.2,3.0,4.9,2.8,5.0,3.4,2.9,5.8,4.3,3.1,3.3
2.9,3.2,4.6,2.8,5.1,3.0,4.6,3.6,3.1,5.2,4.7,2.9,3.7
3.2,3.0,4.3,3.1,5.5,3.1,5.3,3.3,2.7,5.7,4.4,3.0,3.5
2.7,5.4,5.0,2.7,5.2,2.9,4.8,3.5,3.0,5.5,4.8,2.9,3.4
3.0,3.1,4.7,3.0,4.8,3.0,5.1,3.2,2.8,5.6,4.2,3.1,3.8
2.8,3.4,4.4,2.9,5.4,3.2,4.7,3.4,3.1,5.3,4.5,2.8,3.6
3.1,3.2,4.8,3.1,5.0,2.9,5.2,3.6,2.9,5.9,4.6,3.0,3.3
2.9,5.2,4.5,2.8,5.3,3.1,4.9,3.3,3.0,5.4,4.3,2.8,3.7
3.0,3.3,4.9,3.0,4.9,2.8,5.0,3.5,2.8,5.8,4.7,3.1,3.5
2.7,3.1,4.2,2.7,5.1,3.0,4.6,3.2,3.1,5.2,4.4,2.7,3.4
3.1,3.4,4.6,3.0,5.5,3.1,5.3,3.4,2.9,5.7,4.8,3.0,3.6
2.8,5.0,4.3,2.9,5.2,2.9,4.8,3.6,3.0,5.5,4.2,2.9,3.8
3.0,3.2,5.0,3.0,4.8,3.0,5.1,3.3,2.7,5.6,4.5,3.1,3.3
2.9,3.0,4.7,2.8,5.4,3.2,4.7,3.5,3.2,5.3,4.6,2.8,3.7
3.2,5.3,4.4,3.1,5.0,2.9,5.2,3.2,2.8,5.9,4.3,3.0,3.5
2.7,3.1,4.8,2.7,5.3,3.1,4.9,3.4,3.0,5.4,4.7,2.9,3.4
3.0,3.4,4.5,3.0,4.9,2.8,5.0,3.6,2.9,5.8,4.4,3.1,3.8
2.8,3.2,4.9,2.9,5.1,3.0,4.6,3.3,3.1,5.2,4.8,2.8,3.6
3.1,3.3,4.2,3.1,5.5,3.1,5.3,3.5,2.8,5.7,4.2,3.0,3.3
2.9,5.1,4.6,2.8,5.2,2.9,4.8,3.2,3.0,5.5,4.5,2.9,3.7
3.0,3.2,4.3,3.0,4.8,3.0,5.1,3.4,2.9,5.6,4.6,3.1,3.5
2.7,3.4,5.0,2.7,5.4,3.2,4.7,3.6,3.1,5.3,4.3,2.7,3.4
3.1,3.1,4.7,3.0,5.0,2.9,5.2,3.3,2.7,5.9,4.7,3.0,3.6
2.8,5.4,4.4,2.9,5.3,3.1,4.9,3.5,3.0,5.4,4.4,2.8,3.8
3.0,3.3,4.8,3.0,4.9,2.8,5.0,3.2,2.8,5.8,4.8,3.1,3.3
2.9,3.2,4.5,2.8,5.1,3.0,4.6,3.4,3.1,5.2,4.2,2.9,3.7
3.2,3.0,4.9,3.1,5.5,3.1,5.3,3.6,2.9,5.7,4.5,3.0,3.5
2.7,5.2,4.2,2.7,5.2,2.9,4.8,3.3,3.0,5.5,4.6,2.9,3.4
3.0,3.1,4.6,3.0,4.8,3.0,5.1,3.5,2.8,5.6,4.3,3.1,3.8
2.8,3.4,4.3,2.9,5.4,3.2,4.7,3.2,3.1,5.3,4.7,2.8,3.6
