income,credit_score,debt_ratio,employment_years,loan_amount,approved,protected_group
46.9,617,0.58,3,33.9,0,1
80.9,755,0.28,10,60.9,1,0
37.9,576,0.68,1,23.4,0,1
113.8,811,0.18,15,93.9,1,0
65.4,720,0.35,7,50.3,1,0
48.2,621,0.57,3,35.1,0,1
76.0,743,0.30,8,56.2,1,0
40.1,586,0.65,1,25.7,0,1
103.2,794,0.20,13,83.3,1,0
61.3,705,0.37,6,47.6,1,0
46.3,613,0.58,3,33.3,0,1
83.8,759,0.27,10,63.8,1,0
37.2,572,0.69,1,22.5,0,1
119.2,818,0.17,16,104.4,1,0
67.8,728,0.32,8,52.7,1,0
50.1,627,0.56,3,37.0,0,1
79.9,753,0.28,9,59.8,1,0
41.7,593,0.63,2,27.4,0,1
106.2,797,0.20,13,85.8,1,0
62.3,710,0.36,6,48.3,1,0
46.8,616,0.58,3,33.8,0,1
81.8,757,0.28,10,61.9,1,0
37.8,576,0.68,1,23.2,0,1
113.1,810,0.18,15,93.3,1,0
65.2,719,0.35,7,50.1,1,0
48.1,621,0.57,3,35.0,0,1
75.8,742,0.30,8,56.0,1,0
40.0,586,0.64,1,25.6,0,1
102.7,793,0.21,12,82.6,1,0
60.5,703,0.38,6,47.1,1,0
45.1,605,0.59,2,32.1,0,1
83.4,758,0.27,10,63.4,1,0
36.7,569,0.69,1,21.9,0,1
121.3,821,0.16,17,107.0,1,0
67.1,726,0.33,7,51.8,1,0
49.5,625,0.56,3,36.4,0,1
78.6,751,0.29,9,58.5,1,0
41.3,591,0.63,2,26.8,0,1
108.0,799,0.19,14,88.2,1,0
63.1,713,0.36,6,48.7,1,0
47.3,619,0.57,3,34.4,0,1
80.6,755,0.28,9,60.7,1,0
38.2,578,0.67,1,23.9,0,1
115.4,813,0.17,16,98.4,1,0
65.8,721,0.34,7,50.6,1,0
48.5,622,0.57,3,35.4,0,1
75.1,741,0.30,8,55.0,1,0
39.8,584,0.65,1,25.3,0,1
100.3,791,0.21,12,79.8,1,0
60.7,704,0.37,6,47.2,1,0
45.8,610,0.58,3,32.8,0,1
84.4,759,0.27,10,64.4,1,0
37.1,571,0.68,1,22.3,0,1
118.2,817,0.17,16,103.1,1,0
67.4,727,0.33,7,52.2,1,0
49.7,626,0.56,3,36.6,0,1
78.8,751,0.29,9,58.7,1,0
41.0,589,0.64,2,26.3,0,1
105.0,796,0.20,13,85.0,1,0
61.7,707,0.37,6,47.9,1,0
46.5,614,0.58,3,33.5,0,1
81.6,756,0.28,10,61.6,1,0
37.6,574,0.68,1,22.9,0,1
111.9,809,0.18,15,92.0,1,0
64.8,717,0.35,7,49.7,1,0
47.8,620,0.57,3,34.7,0,1
75.3,742,0.30,8,55.4,1,0
39.5,582,0.65,1,25.0,0,1
101.7,792,0.21,12,81.3,1,0
60.0,700,0.38,6,46.7,1,0
44.6,602,0.60,2,31.5,0,1
82.5,757,0.27,10,62.5,1,0
36.2,566,0.70,1,21.2,0,1
119.6,819,0.16,17,104.8,1,0
66.5,724,0.33,7,51.3,1,0
49.0,623,0.56,3,35.9,0,1
78.0,749,0.29,9,57.9,1,0
40.7,587,0.64,2,25.9,0,1
106.3,797,0.19,13,85.8,1,0
62.5,710,0.36,6,48.4,1,0
46.8,616,0.58,3,33.8,0,1
80.8,755,0.28,10,60.8,1,0
37.8,575,0.68,1,23.3,0,1
113.5,810,0.18,15,93.6,1,0
65.3,719,0.35,7,50.2,1,0
48.1,620,0.57,3,35.0,0,1
75.9,742,0.30,8,56.1,1,0
40.0,585,0.65,1,25.6,0,1
102.9,793,0.20,13,82.9,1,0
61.2,704,0.37,6,47.5,1,0
46.2,612,0.58,3,33.2,0,1
83.5,758,0.27,10,63.5,1,0
37.1,570,0.69,1,22.4,0,1
118.9,818,0.17,16,103.9,1,0
67.7,727,0.32,8,52.6,1,0
50.0,627,0.56,3,36.9,0,1
79.8,752,0.28,9,59.7,1,0
41.6,592,0.63,2,27.3,0,1
105.9,796,0.20,13,85.5,1,0
62.2,709,0.36,6,48.2,1,0
46.7,615,0.58,3,33.7,0,1
81.5,756,0.28,10,61.5,1,0
37.7,575,0.68,1,23.1,0,1
112.8,809,0.18,15,92.7,1,0
65.1,718,0.35,7,50.0,1,0
48.0,620,0.57,3,34.9,0,1
75.7,742,0.30,8,55.9,1,0
39.9,584,0.64,1,25.5,0,1
102.4,792,0.21,12,82.3,1,0
60.4,702,0.38,6,47.0,1,0
45.0,604,0.59,2,32.0,0,1
83.1,757,0.27,10,63.1,1,0
36.6,568,0.69,1,21.8,0,1
121.0,820,0.16,17,106.6,1,0
67.0,725,0.33,7,51.7,1,0
49.4,624,0.56,3,36.3,0,1
78.5,750,0.29,9,58.4,1,0
41.2,590,0.63,2,26.7,0,1
107.7,798,0.19,14,88.0,1,0
63.0,712,0.36,6,48.6,1,0
47.2,618,0.57,3,34.3,0,1
80.5,754,0.28,9,60.6,1,0
