gene_id,sample_id,expression_level,tissue_type,patient_group
GENE_1,SAMPLE_27,8.01,colon,advanced_stage
GENE_2,SAMPLE_27,7.67,colon,advanced_stage
GENE_3,SAMPLE_27,8.34,colon,advanced_stage
GENE_4,SAMPLE_27,7.89,colon,advanced_stage
GENE_5,SAMPLE_27,8.23,colon,advanced_stage
GENE_6,SAMPLE_27,7.56,colon,advanced_stage
GENE_7,SAMPLE_27,8.12,colon,advanced_stage
GENE_8,SAMPLE_27,7.78,colon,advanced_stage
GENE_9,SAMPLE_27,8.45,colon,advanced_stage
GENE_10,SAMPLE_27,7.91,colon,advanced_stage
GENE_11,SAMPLE_27,8.23,colon,advanced_stage
GENE_12,SAMPLE_27,7.67,colon,advanced_stage
GENE_13,SAMPLE_27,8.01,colon,advanced_stage
GENE_14,SAMPLE_27,7.89,colon,advanced_stage
GENE_15,SAMPLE_27,8.34,colon,advanced_stage
GENE_16,SAMPLE_27,7.56,colon,advanced_stage
GENE_17,SAMPLE_27,8.12,colon,advanced_stage
GENE_18,SAMPLE_27,7.78,colon,advanced_stage
GENE_19,SAMPLE_27,8.45,colon,advanced_stage
GENE_20,SAMPLE_27,7.91,colon,advanced_stage
GENE_1,SAMPLE_28,5.67,prostate,control
GENE_2,SAMPLE_28,5.34,prostate,control
GENE_3,SAMPLE_28,5.89,prostate,control
GENE_4,SAMPLE_28,5.45,prostate,control
GENE_5,SAMPLE_28,5.12,prostate,control
GENE_6,SAMPLE_28,5.78,prostate,control
GENE_7,SAMPLE_28,5.23,prostate,control
GENE_8,SAMPLE_28,5.56,prostate,control
GENE_9,SAMPLE_28,5.91,prostate,control
GENE_10,SAMPLE_28,5.67,prostate,control
GENE_11,SAMPLE_28,5.34,prostate,control
GENE_12,SAMPLE_28,5.89,prostate,control
GENE_13,SAMPLE_28,5.45,prostate,control
GENE_14,SAMPLE_28,5.12,prostate,control
GENE_15,SAMPLE_28,5.78,prostate,control
GENE_16,SAMPLE_28,5.23,prostate,control
GENE_17,SAMPLE_28,5.56,prostate,control
GENE_18,SAMPLE_28,5.91,prostate,control
GENE_19,SAMPLE_28,5.67,prostate,control
GENE_20,SAMPLE_28,5.34,prostate,control
GENE_1,SAMPLE_29,6.56,breast,early_stage
GENE_2,SAMPLE_29,6.89,breast,early_stage
GENE_3,SAMPLE_29,6.23,breast,early_stage
GENE_4,SAMPLE_29,6.45,breast,early_stage
GENE_5,SAMPLE_29,6.78,breast,early_stage
GENE_6,SAMPLE_29,6.12,breast,early_stage
GENE_7,SAMPLE_29,6.34,breast,early_stage
GENE_8,SAMPLE_29,6.67,breast,early_stage
GENE_9,SAMPLE_29,6.91,breast,early_stage
GENE_10,SAMPLE_29,6.23,breast,early_stage
GENE_11,SAMPLE_29,6.56,breast,early_stage
GENE_12,SAMPLE_29,6.89,breast,early_stage
GENE_13,SAMPLE_29,6.34,breast,early_stage
GENE_14,SAMPLE_29,6.67,breast,early_stage
GENE_15,SAMPLE_29,6.12,breast,early_stage
GENE_16,SAMPLE_29,6.45,breast,early_stage
GENE_17,SAMPLE_29,6.78,breast,early_stage
GENE_18,SAMPLE_29,6.23,breast,early_stage
GENE_19,SAMPLE_29,6.56,breast,early_stage
GENE_20,SAMPLE_29,6.89,breast,early_stage
GENE_1,SAMPLE_30,7.91,lung,advanced_stage
GENE_2,SAMPLE_30,8.23,lung,advanced_stage
GENE_3,SAMPLE_30,7.56,lung,advanced_stage
GENE_4,SAMPLE_30,8.12,lung,advanced_stage
GENE_5,SAMPLE_30,7.78,lung,advanced_stage
GENE_6,SAMPLE_30,8.45,lung,advanced_stage
GENE_7,SAMPLE_30,7.67,lung,advanced_stage
GENE_8,SAMPLE_30,8.01,lung,advanced_stage
GENE_9,SAMPLE_30,7.89,lung,advanced_stage
GENE_10,SAMPLE_30,8.34,lung,advanced_stage
GENE_11,SAMPLE_30,7.91,lung,advanced_stage
GENE_12,SAMPLE_30,8.23,lung,advanced_stage
GENE_13,SAMPLE_30,7.56,lung,advanced_stage
GENE_14,SAMPLE_30,8.12,lung,advanced_stage
GENE_15,SAMPLE_30,7.78,lung,advanced_stage
GENE_16,SAMPLE_30,8.45,lung,advanced_stage
GENE_17,SAMPLE_30,7.67,lung,advanced_stage
GENE_18,SAMPLE_30,8.01,lung,advanced_stage
GENE_19,SAMPLE_30,7.89,lung,advanced_stage
GENE_20,SAMPLE_30,8.23,lung,advanced_stage
GENE_1,SAMPLE_31,5.34,colon,control
GENE_2,SAMPLE_31,5.67,colon,control
GENE_3,SAMPLE_31,5.12,colon,control
GENE_4,SAMPLE_31,5.89,colon,control
GENE_5,SAMPLE_31,5.45,colon,control
GENE_6,SAMPLE_31,5.78,colon,control
GENE_7,SAMPLE_31,5.23,colon,control
GENE_8,SAMPLE_31,5.56,colon,control
GENE_9,SAMPLE_31,5.91,colon,control
GENE_10,SAMPLE_31,5.34,colon,control
GENE_11,SAMPLE_31,5.67,colon,control
GENE_12,SAMPLE_31,5.12,colon,control
GENE_13,SAMPLE_31,5.89,colon,control
GENE_14,SAMPLE_31,5.45,colon,control
GENE_15,SAMPLE_31,5.78,colon,control
GENE_16,SAMPLE_31,5.23,colon,control
GENE_17,SAMPLE_31,5.56,colon,control
GENE_18,SAMPLE_31,5.91,colon,control
GENE_19,SAMPLE_31,5.34,colon,control
GENE_20,SAMPLE_31,5.67,colon,control
GENE_1,SAMPLE_32,6.45,prostate,early_stage
GENE_2,SAMPLE_32,6.78,prostate,early_stage
GENE_3,SAMPLE_32,6.12,prostate,early_stage
GENE_4,SAMPLE_32,6.34,prostate,early_stage
GENE_5,SAMPLE_32,6.67,prostate,early_stage
GENE_6,SAMPLE_32,6.23,prostate,early_stage
GENE_7,SAMPLE_32,6.56,prostate,early_stage
GENE_8,SAMPLE_32,6.89,prostate,early_stage
GENE_9,SAMPLE_32,6.45,prostate,early_stage
GENE_10,SAMPLE_32,6.12,prostate,early_stage
GENE_11,SAMPLE_32,6.78,prostate,early_stage
GENE_12,SAMPLE_32,6.34,prostate,early_stage
GENE_13,SAMPLE_32,6.67,prostate,early_stage
GENE_14,SAMPLE_32,6.91,prostate,early_stage
GENE_15,SAMPLE_32,6.23,prostate,early_stage
GENE_16,SAMPLE_32,6.56,prostate,early_stage
GENE_17,SAMPLE_32,6.89,prostate,early_stage
GENE_18,SAMPLE_32,6.45,prostate,early_stage
GENE_19,SAMPLE_32,6.12,prostate,early_stage
GENE_20,SAMPLE_32,6.78,prostate,early_stage
GENE_1,SAMPLE_33,8.12,breast,advanced_stage
GENE_2,SAMPLE_33,7.78,breast,advanced_stage
GENE_3,SAMPLE_33,8.34,breast,advanced_stage
GENE_4,SAMPLE_33,7.89,breast,advanced_stage
GENE_5,SAMPLE_33,8.23,breast,advanced_stage
GENE_6,SAMPLE_33,7.67,breast,advanced_stage
GENE_7,SAMPLE_33,8.01,breast,advanced_stage
GENE_8,SAMPLE_33,7.91,breast,advanced_stage
GENE_9,SAMPLE_33,8.45,breast,advanced_stage
GENE_10,SAMPLE_33,7.56,breast,advanced_stage
GENE_11,SAMPLE_33,8.12,breast,advanced_stage
GENE_12,SAMPLE_33,7.78,breast,advanced_stage
GENE_13,SAMPLE_33,8.34,breast,advanced_stage
GENE_14,SAMPLE_33,7.89,breast,advanced_stage
GENE_15,SAMPLE_33,8.23,breast,advanced_stage
GENE_16,SAMPLE_33,7.67,breast,advanced_stage
GENE_17,SAMPLE_33,8.01,breast,advanced_stage
GENE_18,SAMPLE_33,7.91,breast,advanced_stage
GENE_19,SAMPLE_33,8.45,breast,advanced_stage
GENE_20,SAMPLE_33,7.78,breast,advanced_stage
GENE_1,SAMPLE_34,5.56,lung,control
GENE_2,SAMPLE_34,5.89,lung,control
GENE_3,SAMPLE_34,5.23,lung,control
GENE_4,SAMPLE_34,5.67,lung,control
GENE_5,SAMPLE_34,5.12,lung,control
GENE_6,SAMPLE_34,5.78,lung,control
GENE_7,SAMPLE_34,5.45,lung,control
GENE_8,SAMPLE_34,5.34,lung,control
GENE_9,SAMPLE_34,5.91,lung,control
GENE_10,SAMPLE_34,5.56,lung,control
GENE_11,SAMPLE_34,5.23,lung,control
GENE_12,SAMPLE_34,5.89,lung,control
GENE_13,SAMPLE_34,5.67,lung,control
GENE_14,SAMPLE_34,5.12,lung,control
GENE_15,SAMPLE_34,5.78,lung,control
GENE_16,SAMPLE_34,5.45,lung,control
GENE_17,SAMPLE_34,5.34,lung,control
GENE_18,SAMPLE_34,5.91,lung,control
GENE_19,SAMPLE_34,5.56,lung,control
GENE_20,SAMPLE_34,5.89,lung,control
GENE_1,SAMPLE_35,6.67,colon,early_stage
GENE_2,SAMPLE_35,6.34,colon,early_stage
GENE_3,SAMPLE_35,6.89,colon,early_stage
GENE_4,SAMPLE_35,6.12,colon,early_stage
GENE_5,SAMPLE_35,6.45,colon,early_stage
GENE_6,SAMPLE_35,6.78,colon,early_stage
GENE_7,SAMPLE_35,6.23,colon,early_stage
GENE_8,SAMPLE_35,6.56,colon,early_stage
GENE_9,SAMPLE_35,6.91,colon,early_stage
GENE_10,SAMPLE_35,6.67,colon,early_stage
GENE_11,SAMPLE_35,6.34,colon,early_stage
GENE_12,SAMPLE_35,6.89,colon,early_stage
GENE_13,SAMPLE_35,6.12,colon,early_stage
GENE_14,SAMPLE_35,6.45,colon,early_stage
GENE_15,SAMPLE_35,6.78,colon,early_stage
GENE_16,SAMPLE_35,6.23,colon,early_stage
GENE_17,SAMPLE_35,6.56,colon,early_stage
GENE_18,SAMPLE_35,6.91,colon,early_stage
GENE_19,SAMPLE_35,6.67,colon,early_stage
GENE_20,SAMPLE_35,6.34,colon,early_stage
GENE_1,SAMPLE_36,7.89,prostate,advanced_stage
GENE_2,SAMPLE_36,8.23,prostate,advanced_stage
GENE_3,SAMPLE_36,7.56,prostate,advanced_stage
GENE_4,SAMPLE_36,8.12,prostate,advanced_stage
GENE_5,SAMPLE_36,7.78,prostate,advanced_stage
GENE_6,SAMPLE_36,8.45,prostate,advanced_stage
GENE_7,SAMPLE_36,7.67,prostate,advanced_stage
GENE_8,SAMPLE_36,8.01,prostate,advanced_stage
GENE_9,SAMPLE_36,7.91,prostate,advanced_stage
GENE_10,SAMPLE_36,8.34,prostate,advanced_stage
GENE_11,SAMPLE_36,7.89,prostate,advanced_stage
GENE_12,SAMPLE_36,8.23,prostate,advanced_stage
GENE_13,SAMPLE_36,7.56,prostate,advanced_stage
GENE_14,SAMPLE_36,8.12,prostate,advanced_stage
GENE_15,SAMPLE_36,7.78,prostate,advanced_stage
GENE_16,SAMPLE_36,8.45,prostate,advanced_stage
GENE_17,SAMPLE_36,7.67,prostate,advanced_stage
GENE_18,SAMPLE_36,8.01,prostate,advanced_stage
GENE_19,SAMPLE_36,7.91,prostate,advanced_stage
GENE_20,SAMPLE_36,8.34,prostate,advanced_stage
GENE_1,SAMPLE_37,5.45,breast,control
GENE_2,SAMPLE_37,5.78,breast,control
GENE_3,SAMPLE_37,5.12,breast,control
GENE_4,SAMPLE_37,5.67,breast,control
GENE_5,SAMPLE_37,5.34,breast,control
GENE_6,SAMPLE_37,5.89,breast,control
GENE_7,SAMPLE_37,5.23,breast,control
GENE_8,SAMPLE_37,5.56,breast,control
GENE_9,SAMPLE_37,5.91,breast,control
GENE_10,SAMPLE_37,5.45,breast,control
GENE_11,SAMPLE_37,5.78,breast,control
GENE_12,SAMPLE_37,5.12,breast,control
GENE_13,SAMPLE_37,5.67,breast,control
GENE_14,SAMPLE_37,5.34,breast,control
GENE_15,SAMPLE_37,5.89,breast,control
GENE_16,SAMPLE_37,5.23,breast,control
GENE_17,SAMPLE_37,5.56,breast,control
GENE_18,SAMPLE_37,5.91,breast,control
GENE_19,SAMPLE_37,5.45,breast,control
GENE_20,SAMPLE_37,5.78,breast,control
GENE_1,SAMPLE_38,6.34,lung,early_stage
GENE_2,SAMPLE_38,6.67,lung,early_stage
GENE_3,SAMPLE_38,6.12,lung,early_stage
GENE_4,SAMPLE_38,6.45,lung,early_stage
GENE_5,SAMPLE_38,6.78,lung,early_stage
GENE_6,SAMPLE_38,6.23,lung,early_stage
GENE_7,SAMPLE_38,6.56,lung,early_stage
GENE_8,SAMPLE_38,6.89,lung,early_stage
GENE_9,SAMPLE_38,6.34,lung,early_stage
GENE_10,SAMPLE_38,6.67,lung,early_stage
GENE_11,SAMPLE_38,6.12,lung,early_stage
GENE_12,SAMPLE_38,6.45,lung,early_stage
GENE_13,SAMPLE_38,6.78,lung,early_stage
GENE_14,SAMPLE_38,6.23,lung,early_stage
GENE_15,SAMPLE_38,6.56,lung,early_stage
GENE_16,SAMPLE_38,6.89,lung,early_stage
GENE_17,SAMPLE_38,6.34,lung,early_stage
GENE_18,SAMPLE_38,6.67,lung,early_stage
GENE_19,SAMPLE_38,6.12,lung,early_stage
GENE_20,SAMPLE_38,6.45,lung,early_stage
GENE_1,SAMPLE_39,8.01,colon,advanced_stage
GENE_2,SAMPLE_39,7.67,colon,advanced_stage
GENE_3,SAMPLE_39,8.34,colon,advanced_stage
GENE_4,SAMPLE_39,7.89,colon,advanced_stage
GENE_5,SAMPLE_39,8.23,colon,advanced_stage
GENE_6,SAMPLE_39,7.56,colon,advanced_stage
GENE_7,SAMPLE_39,8.12,colon,advanced_stage
GENE_8,SAMPLE_39,7.78,colon,advanced_stage
GENE_9,SAMPLE_39,8.45,colon,advanced_stage
GENE_10,SAMPLE_39,7.91,colon,advanced_stage
GENE_11,SAMPLE_39,8.23,colon,advanced_stage
GENE_12,SAMPLE_39,7.67,colon,advanced_stage
GENE_13,SAMPLE_39,8.01,colon,advanced_stage
GENE_14,SAMPLE_39,7.89,colon,advanced_stage
GENE_15,SAMPLE_39,8.34,colon,advanced_stage
GENE_16,SAMPLE_39,7.56,colon,advanced_stage
GENE_17,SAMPLE_39,8.12,colon,advanced_stage
GENE_18,SAMPLE_39,7.78,colon,advanced_stage
GENE_19,SAMPLE_39,8.45,colon,advanced_stage
GENE_20,SAMPLE_39,7.91,colon,advanced_stage
GENE_1,SAMPLE_40,5.67,prostate,control
GENE_2,SAMPLE_40,5.34,prostate,control
GENE_3,SAMPLE_40,5.89,prostate,control
GENE_4,SAMPLE_40,5.45,prostate,control
GENE_5,SAMPLE_40,5.12,prostate,control
GENE_6,SAMPLE_40,5.78,prostate,control
GENE_7,SAMPLE_40,5.23,prostate,control
GENE_8,SAMPLE_40,5.56,prostate,control
GENE_9,SAMPLE_40,5.91,prostate,control
GENE_10,SAMPLE_40,5.67,prostate,control
GENE_11,SAMPLE_40,5.34,prostate,control
GENE_12,SAMPLE_40,5.89,prostate,control
GENE_13,SAMPLE_40,5.45,prostate,control
GENE_14,SAMPLE_40,5.12,prostate,control
GENE_15,SAMPLE_40,5.78,prostate,control
GENE_16,SAMPLE_40,5.23,prostate,control
GENE_17,SAMPLE_40,5.56,prostate,control
GENE_18,SAMPLE_40,5.91,prostate,control
GENE_19,SAMPLE_40,5.67,prostate,control
GENE_20,SAMPLE_40,5.34,prostate,control
GENE_1,SAMPLE_41,6.56,breast,early_stage
GENE_2,SAMPLE_41,6.89,breast,early_stage
GENE_3,SAMPLE_41,6.23,breast,early_stage
GENE_4,SAMPLE_41,6.45,breast,early_stage
GENE_5,SAMPLE_41,6.78,breast,early_stage
GENE_6,SAMPLE_41,6.12,breast,early_stage
GENE_7,SAMPLE_41,6.34,breast,early_stage
GENE_8,SAMPLE_41,6.67,breast,early_stage
GENE_9,SAMPLE_41,6.91,breast,early_stage
GENE_10,SAMPLE_41,6.23,breast,early_stage
GENE_11,SAMPLE_41,6.56,breast,early_stage
GENE_12,SAMPLE_41,6.89,breast,early_stage
GENE_13,SAMPLE_41,6.34,breast,early_stage
GENE_14,SAMPLE_41,6.67,breast,early_stage
GENE_15,SAMPLE_41,6.12,breast,early_stage
GENE_16,SAMPLE_41,6.45,breast,early_stage
GENE_17,SAMPLE_41,6.78,breast,early_stage
GENE_18,SAMPLE_41,6.23,breast,early_stage
GENE_19,SAMPLE_41,6.56,breast,early_stage
GENE_20,SAMPLE_41,6.89,breast,early_stage
GENE_1,SAMPLE_42,7.91,lung,advanced_stage
GENE_2,SAMPLE_42,8.23,lung,advanced_stage
GENE_3,SAMPLE_42,7.56,lung,advanced_stage
GENE_4,SAMPLE_42,8.12,lung,advanced_stage
GENE_5,SAMPLE_42,7.78,lung,advanced_stage
GENE_6,SAMPLE_42,8.45,lung,advanced_stage
