tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,churn
34,72.40,2461.60,One year,Bank transfer,DSL,0
8,45.40,363.20,Month-to-month,Electronic check,No,1
53,88.30,4679.90,Two year,Credit card,Fiber optic,0
16,60.80,972.80,Month-to-month,Mailed check,DSL,1
39,76.70,2991.30,One year,Bank transfer,Fiber optic,0
10,48.20,482.00,Month-to-month,Electronic check,DSL,1
59,94.10,5552.90,Two year,Credit card,Fiber optic,0
24,66.60,1598.40,Month-to-month,Mailed check,Fiber optic,1
35,73.90,2586.50,One year,Bank transfer,DSL,0
5,40.10,200.50,Month-to-month,Electronic check,No,1
54,89.70,4843.80,Two year,Credit card,Fiber optic,0
17,61.00,1037.00,Month-to-month,Mailed check,DSL,1
42,79.70,3347.40,One year,Bank transfer,Fiber optic,0
9,47.10,423.90,Month-to-month,Electronic check,DSL,1
57,92.00,5244.00,Two year,Credit card,Fiber optic,0
22,65.80,1447.60,Month-to-month,Mailed check,Fiber optic,1
36,74.60,2685.60,One year,Bank transfer,DSL,0
6,42.80,256.80,Month-to-month,Electronic check,No,1
61,95.80,5843.80,Two year,Credit card,Fiber optic,0
14,58.10,813.40,Month-to-month,Mailed check,DSL,1
47,83.60,3929.20,Two year,Bank transfer,Fiber optic,0
20,63.90,1278.00,Month-to-month,Electronic check,Fiber optic,1
29,69.60,2018.40,One year,Credit card,DSL,0
7,43.60,305.20,Month-to-month,Mailed check,No,1
64,98.90,6329.60,Two year,Bank transfer,Fiber optic,0
11,53.70,590.70,Month-to-month,Electronic check,DSL,1
40,78.10,3124.00,One year,Credit card,Fiber optic,0
18,62.90,1132.20,Month-to-month,Mailed check,Fiber optic,1
49,85.50,4189.50,Two year,Bank Transfer,Fiber optic,0
25,67.20,1680.00,Month-to-month,Electronic check,Fiber optic,1
37,75.10,2778.70,One year,Credit card,DSL,0
4,39.70,158.80,Month-to-month,Mailed check,No,1
52,88.10,4581.20,Two year,Bank transfer,Fiber optic,0
15,59.90,898.50,Month-to-month,Electronic check,DSL,1
43,80.50,3461.50,Two year,Credit card,Fiber optic,0
23,66.10,1520.30,Month-to-month,Mailed check,Fiber optic,1
32,71.20,2278.40,One year,Bank transfer,DSL,0
5,41.00,205.00,Month-to-month,Electronic check,No,1
56,91.10,5101.60,Two year,Credit card,Fiber optic,0
12,55.70,668.40,Month-to-month,Mailed check,DSL,1
41,78.90,3234.90,One year,Bank transfer,Fiber optic,0
19,63.70,1210.30,Month-to-month,Electronic check,Fiber optic,1
48,85.20,4089.60,Two year,Credit card,Fiber optic,0
26,68.20,1773.20,Month-to-month,Mailed check,Fiber optic,1
33,72.10,2379.30,One year,Bank transfer,DSL,0
6,41.30,247.80,Month-to-month,Electronic check,No,1
59,94.30,5564.70,Two year,Credit card,Fiber optic,0
13,57.80,751.40,Month-to-month,Mailed check,DSL,1
45,82.20,3699.00,Two year,Bank transfer,Fiber optic,0
21,64.30,1350.30,Month-to-month,Electronic check,Fiber optic,1
34,72.90,2478.60,One year,Credit card,DSL,0
8,44.90,359.20,Month-to-month,Mailed check,No,1
54,89.40,4827.60,Two year,Bank transfer,Fiber optic,0
16,60.20,963.20,Month-to-month,Electronic check,DSL,1
39,76.90,2999.10,One year,Credit card,Fiber optic,0
10,47.30,473.00,Month-to-month,Mailed check,DSL,1
57,91.90,5238.30,Two year,Bank transfer,Fiber optic,0
24,66.70,1600.80,Month-to-month,Electronic check,Fiber optic,1
35,74.00,2590.00,One year,Credit card,DSL,0
7,42.90,300.30,Month-to-month,Mailed check,No,1
50,86.50,4325.00,Two year,Bank transfer,Fiber optic,0
17,62.00,1054.00,Month-to-month,Electronic check,DSL,1
42,79.80,3351.60,One year,Credit card,Fiber optic,0
9,47.20,424.80,Month-to-month,Mailed check,DSL,1
60,94.90,5694.00,Two year,Bank transfer,Fiber optic,0
22,65.90,1449.80,Month-to-month,Electronic check,Fiber optic,1
36,74.80,2692.80,One year,Credit card,DSL,0
5,40.80,204.00,Month-to-month,Mailed check,No,1
63,97.90,6167.70,Two year,Bank transfer,Fiber optic,0
14,59.00,826.00,Month-to-month,Electronic check,DSL,1
46,83.00,3818.00,Two year,Credit card,Fiber optic,0
20,64.20,1284.00,Month-to-month,Mailed check,Fiber optic,1
31,70.30,2179.30,One year,Bank transfer,DSL,0
6,42.30,253.80,Month-to-month,Electronic check,No,1
55,89.90,4944.50,Two year,Credit card,Fiber optic,0
18,62.80,1130.40,Month-to-month,Mailed check,DSL,1
40,77.40,3096.00,One year,Bank transfer,Fiber optic,0
11,53.10,584.10,Month-to-month,Electronic check,DSL,1
58,92.90,5388.20,Two year,Credit card,Fiber optic,0
23,66.00,1518.00,Month-to-month,Mailed check,Fiber optic,1
37,74.90,2771.30,One year,Bank transfer,DSL,0
4,39.80,159.20,Month-to-month,Electronic check,No,1
62,96.90,6007.80,Two year,Credit card,Fiber optic,0
12,55.00,660.00,Month-to-month,Mailed check,DSL,1
44,81.00,3564.00,Two year,Bank transfer,Fiber optic,0
25,67.00,1675.00,Month-to-month,Electronic check,Fiber optic,1
32,71.30,2281.60,One year,Credit card,DSL,0
7,43.70,305.90,Month-to-month,Mailed check,No,1
51,87.00,4437.00,Two year,Bank transfer,Fiber optic,0
15,59.40,891.00,Month-to-month,Electronic check,DSL,1
43,80.60,3465.80,One year,Credit card,Fiber optic,0
19,63.80,1212.20,Month-to-month,Mailed check,Fiber optic,1
48,85.30,4094.40,Two year,Bank transfer,Fiber optic,0
27,68.70,1854.90,Month-to-month,Electronic check,Fiber optic,1
33,72.20,2382.60,One year,Credit card,DSL,0
8,44.20,353.60,Month-to-month,Mailed check,No,1
56,90.60,5073.60,Two year,Bank transfer,Fiber optic,0
13,57.30,744.90,Month-to-month,Electronic check,DSL,1
45,81.70,3676.50,Two year,Credit card,Fiber optic,0
21,64.80,1360.80,Month-to-month,Mailed check,Fiber optic,1
34,72.50,2465.00,One year,Bank transfer,DSL,0
6,41.50,249.00,Month-to-month,Electronic check,No,1
53,88.60,4695.80,Two year,Credit card,Fiber optic,0
16,60.90,974.40,Month-to-month,Mailed check,DSL,1
39,77.00,3003.00,One year,Bank transfer,Fiber optic,0
10,48.40,484.00,Month-to-month,Electronic check,DSL,1
59,94.20,5558.80,Two year,Credit card,Fiber optic,0
24,66.80,1603.20,Month-to-month,Mailed check,Fiber optic,1
35,74.10,2593.50,One year,Bank transfer,DSL,0
5,40.00,200.00,Month-to-month,Electronic check,No,1
54,89.80,4849.20,Two year,Credit card,Fiber optic,0
17,61.10,1038.70,Month-to-month,Mailed check,DSL,1
42,79.90,3355.80,One year,Bank transfer,Fiber optic,0
9,47.30,425.70,Month-to-month,Electronic check,DSL,1
57,92.20,5255.40,Two year,Credit card,Fiber optic,0
22,66.00,1452.00,Month-to-month,Mailed check,Fiber optic,1
36,74.90,2696.40,One year,Bank transfer,DSL,0
7,42.60,298.20,Month-to-month,Electronic check,No,1
61,96.00,5856.00,Two year,Credit card,Fiber optic,0
14,58.30,816.20,Month-to-month,Mailed check,DSL,1
47,83.70,3933.90,Two year,Bank transfer,Fiber optic,0
20,64.30,1286.00,Month-to-month,Electronic check,Fiber optic,1
29,69.70,2021.30,One year,Credit card,DSL,0
8,43.90,351.20,Month-to-month,Mailed check,No,1
64,99.10,6342.40,Two year,Bank transfer,Fiber optic,0
11,53.90,592.90,Month-to-month,Electronic check,DSL,1
40,78.20,3128.00,One year,Credit card,Fiber optic,0
18,63.00,1134.00,Month-to-month,Mailed check,Fiber optic,1
49,85.70,4199.30,Two year,Bank transfer,Fiber optic,0
25,67.40,1685.00,Month-to-month,Electronic check,Fiber optic,1
37,75.30,2786.10,One year,Credit card,DSL,0
4,39.90,159.60,Month-to-month,Mailed check,No,1
52,88.30,4591.60,Two year,Bank transfer,Fiber optic,0
15,60.10,901.50,Month-to-month,Electronic check,DSL,1
43,80.70,3470.10,Two year,Credit card,Fiber optic,0
23,66.30,1524.90,Month-to-month,Mailed check,Fiber optic,1
32,71.50,2288.00,One year,Bank transfer,DSL,0
5,41.10,205.50,Month-to-month,Electronic check,No,1
56,91.30,5112.80,Two year,Credit card,Fiber optic,0
12,55.90,670.80,Month-to-month,Mailed check,DSL,1
41,79.10,3243.10,One year,Bank transfer,Fiber optic,0
19,63.90,1214.10,Month-to-month,Electronic check,Fiber optic,1
48,85.40,4099.20,Two year,Credit card,Fiber optic,0
26,68.40,1778.40,Month-to-month,Mailed check,Fiber optic,1
33,72.30,2385.90,One year,Bank transfer,DSL,0
6,41.60,249.60,Month-to-month,Electronic check,No,1
59,94.50,5575.50,Two year,Credit card,Fiber optic,0
13,57.90,752.70,Month-to-month,Mailed check,DSL,1
45,82.30,3703.50,Two year,Bank transfer,Fiber optic,0
21,64.40,1352.40,Month-to-month,Electronic check,Fiber optic,1
34,73.00,2482.00,One year,Credit card,DSL,0
8,45.00,360.00,Month-to-month,Mailed check,No,1
54,89.60,4838.40,Two year,Bank transfer,Fiber optic,0
16,60.30,964.80,Month-to-month,Electronic check,DSL,1
39,77.10,3006.90,One year,Credit card,Fiber optic,0
10,47.60,476.00,Month-to-month,Mailed check,DSL,1
57,92.10,5249.70,Two year,Bank transfer,Fiber optic,0
24,66.90,1605.60,Month-to-month,Electronic check,Fiber optic,1
35,74.20,2597.00,One year,Credit card,DSL,0
7,42.70,298.90,Month-to-month,Mailed check,No,1
50,86.70,4335.00,Two year,Bank transfer,Fiber optic,0
17,62.10,1055.70,Month-to-month,Electronic check,DSL,1
42,80.00,3360.00,One year,Credit card,Fiber optic,0
9,47.40,426.60,Month-to-month,Mailed check,DSL,1
60,95.10,5706.00,Two year,Bank transfer,Fiber optic,0
22,66.10,1454.20,Month-to-month,Electronic check,Fiber optic,1
36,75.00,2700.00,One year,Credit card,DSL,0
5,40.90,204.50,Month-to-month,Mailed check,No,1
63,98.10,6180.30,Two year,Bank transfer,Fiber optic,0
14,59.10,827.40,Month-to-month,Electronic check,DSL,1
46,83.20,3827.20,Two year,Credit card,Fiber optic,0
20,64.40,1288.00,Month-to-month,Mailed check,Fiber optic,1
31,70.50,2185.50,One year,Bank transfer,DSL,0
6,42.40,254.40,Month-to-month,Electronic check,No,1
55,90.10,4955.50,Two year,Credit card,Fiber optic,0
18,62.90,1132.20,Month-to-month,Mailed check,DSL,1
40,77.60,3104.00,One year,Bank transfer,Fiber optic,0
11,53.30,586.30,Month-to-month,Electronic check,DSL,1
58,93.10,5399.80,Two year,Credit card,Fiber optic,0
23,66.20,1522.60,Month-to-month,Mailed check,Fiber optic,1
37,75.10,2778.70,One year,Bank transfer,DSL,0
4,40.00,160.00,Month-to-month,Electronic check,No,1
62,97.10,6020.20,Two year,Credit card,Fiber optic,0
12,55.20,662.40,Month-to-month,Mailed check,DSL,1
44,81.20,3572.80,Two year,Bank transfer,Fiber optic,0
25,67.30,1682.50,Month-to-month,Electronic check,Fiber optic,1
32,71.60,2291.20,One year,Credit card,DSL,0
7,43.80,306.60,Month-to-month,Mailed check,No,1
51,87.20,4447.20,Two year,Bank transfer,Fiber optic,0
