CustomerServiceCalls,tenure,MonthlyCharges,TotalCharges,ContractLength,TechSupport,OnlineSecurity,InternetService,MultipleLines,PaymentMethod,age,SeniorCitizen,Partner,Dependents,PhoneService,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,AutoPay,AccountBalance,DataUsageGB,NumProducts,gender,Churn
0,44,55.8,2455.2,24,1,1,1,0,3,60,1,1,1,1,1,0,0,1,0,1,2580.0,17.9,4,0,0
6,3,97.9,293.7,1,0,0,2,2,0,30,0,0,0,1,0,0,1,0,1,0,95.0,72.4,1,0,1
2,14,69.1,967.4,12,1,1,1,1,1,42,0,0,0,1,0,1,1,1,1,0,645.0,30.6,3,1,0
5,7,85.9,601.3,1,0,0,2,1,0,36,0,0,0,1,0,1,0,1,1,0,235.0,54.8,2,1,1
1,24,64.9,1557.6,12,1,1,1,0,2,47,0,1,0,1,1,0,1,0,0,1,1175.0,24.1,3,1,0
0,52,50.9,2646.8,24,1,1,1,1,3,66,1,1,1,1,1,1,0,1,0,1,2900.0,14.5,4,1,0
4,8,83.3,666.4,1,0,1,2,0,1,37,0,0,0,1,0,0,1,1,1,0,285.0,50.1,2,1,1
3,10,78.8,788.0,1,0,0,2,1,1,39,0,0,1,1,0,1,1,0,1,0,345.0,47.9,2,1,0
1,28,61.1,1710.8,12,1,1,1,1,2,49,0,1,0,1,0,1,0,1,0,1,1425.0,23.8,3,1,0
6,2,99.7,199.4,1,0,0,2,1,0,29,0,0,0,1,0,0,1,1,1,0,60.0,75.9,1,0,1
0,58,47.9,2778.2,24,1,1,1,0,3,68,1,1,0,1,1,0,1,1,0,1,3160.0,12.1,5,1,0
2,15,70.4,1056.0,12,1,1,1,1,1,43,0,0,0,1,1,1,0,0,1,0,680.0,31.1,3,0,0
5,5,90.4,452.0,1,0,0,2,0,0,33,0,0,0,1,0,0,1,1,1,0,170.0,61.7,2,1,1
1,32,58.9,1884.8,12,1,1,1,0,2,51,0,1,0,1,1,1,1,0,0,1,1600.0,22.6,3,1,0
4,10,75.9,759.0,1,0,0,2,2,1,40,0,0,1,1,0,0,0,1,1,0,365.0,44.6,2,1,0
0,46,53.8,2474.8,24,1,1,1,0,3,61,1,1,0,1,1,0,1,1,0,1,2630.0,16.9,4,0,0
3,9,79.4,714.6,1,0,1,2,1,1,38,0,0,0,1,0,0,1,0,1,0,310.0,46.7,2,1,0
1,22,66.2,1456.4,12,1,1,1,1,2,46,0,1,0,1,0,1,0,1,0,1,1045.0,26.4,3,1,0
6,1,102.3,102.3,1,0,0,2,0,0,27,0,0,0,1,0,0,1,1,1,0,-75.0,79.8,1,0,1
2,16,68.0,1088.0,12,1,1,1,0,2,44,0,0,0,1,1,0,1,1,0,0,720.0,29.3,3,0,0
5,6,87.8,526.8,1,0,0,2,1,0,35,0,0,0,1,0,1,1,0,1,0,215.0,57.2,2,1,1
0,42,55.5,2331.0,24,1,1,1,1,3,59,0,1,1,1,1,0,0,1,0,1,2430.0,18.8,4,0,0
4,8,84.5,676.0,1,0,0,2,0,1,37,0,0,0,1,0,0,1,1,1,0,290.0,51.3,2,1,1
1,34,57.6,1958.4,12,1,1,1,1,2,53,0,1,1,1,0,1,1,0,0,1,1700.0,21.3,3,1,0
3,11,74.4,818.4,12,0,1,1,0,1,40,0,0,1,1,0,0,1,1,1,0,470.0,36.1,2,0,0
0,50,51.6,2580.0,24,1,1,1,0,3,64,1,1,0,1,1,1,0,0,1,1,2810.0,15.3,4,0,0
6,3,98.5,295.5,1,0,0,2,2,0,30,0,0,0,1,0,0,1,1,1,0,100.0,73.1,1,0,1
2,14,69.9,978.6,12,1,0,1,1,1,42,0,0,1,1,0,1,0,1,1,0,635.0,30.1,2,0,0
5,7,86.7,606.9,1,0,0,2,1,0,36,0,0,0,1,0,0,1,0,1,0,240.0,55.9,2,1,1
1,26,62.5,1625.0,12,1,1,1,0,2,48,0,1,0,1,1,1,1,1,0,1,1290.0,24.7,3,1,0
4,9,77.0,693.0,1,0,1,2,0,1,38,0,0,0,1,0,0,0,1,1,0,305.0,46.1,2,1,0
0,48,52.7,2529.6,24,1,1,1,0,3,62,1,1,0,1,1,0,1,0,0,1,2690.0,16.2,4,0,0
3,12,72.8,873.6,12,0,0,1,1,1,41,0,0,1,1,0,1,1,1,1,0,545.0,33.9,2,0,0
1,30,59.5,1785.0,12,1,1,1,0,2,50,0,1,0,1,0,0,0,1,0,1,1480.0,23.1,3,1,0
6,2,100.9,201.8,1,0,0,2,1,0,28,0,0,0,1,0,0,1,0,1,0,65.0,78.2,1,0,1
2,8,81.0,648.0,1,0,1,2,2,1,37,0,0,0,1,0,1,1,1,1,0,275.0,48.2,2,1,0
5,5,91.9,459.5,1,0,0,2,1,0,32,0,0,0,1,0,0,1,1,1,0,175.0,63.8,2,1,1
0,54,49.6,2678.4,24,1,1,1,1,3,65,1,1,1,1,1,0,0,1,0,1,2970.0,13.6,4,1,0
4,10,76.8,768.0,1,0,0,2,0,1,40,0,0,1,1,0,1,0,1,1,0,355.0,45.4,2,1,0
1,24,65.6,1574.4,12,1,1,1,0,2,47,0,1,0,1,1,0,1,0,0,1,1190.0,25.2,3,0,0
3,13,73.6,956.8,12,0,1,1,1,1,42,0,0,1,1,0,1,1,0,1,0,575.0,34.4,2,0,0
0,44,54.4,2393.6,24,1,1,1,0,3,60,1,1,0,1,1,1,1,1,0,1,2530.0,17.5,4,0,0
6,1,103.9,103.9,1,0,0,2,2,0,26,0,0,0,1,0,0,1,1,1,0,-90.0,81.6,1,0,1
