subscription_tier,region,payment_method,account_type,tenure_months,monthly_charges,total_charges,churned
Basic,East,Cash,Personal,5,39.9,199.5,1
Standard,South,Bank Transfer,Personal,26,80.3,2087.8,0
Premium,West,Credit Card,Business,42,118.3,4968.6,0
Basic,West,Cash,Personal,2,42.4,84.8,1
Enterprise,East,Credit Card,Business,61,148.4,9052.4,0
Standard,North,PayPal,Family,23,79.9,1837.7,0
Basic,Central,Cash,Student,3,35.8,107.4,1
Premium,Central,Credit Card,Family,45,123.0,5535.0,0
Basic,South,Cash,Personal,6,40.7,244.2,1
Standard,East,Bank Transfer,Personal,21,73.2,1537.2,0
Enterprise,South,Credit Card,Business,57,144.8,8253.6,0
Basic,North,Cash,Personal,1,44.5,44.5,1
Premium,East,Credit Card,Business,48,126.4,6067.2,0
Standard,West,PayPal,Personal,28,82.9,2321.2,0
Basic,West,Cash,Student,4,36.6,146.4,1
Enterprise,North,Credit Card,Business,62,147.5,9145.0,0
Basic,Central,Cash,Personal,5,38.8,194.0,1
Standard,Central,Bank Transfer,Family,25,78.2,1955.0,0
Premium,South,Credit Card,Family,41,119.9,4915.9,0
Basic,East,Cash,Personal,2,41.2,82.4,1
Enterprise,West,Credit Card,Business,58,143.9,8346.2,0
Standard,South,PayPal,Personal,24,75.2,1804.8,0
Basic,North,Cash,Student,3,37.8,113.4,1
Premium,North,Credit Card,Business,46,124.5,5727.0,0
Basic,South,Cash,Personal,6,39.4,236.4,1
Standard,East,Bank Transfer,Personal,27,82.0,2214.0,0
Enterprise,Central,Credit Card,Business,56,145.6,8153.6,0
Basic,West,Cash,Personal,1,43.7,43.7,1
Premium,West,Credit Card,Family,47,123.4,5799.8,0
Standard,Central,PayPal,Personal,22,74.1,1630.2,0
Basic,Central,Cash,Student,4,34.2,136.8,1
Enterprise,East,Credit Card,Business,59,144.2,8507.8,0
Basic,South,Cash,Personal,5,40.8,204.0,1
Standard,North,Bank Transfer,Personal,26,79.5,2067.0,0
Premium,East,Credit Card,Business,43,120.6,5185.8,0
Basic,East,Cash,Personal,2,37.9,75.8,1
Enterprise,South,Credit Card,Business,63,149.0,9387.0,0
Standard,West,PayPal,Family,23,80.7,1856.1,0
Basic,North,Cash,Student,3,35.6,106.8,1
Premium,Central,Credit Card,Family,48,125.8,6038.4,0
Basic,West,Cash,Personal,6,41.5,249.0,1
Standard,South,Bank Transfer,Personal,20,72.8,1456.0,0
Enterprise,North,Credit Card,Business,60,146.3,8778.0,0
Basic,Central,Cash,Personal,1,44.8,44.8,1
Premium,South,Credit Card,Business,45,122.7,5521.5,0
Standard,East,PayPal,Personal,28,82.6,2312.8,0
Basic,South,Cash,Student,4,35.0,140.0,1
Enterprise,West,Credit Card,Business,61,147.0,8967.0,0
Basic,North,Cash,Personal,5,39.0,195.0,1
Standard,Central,Bank Transfer,Family,25,77.4,1935.0,0
Premium,North,Credit Card,Family,42,117.7,4943.4,0
Basic,East,Cash,Personal,2,42.6,85.2,1
Enterprise,East,Credit Card,Business,58,143.5,8323.0,0
Standard,South,PayPal,Personal,24,76.4,1833.6,0
Basic,West,Cash,Student,3,36.8,110.4,1
Premium,West,Credit Card,Business,46,124.0,5704.0,0
Basic,Central,Cash,Personal,6,40.0,240.0,1
Standard,North,Bank Transfer,Personal,19,71.9,1366.1,0
Enterprise,Central,Credit Card,Business,56,145.0,8120.0,0
Basic,South,Cash,Personal,1,43.3,43.3,1
Premium,East,Credit Card,Family,44,121.6,5350.4,0
Standard,West,PayPal,Personal,27,81.2,2192.4,0
Basic,East,Cash,Student,4,34.4,137.6,1
Enterprise,South,Credit Card,Business,62,148.6,9213.2,0
Basic,North,Cash,Personal,5,40.5,202.5,1
Standard,Central,Bank Transfer,Personal,26,80.8,2100.8,0
Premium,Central,Credit Card,Business,43,120.3,5172.9,0
Basic,West,Cash,Personal,2,38.0,76.0,1
Enterprise,North,Credit Card,Business,59,144.9,8549.1,0
Standard,East,PayPal,Family,23,79.6,1830.8,0
Basic,South,Cash,Student,3,37.2,111.6,1
Premium,South,Credit Card,Family,47,123.7,5813.9,0
Basic,Central,Cash,Personal,6,39.8,238.8,1
Standard,West,Bank Transfer,Personal,21,73.9,1551.9,0
Enterprise,West,Credit Card,Business,57,144.6,8242.2,0
Basic,East,Cash,Personal,1,44.9,44.9,1
Premium,North,Credit Card,Business,48,125.5,6024.0,0
Standard,South,PayPal,Personal,28,82.3,2304.4,0
Basic,North,Cash,Student,4,35.9,143.6,1
Enterprise,Central,Credit Card,Business,60,146.1,8766.0,0
Basic,South,Cash,Personal,5,39.3,196.5,1
Standard,East,Bank Transfer,Family,25,78.6,1965.0,0
Premium,East,Credit Card,Family,41,119.2,4887.2,0
Basic,West,Cash,Personal,2,41.7,83.4,1
Enterprise,East,Credit Card,Business,61,147.8,9015.8,0
Standard,Central,PayPal,Personal,24,75.7,1816.8,0
Basic,Central,Cash,Student,3,36.5,109.5,1
Premium,West,Credit Card,Business,46,124.8,5740.8,0
Basic,South,Cash,Personal,6,41.3,247.8,1
Standard,North,Bank Transfer,Personal,27,82.2,2219.4,0
Enterprise,South,Credit Card,Business,56,145.9,8170.4,0
Basic,East,Cash,Personal,1,43.0,43.0,1
Premium,Central,Credit Card,Family,44,121.3,5337.2,0
Standard,West,PayPal,Personal,22,74.6,1641.2,0
Basic,North,Cash,Student,4,34.7,138.8,1
Enterprise,North,Credit Card,Business,58,143.3,8311.4,0
Basic,West,Cash,Personal,5,40.6,203.0,1
Standard,South,Bank Transfer,Personal,26,79.3,2061.8,0
Premium,South,Credit Card,Business,42,118.6,4981.2,0
Basic,Central,Cash,Personal,2,38.6,77.2,1
Enterprise,Central,Credit Card,Business,62,148.1,9182.2,0
Standard,East,PayPal,Family,23,80.5,1851.5,0
Basic,East,Cash,Student,3,35.4,106.2,1
Premium,North,Credit Card,Family,45,123.2,5544.0,0
Basic,South,Cash,Personal,6,39.2,235.2,1
Standard,Central,Bank Transfer,Personal,20,72.3,1446.0,0
Enterprise,West,Credit Card,Business,59,144.4,8519.6,0
Basic,North,Cash,Personal,1,44.2,44.2,1
Premium,West,Credit Card,Business,48,126.1,6052.8,0
Standard,South,PayPal,Personal,28,82.4,2307.2,0
Basic,Central,Cash,Student,4,36.2,144.8,1
Enterprise,East,Credit Card,Business,60,146.7,8802.0,0
Basic,West,Cash,Personal,5,39.5,197.5,1
Standard,North,Bank Transfer,Family,25,77.1,1927.5,0
Premium,Central,Credit Card,Family,43,120.9,5198.7,0
Basic,East,Cash,Personal,2,42.8,85.6,1
Enterprise,South,Credit Card,Business,61,148.8,9076.8,0
Standard,West,PayPal,Personal,24,76.6,1838.4,0
Basic,South,Cash,Student,3,37.4,112.2,1
Premium,East,Credit Card,Business,46,124.1,5708.6,0
Basic,North,Cash,Personal,6,41.0,246.0,1
Standard,East,Bank Transfer,Personal,19,71.6,1360.4,0
Enterprise,Central,Credit Card,Business,56,145.2,8131.2,0
Basic,West,Cash,Personal,1,43.8,43.8,1
Premium,South,Credit Card,Family,44,121.0,5324.0,0
Standard,Central,PayPal,Personal,27,81.8,2208.6,0
Basic,Central,Cash,Student,4,34.1,136.4,1
Enterprise,North,Credit Card,Business,62,147.2,9126.4,0
Basic,South,Cash,Personal,5,40.4,202.0,1
Standard,South,Bank Transfer,Personal,26,80.0,2080.0,0
Premium,North,Credit Card,Business,42,118.9,4993.8,0
Basic,East,Cash,Personal,2,37.8,75.6,1
Enterprise,West,Credit Card,Business,58,143.7,8334.6,0
Standard,North,PayPal,Family,23,79.8,1835.4,0
Basic,West,Cash,Student,3,35.2,105.6,1
Premium,Central,Credit Card,Family,47,123.9,5823.3,0
Basic,Central,Cash,Personal,6,40.1,240.6,1
Standard,East,Bank Transfer,Personal,21,73.5,1543.5,0
Enterprise,East,Credit Card,Business,57,144.3,8225.1,0
Basic,North,Cash,Personal,1,44.6,44.6,1
Premium,West,Credit Card,Business,48,125.3,6014.4,0
Standard,South,PayPal,Personal,28,82.7,2315.6,0
Basic,South,Cash,Student,4,36.9,147.6,1
Enterprise,Central,Credit Card,Business,59,144.0,8496.0,0
Basic,East,Cash,Personal,5,39.1,195.5,1
Standard,West,Bank Transfer,Family,25,78.9,1972.5,0
Premium,South,Credit Card,Family,41,119.7,4907.7,0
Basic,North,Cash,Personal,2,41.1,82.2,1
Enterprise,South,Credit Card,Business,63,149.5,9418.5,0
Standard,Central,PayPal,Personal,24,75.0,1800.0,0
Basic,West,Cash,Student,3,36.7,110.1,1
Premium,East,Credit Card,Business,46,124.4,5722.4,0
Basic,Central,Cash,Personal,6,41.8,250.8,1
Standard,North,Bank Transfer,Personal,27,82.5,2227.5,0
Enterprise,North,Credit Card,Business,56,145.5,8148.0,0
Basic,South,Cash,Personal,1,43.5,43.5,1
Premium,Central,Credit Card,Family,44,121.7,5354.8,0
Standard,East,PayPal,Personal,22,74.2,1632.4,0
Basic,East,Cash,Student,4,34.9,139.6,1
Enterprise,West,Credit Card,Business,60,146.4,8784.0,0
Basic,North,Cash,Personal,5,40.9,204.5,1
Standard,South,Bank Transfer,Personal,26,79.0,2054.0,0
Premium,North,Credit Card,Business,43,120.4,5177.2,0
Basic,West,Cash,Personal,2,38.4,76.8,1
Enterprise,East,Credit Card,Business,61,148.5,9058.5,0
Standard,Central,PayPal,Family,23,80.9,1860.7,0
Basic,South,Cash,Student,3,35.7,107.1,1
Premium,South,Credit Card,Family,47,123.5,5804.5,0
Basic,Central,Cash,Personal,6,39.7,238.2,1
Standard,West,Bank Transfer,Personal,20,72.0,1440.0,0
Enterprise,Central,Credit Card,Business,58,143.8,8340.4,0
Basic,East,Cash,Personal,1,44.3,44.3,1
Premium,North,Credit Card,Business,48,126.5,6072.0,0
Standard,South,PayPal,Personal,28,82.0,2296.0,0
Basic,North,Cash,Student,4,35.1,140.4,1
Enterprise,South,Credit Card,Business,62,147.6,9151.2,0
Basic,West,Cash,Personal,5,39.9,199.5,1
Standard,East,Bank Transfer,Family,25,77.7,1942.5,0
Premium,West,Credit Card,Family,41,119.0,4879.0,0
Basic,Central,Cash,Personal,2,42.0,84.0,1
Enterprise,North,Credit Card,Business,59,144.5,8525.5,0
Standard,North,PayPal,Personal,24,76.2,1828.8,0
Basic,South,Cash,Student,3,36.0,108.0,1
Premium,Central,Credit Card,Business,46,124.6,5731.6,0
Basic,East,Cash,Personal,6,40.7,244.2,1
Standard,Central,Bank Transfer,Personal,19,71.2,1352.8,0
Enterprise,West,Credit Card,Business,56,145.7,8159.2,0
Basic,North,Cash,Personal,1,43.1,43.1,1
Premium,East,Credit Card,Family,44,121.4,5341.6,0
Standard,West,PayPal,Personal,27,81.6,2203.2,0
Basic,South,Cash,Student,4,34.3,137.2,1
Enterprise,Central,Credit Card,Business,60,146.8,8808.0,0
Basic,Central,Cash,Personal,5,40.2,201.0,1
Standard,South,Bank Transfer,Personal,26,80.4,2090.4,0
Premium,South,Credit Card,Business,42,118.1,4960.2,0
Basic,East,Cash,Personal,2,37.5,75.0,1
Enterprise,East,Credit Card,Business,61,149.0,9089.0,0
Standard,North,PayPal,Family,23,79.4,1826.2,0
Basic,West,Cash,Student,3,35.9,107.7,1
Premium,North,Credit Card,Family,45,123.6,5562.0,0
Basic,South,Cash,Personal,6,39.6,237.6,1
Standard,East,Bank Transfer,Personal,21,73.8,1549.8,0
Enterprise,South,Credit Card,Business,57,144.1,8213.7,0
Basic,Central,Cash,Personal,1,44.0,44.0,1
Premium,West,Credit Card,Business,48,125.9,6043.2,0
Standard,Central,PayPal,Personal,28,82.8,2318.4,0
Basic,North,Cash,Student,4,36.4,145.6,1
Enterprise,North,Credit Card,Business,62,147.9,9169.8,0
Basic,East,Cash,Personal,5,38.7,193.5,1
Standard,West,Bank Transfer,Family,25,78.0,1950.0,0
Premium,Central,Credit Card,Family,43,120.0,5160.0,0
Basic,South,Cash,Personal,2,41.9,83.8,1
Enterprise,West,Credit Card,Business,58,143.4,8317.2,0
Standard,South,PayPal,Personal,24,75.8,1819.2,0
Basic,West,Cash,Student,3,37.6,112.8,1
Premium,East,Credit Card,Business,46,124.9,5745.4,0
Basic,North,Cash,Personal,6,41.2,247.2,1
Standard,Central,Bank Transfer,Personal,27,82.3,2222.1,0
Enterprise,Central,Credit Card,Business,56,145.4,8142.4,0
Basic,South,Cash,Personal,1,43.7,43.7,1
Premium,South,Credit Card,Family,44,121.1,5328.4,0
Standard,East,PayPal,Personal,22,74.9,1647.8,0
Basic,Central,Cash,Student,4,34.6,138.4,1
Enterprise,East,Credit Card,Business,59,144.7,8537.3,0
Basic,West,Cash,Personal,5,40.0,200.0,1
Standard,North,Bank Transfer,Personal,26,79.9,2077.4,0
Premium,North,Credit Card,Business,42,118.4,4972.8,0
Basic,East,Cash,Personal,2,38.2,76.4,1
Enterprise,South,Credit Card,Business,63,148.2,9336.6,0
Standard,West,PayPal,Family,23,80.1,1842.3,0
Basic,South,Cash,Student,3,35.5,106.5,1
Premium,West,Credit Card,Family,47,123.3,5795.1,0
Basic,Central,Cash,Personal,6,39.4,236.4,1
Standard,South,Bank Transfer,Personal,20,72.6,1452.0,0
Enterprise,North,Credit Card,Business,60,146.2,8772.0,0
Basic,North,Cash,Personal,1,44.4,44.4,1
Premium,Central,Credit Card,Business,45,122.9,5530.5,0
Standard,Central,PayPal,Personal,28,82.2,2301.6,0
Basic,East,Cash,Student,4,35.8,143.2,1
Enterprise,West,Credit Card,Business,61,147.4,8991.4,0
Basic,South,Cash,Personal,5,39.8,199.0,1
Standard,East,Bank Transfer,Family,25,77.3,1932.5,0
Premium,East,Credit Card,Family,41,119.5,4899.5,0
Basic,West,Cash,Personal,2,42.2,84.4,1
Enterprise,Central,Credit Card,Business,58,143.1,8299.8,0
Standard,North,PayPal,Personal,24,76.5,1836.0,0
Basic,Central,Cash,Student,3,36.1,108.3,1
Premium,South,Credit Card,Business,46,124.2,5713.2,0
Basic,South,Cash,Personal,6,41.5,249.0,1
Standard,West,Bank Transfer,Personal,19,71.4,1356.6,0
Enterprise,East,Credit Card,Business,56,145.1,8125.6,0
Basic,North,Cash,Personal,1,43.4,43.4,1
Premium,North,Credit Card,Family,44,121.8,5359.2,0
Standard,South,PayPal,Personal,27,81.4,2197.8,0
Basic,West,Cash,Student,4,34.0,136.0,1
Enterprise,South,Credit Card,Business,62,148.7,9219.4,0
Basic,Central,Cash,Personal,5,40.8,204.0,1
Standard,Central,Bank Transfer,Personal,26,80.2,2085.2,0
Premium,West,Credit Card,Business,43,120.7,5190.1,0
Basic,East,Cash,Personal,2,37.3,74.6,1
Enterprise,North,Credit Card,Business,59,144.2,8507.8,0
Standard,East,PayPal,Family,23,79.7,1833.1,0
Basic,South,Cash,Student,3,35.3,105.9,1
Premium,Central,Credit Card,Family,47,123.0,5781.0,0
Basic,North,Cash,Personal,6,39.0,234.0,1
Standard,West,Bank Transfer,Personal,21,73.4,1541.4,0
Enterprise,West,Credit Card,Business,57,144.9,8259.3,0
Basic,Central,Cash,Personal,1,44.7,44.7,1
